"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","6258314520","69357960","952308","2591","111071","140383","1555","90.23","League of Legends"
"Hearthstone","2","Hearthstone","2147954040","10113900","192995","381","23322","48182","226","212.38","Hearthstone"
"Counter-Strike: Global Offensive","3","Counter-Strike: Global Offensive","2126811660","34634580","336075","1646","86193","47707","776","61.41","Counter-Strike: Global Offensive"
"Dota 2","4","Dota 2","2017426620","18337500","217120","860","28069","45254","411","110.02","Dota 2"
"World of Warcraft","5","World of Warcraft","1129174200","35866320","105419","2324","49782","25329","804","31.48","World of Warcraft"
"Overwatch","6","Overwatch","879220740","37205820","118438","2047","95883","19722","834","23.63","Overwatch"
"Z1 Battle Royale","7","Z1 Battle Royale","784741320","16596300","60722","595","27505","17602","372","47.28","Z1 Battle Royale"
"Destiny","8","Destiny","590746500","49347240","92396","2568","85869","13251","1106","11.97","Destiny"
"FIFA 17","9","FIFA 17","539967300","12832920","56735","903","40416","12112","287","42.08","FIFA 17"
"Battlefield 1","10","Battlefield 1","477052620","16973220","80858","1548","68653","10701","380","28.11","Battlefield 1"
"Talk Shows & Podcasts","11","Talk Shows & Podcasts","347188320","3620400","62023","176","13893","7787","81","95.9","Talk Shows & Podcasts"
"Minecraft","12","Minecraft","272672100","17282340","39662","884","55027","6116","387","15.78","Minecraft"
"RuneScape","13","RuneScape","265607700","4192800","23514","169","6564","5958","94","63.35","RuneScape"
"Creative","14","Creative","264024600","10652460","28614","377","22433","5922","238","24.79","Creative"
"Call of Duty: Black Ops III","15","Call of Duty: Black Ops III","261956940","31431540","25278","1752","101722","5876","705","8.33","Call of Duty: Black Ops III"
"Dead by Daylight","16","Dead by Daylight","253455540","6359220","25113","405","10163","5685","142","39.86","Dead by Daylight"
"World of Tanks","17","World of Tanks","253012320","7030680","51897","350","11398","5675","157","35.99","World of Tanks"
"StarCraft II","18","StarCraft II","229981800","2885940","46305","117","4552","5158","64","79.69","StarCraft II"
"Arma 3","19","Arma 3","205376280","5220960","20772","281","7807","4606","117","39.34","Arma 3"
"Dark Souls III","20","Dark Souls III","200760360","7683180","63452","1061","22431","4503","172","26.13","Dark Souls III"
"Heroes of the Storm","21","Heroes of the Storm","197558520","4687260","41122","192","8043","4431","105","42.15","Heroes of the Storm"
"Sid Meier's Civilization VI","22","Sid Meier's Civilization VI","190156200","2310000","47793","449","5496","4265","51","82.32","Sid Meier's Civilization VI"
"Street Fighter V","23","Street Fighter V","172086300","1494720","45869","68","4060","3860","33","115.13","Street Fighter V"
"Mafia III","24","Mafia III","171372720","8074260","79661","1429","26090","3844","181","21.22","Mafia III"
"Gears of War 4","25","Gears of War 4","167510220","9484740","33818","1239","27314","3757","212","17.66","Gears of War 4"
"NBA 2K17","26","NBA 2K17","147111960","10854240","20329","638","32477","3299","243","13.55","NBA 2K17"
"Smite","27","Smite","146969040","6711420","22475","292","15885","3296","150","21.9","Smite"
"Poker","28","Poker","146846940","2090640","14246","109","2284","3294","46","70.24","Poker"
"Call of Duty: Infinite Warfare","29","Call of Duty: Infinite Warfare","139371780","2840160","105093","1331","41557","3126","63","49.07","Call of Duty: Infinite Warfare"
"Grand Theft Auto V","30","Grand Theft Auto V","135650580","17229900","24434","895","63714","3042","386","7.87","Grand Theft Auto V"
"Magic: The Gathering","31","Magic: The Gathering","134724480","763380","29319","45","963","3022","17","176.48","Magic: The Gathering"
"Tom Clancy's Rainbow Six: Siege","32","Tom Clancy's Rainbow Six: Siege","119265900","13074780","16291","681","40220","2675","293","9.12","Tom Clancy's Rainbow Six: Siege"
"Super Smash Bros. Melee","33","Super Smash Bros. Melee","114901020","712200","73990","59","1943","2577","15","161.33","Super Smash Bros. Melee"
"Paragon","34","Paragon","113323620","9907620","7639","595","14008","2542","222","11.44","Paragon"
"Rocket League","35","Rocket League","110755740","7129320","16169","314","31860","2484","159","15.54","Rocket League"
"Path of Exile","36","Path of Exile","106260660","3432720","10418","142","4244","2383","77","30.96","Path of Exile"
"Clash Royale","37","Clash Royale","82379040","1529160","41849","82","5221","1847","34","53.87","Clash Royale"
"Battlerite","38","Battlerite","77296320","3144540","23207","187","7912","1733","70","24.58","Battlerite"
"Super Mario Maker","39","Super Mario Maker","76639860","905160","10895","48","1148","1719","20","84.67","Super Mario Maker"
"Titanfall 2","40","Titanfall 2","75674880","1256820","52321","379","5388","1697","28","60.21","Titanfall 2"
"The Elder Scrolls V: Skyrim","41","The Elder Scrolls V: Skyrim","67718520","4951200","25627","1011","13985","1519","111","13.68","The Elder Scrolls V: Skyrim"
"ARK","42","ARK","64285620","3582960","4085","147","4829","1442","80","17.94","ARK"
"DayZ","43","DayZ","63381780","2494560","30751","132","4167","1421","55","25.41","DayZ"
"Pokémon Omega Ruby/Alpha Sapphire","44","Pokémon Omega Ruby/Alpha Sapphire","62735940","1521360","10041","68","1938","1407","34","41.24","Pokémon Omega Ruby/Alpha Sapphire"
"Music & Performing Arts","45","Music & Performing Arts","57176460","1269540","5169","61","3989","1282","28","45.04","Music & Performing Arts"
"Super Smash Bros. for Wii U","46","Super Smash Bros. for Wii U","55198560","952020","25836","75","1931","1238","21","57.98","Super Smash Bros. for Wii U"
"Rust","47","Rust","55020780","2837880","11664","183","5666","1234","63","19.39","Rust"
"Halo 5: Guardians","48","Halo 5: Guardians","51276180","3011400","16198","150","8162","1150","67","17.03","Halo 5: Guardians"
"Stardew Valley","49","Stardew Valley","50150520","1622880","12154","83","3969","1124","36","30.9","Stardew Valley"
"Farming Simulator 17","50","Farming Simulator 17","49974720","2252040","37242","512","4782","1121","50","22.19","Farming Simulator 17"
"TwitchCon 2016","51","TwitchCon 2016","49787640","43500","125427","40","155","1116","0","1144.54","TwitchCon 2016"
"Dungeons & Dragons","52","Dungeons & Dragons","48297600","731820","28497","71","1229","1083","16","66","Dungeons & Dragons"
"Warcraft III","53","Warcraft III","48006960","1016580","10016","50","1030","1076","22","47.22","Warcraft III"
"The Binding of Isaac: Afterbirth","54","The Binding of Isaac: Afterbirth","46143420","1073160","9088","56","2666","1035","24","43","The Binding of Isaac: Afterbirth"
"Shadow Warrior 2","55","Shadow Warrior 2","46131540","881880","28683","197","3011","1034","19","52.31","Shadow Warrior 2"
"Games + Demos","56","Games + Demos","42397680","334620","31676","22","1547","951","7","126.7","Games + Demos"
"Lineage II","57","Lineage II","39509280","1604460","9718","108","1473","886","35","24.62","Lineage II"
"7 Days to Die","58","7 Days to Die","38494140","4139760","5308","194","8652","863","92","9.3","7 Days to Die"
"DragonBall Xenoverse 2","59","DragonBall Xenoverse 2","38289720","1065360","23590","306","7097","858","23","35.94","DragonBall Xenoverse 2"
"Paladins","60","Paladins","37769580","3682740","30632","191","13024","847","82","10.26","Paladins"
"Tom Clancy's The Division","61","Tom Clancy's The Division","37450140","4598220","6148","278","11095","840","103","8.14","Tom Clancy's The Division"
"Black Desert Online","62","Black Desert Online","34840740","1858140","2330","75","2535","781","41","18.75","Black Desert Online"
"Social Eating","63","Social Eating","34435440","337680","15690","23","3026","772","7","101.98","Social Eating"
"Retro","64","Retro","33348360","1243260","4975","55","1470","748","27","26.82","Retro"
