"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Poker","22","Poker","189063780","2186700","18034","126","2527","4241","49","86.46","Poker"
"Super Mario Maker","23","Super Mario Maker","183467340","1650720","232989","77","2288","4115","37","111.14","Super Mario Maker"
"Heroes of the Storm","24","Heroes of the Storm","181471740","6178620","34216","268","12972","4070","138","29.37","Heroes of the Storm"
"Darkest Dungeon","25","Darkest Dungeon","159873600","1990440","40249","158","4900","3586","44","80.32","Darkest Dungeon"
"Arma 3","26","Arma 3","152570280","5173140","32132","275","8771","3422","116","29.49","Arma 3"
"DayZ","27","DayZ","139260720","4302900","30208","208","6985","3123","96","32.36","DayZ"
"NBA 2K16","28","NBA 2K16","136526460","11766540","15285","678","34202","3062","263","11.6","NBA 2K16"
"Magic: The Gathering","29","Magic: The Gathering","131250540","836340","21482","50","1015","2944","18","156.93","Magic: The Gathering"
"ARK","30","ARK","117112500","5583600","19486","241","9575","2627","125","20.97","ARK"
"Halo 5: Guardians","31","Halo 5: Guardians","110810640","4992240","40639","259","14525","2485","111","22.2","Halo 5: Guardians"
"Super Smash Bros. Melee","32","Super Smash Bros. Melee","107435880","638280","114935","55","1895","2409","14","168.32","Super Smash Bros. Melee"
"Music & Performing Arts","33","Music & Performing Arts","103161240","1898820","27359","88","4925","2314","42","54.33","Music & Performing Arts"
"Super Smash Bros. for Wii U","34","Super Smash Bros. for Wii U","103130220","1264200","92079","95","2899","2313","28","81.58","Super Smash Bros. for Wii U"
"Path of Exile","35","Path of Exile","102119220","3782280","5337","157","5160","2290","84","27","Path of Exile"
"Fallout 4","36","Fallout 4","100916280","16178580","12713","781","51042","2263","362","6.24","Fallout 4"
"Rocket League","37","Rocket League","94017840","9061680","68040","402","36282","2108","203","10.38","Rocket League"
"Dragon's Dogma: Dark Arisen","38","Dragon's Dogma: Dark Arisen","90671460","2094720","37730","381","4363","2033","46","43.29","Dragon's Dogma: Dark Arisen"
"The Legend of Zelda: Ocarina of Time","39","The Legend of Zelda: Ocarina of Time","90522720","755160","15007","58","1206","2030","16","119.87","The Legend of Zelda: Ocarina of Time"
"Punch Club","40","Punch Club","84650220","708180","43813","61","2345","1898","15","119.53","Punch Club"
"The Binding of Isaac: Afterbirth","41","The Binding of Isaac: Afterbirth","81515340","1923540","14111","86","4543","1828","43","42.38","The Binding of Isaac: Afterbirth"
"Rust","42","Rust","80774400","2864040","30867","137","6432","1811","64","28.2","Rust"
"Bloodborne","43","Bloodborne","78021180","5183040","199060","257","17349","1750","116","15.05","Bloodborne"
"The Elder Scrolls V: Skyrim","44","The Elder Scrolls V: Skyrim","71554800","1928040","32296","82","4854","1605","43","37.11","The Elder Scrolls V: Skyrim"
"Madden NFL 16","45","Madden NFL 16","70757280","11314140","18054","649","31696","1587","253","6.25","Madden NFL 16"
"Dark Souls","46","Dark Souls","70568100","1814100","14051","89","3882","1582","40","38.9","Dark Souls"
"XCOM: Enemy Within","47","XCOM: Enemy Within","69101520","964680","12424","44","1601","1550","21","71.63","XCOM: Enemy Within"
"Lineage II","48","Lineage II","68595420","1606080","23981","87","1542","1538","36","42.71","Lineage II"
"Euro Truck Simulator 2","49","Euro Truck Simulator 2","66587820","2876220","33826","168","7000","1493","64","23.15","Euro Truck Simulator 2"
"The Legend of Zelda: Majora's Mask","50","The Legend of Zelda: Majora's Mask","60677340","262740","141110","22","460","1361","5","230.94","The Legend of Zelda: Majora's Mask"
"Pokémon Omega Ruby/Alpha Sapphire","51","Pokémon Omega Ruby/Alpha Sapphire","59532960","1214220","11278","61","1428","1335","27","49.03","Pokémon Omega Ruby/Alpha Sapphire"
"Duelyst","52","Duelyst","52203360","476340","21769","31","1172","1171","10","109.59","Duelyst"
"Garry's Mod","53","Garry's Mod","50878860","2100360","26432","133","8326","1141","47","24.22","Garry's Mod"
"Super Mario 64","54","Super Mario 64","49732380","540060","174067","31","1129","1115","12","92.09","Super Mario 64"
"osu!","55","osu!","46704240","4280100","9349","192","14698","1047","96","10.91","osu!"
"Star Wars Battlefront","56","Star Wars Battlefront","44595300","5361900","7165","322","0","1000","120","8.32","Star Wars Battlefront"
"Mortal Kombat X","57","Mortal Kombat X","43882920","1816500","31993","87","7840","984","40","24.16","Mortal Kombat X"
"Dark Souls II: Scholar of the First Sin","58","Dark Souls II: Scholar of the First Sin","43407180","3519780","6539","141","9195","973","78","12.33","Dark Souls II: Scholar of the First Sin"
"Kingdom Hearts HD 1.5 ReMIX","59","Kingdom Hearts HD 1.5 ReMIX","42533280","138120","186472","19","242","954","3","307.94","Kingdom Hearts HD 1.5 ReMIX"
"The Witness","60","The Witness","42033420","733740","54981","193","2472","942","16","57.29","The Witness"
"Battlefield 4","61","Battlefield 4","40351440","5771100","6349","271","21087","905","129","6.99","Battlefield 4"
"Warcraft III","62","Warcraft III","39949920","881940","21071","43","1117","896","19","45.3","Warcraft III"
"Diablo II: Lord of Destruction","63","Diablo II: Lord of Destruction","39243660","465720","186000","39","720","880","10","84.26","Diablo II: Lord of Destruction"
"Mario Kart 8","64","Mario Kart 8","36140640","366240","186246","38","1392","810","8","98.68","Mario Kart 8"
"Warframe","65","Warframe","35634540","5092140","27440","219","14361","799","114","7","Warframe"
"Super Metroid","66","Super Metroid","34569360","234300","191257","35","510","775","5","147.54","Super Metroid"
"Undertale","67","Undertale","34320720","2070540","32732","118","7760","769","46","16.58","Undertale"
"Rise of the Tomb Raider","68","Rise of the Tomb Raider","34041960","1625220","32860","461","6636","763","36","20.95","Rise of the Tomb Raider"
"Scrap Mechanic","69","Scrap Mechanic","32811840","278400","40972","51","1033","736","6","117.86","Scrap Mechanic"
"Final Fantasy IV","70","Final Fantasy IV","32127120","69480","147048","21","186","720","1","462.39","Final Fantasy IV"
"War Thunder","71","War Thunder","30409860","1556520","17606","76","4532","682","34","19.54","War Thunder"
"World of Warships","72","World of Warships","30314700","1776960","7858","86","3467","680","39","17.06","World of Warships"
"Guild Wars 2","73","Guild Wars 2","30011160","1568340","5711","71","3213","673","35","19.14","Guild Wars 2"
"Dungeons & Dragons","74","Dungeons & Dragons","29755740","469200","20239","54","767","667","10","63.42","Dungeons & Dragons"
"Street Fighter V","75","Street Fighter V","28523580","330960","23133","121","2561","639","7","86.18","Street Fighter V"
"The Witcher 3: Wild Hunt","76","The Witcher 3: Wild Hunt","27960060","3314940","5797","147","10895","627","74","8.43","The Witcher 3: Wild Hunt"
"Super Mario Galaxy","77","Super Mario Galaxy","27590220","51000","138248","21","137","618","1","540.98","Super Mario Galaxy"
"Clash of Clans","78","Clash of Clans","27384420","1022880","2096","49","1906","614","22","26.77","Clash of Clans"
"Pokémon Red/Blue","79","Pokémon Red/Blue","27382200","196560","185106","40","540","614","4","139.31","Pokémon Red/Blue"
"Pokémon Yellow: Special Pikachu Edition","80","Pokémon Yellow: Special Pikachu Edition","26992680","51300","210369","40","205","605","1","526.17","Pokémon Yellow: Special Pikachu Edition"
"Tibia","81","Tibia","26478000","955740","4829","51","1289","593","21","27.7","Tibia"
"The Legend of Zelda: A Link to the Past","82","The Legend of Zelda: A Link to the Past","26152740","197580","197307","33","529","586","4","132.37","The Legend of Zelda: A Link to the Past"
"Super Mario Bros. 3","83","Super Mario Bros. 3","25565040","69660","206252","17","308","573","1","367","Super Mario Bros. 3"
"Killer Instinct","84","Killer Instinct","24854400","662520","21697","50","4298","557","14","37.51","Killer Instinct"
"Paper Mario","85","Paper Mario","24747180","76320","115905","16","216","555","1","324.26","Paper Mario"
"Half Life 2: Survivor","86","Half Life 2: Survivor","24006360","11700","164561","17","81","538","0","2051.83","Half Life 2: Survivor"
"Crash Bandicoot","87","Crash Bandicoot","23993160","30060","159957","29","172","538","0","798.18","Crash Bandicoot"
"Gears of War: Ultimate Edition","88","Gears of War: Ultimate Edition","23196420","1398240","16292","77","4304","520","31","16.59","Gears of War: Ultimate Edition"
"M.U.G.E.N","89","M.U.G.E.N","23194860","56640","976","5","66","520","1","409.51","M.U.G.E.N"
"Vainglory","90","Vainglory","23117820","453300","6693","24","636","518","10","51","Vainglory"
"Sid Meier's Civilization V","91","Sid Meier's Civilization V","22605600","775440","3841","47","2258","507","17","29.15","Sid Meier's Civilization V"
"Metal Gear Solid V: The Phantom Pain","92","Metal Gear Solid V: The Phantom Pain","22511040","3027000","5684","144","9245","504","67","7.44","Metal Gear Solid V: The Phantom Pain"
"Heroes of Newerth","93","Heroes of Newerth","22182840","641760","2372","33","831","497","14","34.57","Heroes of Newerth"
"The Elder Scrolls Online","94","The Elder Scrolls Online","22134840","3349620","2191","154","9198","496","75","6.61","The Elder Scrolls Online"
"Resident Evil","95","Resident Evil","22068060","330900","160038","27","1789","495","7","66.69","Resident Evil"
"Mass Effect 3","96","Mass Effect 3","21671280","238440","11309","20","506","486","5","90.89","Mass Effect 3"
"Resident Evil Zero","97","Resident Evil Zero","21633120","1430820","27708","369","4963","485","32","15.12","Resident Evil Zero"
"Secret Hitler","98","Secret Hitler","21206100","29520","41675","12","112","475","0","718.36","Secret Hitler"
"Slime Rancher","99","Slime Rancher","20490540","136560","37991","29","812","459","3","150.05","Slime Rancher"
"Splatoon","100","Splatoon","20019960","995400","128419","79","1754","449","22","20.11","Splatoon"
