,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
The Elder Scrolls V: Skyrim,26,The Elder Scrolls V: Skyrim,193994100,12815580,17233,680,27138,4496,297,15.14,The Elder Scrolls V: Skyrim
Watch Dogs 2,27,Watch Dogs 2,167454060,1709040,60009,220,12911,3881,39,97.98,Watch Dogs 2
Smite,28,Smite,164514840,6309600,25316,274,13774,3813,146,26.07,Smite
Tom Clancy's The Division,29,Tom Clancy's The Division,154324080,8965380,36710,547,19819,3577,207,17.21,Tom Clancy's The Division
Poker,30,Poker,151592460,1978500,18231,106,2161,3513,45,76.62,Poker
Dark Souls III,31,Dark Souls III,147294480,5738460,19471,274,15075,3414,133,25.67,Dark Souls III
Dishonored 2,32,Dishonored 2,140550000,2977440,86255,389,8480,3257,69,47.2,Dishonored 2
NBA 2K17,33,NBA 2K17,140051520,9796320,39297,1778,28316,3246,227,14.3,NBA 2K17
Grand Theft Auto V,34,Grand Theft Auto V,116386080,14743740,26332,823,50966,2697,341,7.89,Grand Theft Auto V
Magic: The Gathering,35,Magic: The Gathering,113765340,711660,21502,38,849,2637,16,159.86,Magic: The Gathering
Super Smash Bros. Melee,36,Super Smash Bros. Melee,112326780,660420,54362,52,1836,2603,15,170.08,Super Smash Bros. Melee
Street Fighter V,37,Street Fighter V,100060380,1468500,46098,67,3735,2319,34,68.14,Street Fighter V
Rocket League,38,Rocket League,97336080,6880440,14986,331,27591,2256,159,14.15,Rocket League
Clash Royale,39,Clash Royale,97131900,1607520,14063,86,4693,2251,37,60.42,Clash Royale
Path of Exile,40,Path of Exile,89568240,2431860,9905,101,3306,2076,56,36.83,Path of Exile
Super Mario Maker,41,Super Mario Maker,79122060,860640,15468,44,1080,1834,19,91.93,Super Mario Maker
Sid Meier's Civilization VI,42,Sid Meier's Civilization VI,77797800,1604220,27866,131,3336,1803,37,48.5,Sid Meier's Civilization VI
DayZ,43,DayZ,68782560,2827380,5945,153,4303,1594,65,24.33,DayZ
Rust,44,Rust,67607940,3007740,26533,231,5686,1567,69,22.48,Rust
Farming Simulator 17,45,Farming Simulator 17,65768220,4619580,6843,300,6891,1524,107,14.24,Farming Simulator 17
Titanfall 2,46,Titanfall 2,63369600,3077940,12236,224,14840,1468,71,20.59,Titanfall 2
Music & Performing Arts,47,Music & Performing Arts,61811280,1232340,32009,59,3628,1432,28,50.16,Music & Performing Arts
Black Desert Online,48,Black Desert Online,59410200,2607600,5048,106,2914,1377,60,22.78,Black Desert Online
Chess,49,Chess,57727260,207180,48490,17,395,1338,4,278.63,Chess
The Binding of Isaac: Afterbirth,50,The Binding of Isaac: Afterbirth,57351720,1140660,7804,55,2667,1329,26,50.28,The Binding of Isaac: Afterbirth
PLAYERUNKNOWN'S BATTLEGROUNDS,51,PLAYERUNKNOWN'S BATTLEGROUNDS,51491640,534540,42520,232,1439,1193,12,96.33,PLAYERUNKNOWN'S BATTLEGROUNDS
Yakuza 0,52,Yakuza 0,51069660,114720,19112,23,104,1183,2,445.17,Yakuza 0
ARK,53,ARK,50361360,3127440,14169,146,4316,1167,72,16.1,ARK
Warcraft III,54,Warcraft III,48161820,1004520,9147,53,1050,1116,23,47.95,Warcraft III
Retro,55,Retro,47129100,1344840,4838,59,1599,1092,31,35.04,Retro
Bloodborne,56,Bloodborne,46516800,2033400,9175,94,5726,1078,47,22.88,Bloodborne
Steep,57,Steep,45732060,857880,32974,192,8730,1060,19,53.31,Steep
Halo 5: Guardians,58,Halo 5: Guardians,45523740,2758140,9339,171,6608,1055,63,16.51,Halo 5: Guardians
Gears of War 4,59,Gears of War 4,44920560,3710580,35497,237,10486,1041,86,12.11,Gears of War 4
Paragon,60,Paragon,44309460,4840500,4404,410,7681,1027,112,9.15,Paragon
Call of Duty: Black Ops III,61,Call of Duty: Black Ops III,44141100,12690120,12372,857,46525,1023,294,3.48,Call of Duty: Black Ops III
Diablo II: Lord of Destruction,62,Diablo II: Lord of Destruction,43994340,866580,7685,86,997,1019,20,50.77,Diablo II: Lord of Destruction
Super Smash Bros. for Wii U,63,Super Smash Bros. for Wii U,43981800,847200,12547,87,1776,1019,19,51.91,Super Smash Bros. for Wii U
Dungeons & Dragons,64,Dungeons & Dragons,43278900,690600,27699,92,1203,1003,16,62.67,Dungeons & Dragons
My Summer Car,65,My Summer Car,38674920,665880,36292,53,1680,896,15,58.08,My Summer Car
Pokémon Omega Ruby/Alpha Sapphire,66,Pokémon Omega Ruby/Alpha Sapphire,38296980,915240,8896,71,1471,887,21,41.84,Pokémon Omega Ruby/Alpha Sapphire
osu!,67,osu!,37794660,3787920,11841,180,12272,876,87,9.98,osu!
Penn And Teller's Smoke And Mirrors,68,Penn And Teller's Smoke And Mirrors,37509840,10980,6745,3,13,869,0,3416.2,Penn And Teller's Smoke And Mirrors
The Legend of Zelda: Ocarina of Time,69,The Legend of Zelda: Ocarina of Time,37200060,556140,6961,58,888,862,12,66.89,The Legend of Zelda: Ocarina of Time
Lineage II,70,Lineage II,35592900,1617780,6962,101,1444,825,37,22,Lineage II
Heroes of Might and Magic III: The Shadow of Death,71,Heroes of Might and Magic III: The Shadow of Death,34854600,186180,14949,16,224,807,4,187.21,Heroes of Might and Magic III: The Shadow of Death
Diablo III: Reaper of Souls,72,Diablo III: Reaper of Souls,34117920,3682920,9764,159,8076,790,85,9.26,Diablo III: Reaper of Souls
Tibia,73,Tibia,33877380,1209960,2588,62,1376,785,28,28,Tibia
World of Final Fantasy,74,World of Final Fantasy,33685320,1984440,9423,149,3388,780,46,16.97,World of Final Fantasy
World of Warships,75,World of Warships,33062940,1693140,5623,78,2648,766,39,19.53,World of Warships
Shadowverse,76,Shadowverse,33056580,988380,25600,45,1871,766,22,33.45,Shadowverse
Madden NFL 17,77,Madden NFL 17,32836740,9355620,5553,618,22384,761,216,3.51,Madden NFL 17
Paladins,78,Paladins,32051760,3191820,31166,168,9216,742,73,10.04,Paladins
Final Fantasy XIV: Heavensward,79,Final Fantasy XIV: Heavensward,30413520,3248880,7784,310,6210,704,75,9.36,Final Fantasy XIV: Heavensward
Battlerite,80,Battlerite,30184740,1331760,14304,79,3220,699,30,22.67,Battlerite
EVE Online,81,EVE Online,29264640,747060,3340,47,1327,678,17,39.17,EVE Online
Summoners War: Sky Arena,82,Summoners War: Sky Arena,29197620,672900,3203,41,752,676,15,43.39,Summoners War: Sky Arena
Warframe,83,Warframe,28748820,3329400,12098,185,8144,666,77,8.63,Warframe
The Jackbox Party Pack 3,84,The Jackbox Party Pack 3,28738140,739140,29702,91,2876,666,17,38.88,The Jackbox Party Pack 3
Social Eating,85,Social Eating,28026720,336960,15551,23,2630,649,7,83.18,Social Eating
The Sims 4,86,The Sims 4,27775680,820140,13953,52,2372,643,19,33.87,The Sims 4
7 Days to Die,87,7 Days to Die,27697920,3872400,3579,185,7934,642,89,7.15,7 Days to Die
Gwent: The Witcher Card Game,88,Gwent: The Witcher Card Game,26243940,881640,4934,66,2056,608,20,29.77,Gwent: The Witcher Card Game
Garry's Mod,89,Garry's Mod,25858980,1234500,27338,92,4415,599,28,20.95,Garry's Mod
Dishonored,90,Dishonored,25365360,852120,12707,73,3466,587,19,29.77,Dishonored
Stardew Valley,91,Stardew Valley,24795780,1117860,10882,58,2788,574,25,22.18,Stardew Valley
HITMAN,92,HITMAN,24736320,526200,31942,46,2242,573,12,47.01,HITMAN
Casino Games,93,Casino Games,24588840,388380,3695,25,398,569,9,63.31,Casino Games
DragonBall Xenoverse 2,94,DragonBall Xenoverse 2,24420540,1312200,7849,112,8639,566,30,18.61,DragonBall Xenoverse 2
Blade and Soul,95,Blade and Soul,24083160,1501680,6092,68,1791,558,34,16.04,Blade and Soul
The Elder Scrolls Online,96,The Elder Scrolls Online,22714980,1605480,1673,108,5636,526,37,14.15,The Elder Scrolls Online
Mario Kart 8,97,Mario Kart 8,22490220,245160,14069,33,824,521,5,91.74,Mario Kart 8
Call of Duty 4: Modern Warfare,98,Call of Duty 4: Modern Warfare,22080780,763680,24486,231,3334,511,17,28.91,Call of Duty 4: Modern Warfare
Dark Souls,99,Dark Souls,21678840,1256040,5597,66,2694,502,29,17.26,Dark Souls
Vainglory,100,Vainglory,21673200,455820,8877,25,609,502,10,47.55,Vainglory
