,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
League of Legends,1,League of Legends,4863878520,65234640,711103,2493,110946,112746,1512,74.56,League of Legends
Hearthstone,2,Hearthstone,2017117140,9953940,119151,380,24349,46757,230,202.65,Hearthstone
Counter-Strike: Global Offensive,3,Counter-Strike: Global Offensive,1845681480,32935920,305793,1610,85839,42783,763,56.04,Counter-Strike: Global Offensive
World of Warcraft,4,World of Warcraft,1653220080,43148340,111546,3452,60610,38322,1000,38.31,World of Warcraft
Dota 2,5,Dota 2,1488371760,17818620,99044,768,30396,34500,413,83.53,Dota 2
Overwatch,6,Overwatch,914654100,37443300,74964,2022,108359,21201,867,24.43,Overwatch
Call of Duty: Black Ops III,7,Call of Duty: Black Ops III,659334480,44626620,167067,3062,150152,15283,1034,14.77,Call of Duty: Black Ops III
Destiny,8,Destiny,601602480,47003400,140031,5970,90958,13945,1089,12.8,Destiny
Z1 Battle Royale,9,Z1 Battle Royale,416553720,8733600,67500,464,16038,9655,202,47.7,Z1 Battle Royale
Talk Shows & Podcasts,10,Talk Shows & Podcasts,313445940,3267900,321911,283,13774,7265,75,95.92,Talk Shows & Podcasts
Dead by Daylight,11,Dead by Daylight,282812580,6688260,24700,272,10589,6555,155,42.28,Dead by Daylight
Poker,12,Poker,281279460,2124600,48194,136,2470,6520,49,132.39,Poker
Minecraft,13,Minecraft,262118760,16810140,32506,951,60021,6076,389,15.59,Minecraft
World of Tanks,14,World of Tanks,260169600,6390660,32139,333,11340,6030,148,40.71,World of Tanks
FIFA 17,15,FIFA 17,222145440,3441540,63965,1142,19627,5149,79,64.55,FIFA 17
Arma 3,16,Arma 3,221558160,4827060,35559,288,7825,5135,111,45.9,Arma 3
RuneScape,17,RuneScape,210312240,4002000,23262,182,6642,4875,92,52.55,RuneScape
Creative,18,Creative,201889620,9575700,20031,366,21100,4679,221,21.08,Creative
StarCraft II,19,StarCraft II,201158580,2622360,27804,112,4555,4662,60,76.71,StarCraft II
Path of Exile,20,Path of Exile,199137720,4716720,23319,495,5747,4616,109,42.22,Path of Exile
NBA 2K17,21,NBA 2K17,178479720,9307920,42215,1755,35905,4137,215,19.18,NBA 2K17
Tom Clancy's Rainbow Six: Siege,22,Tom Clancy's Rainbow Six: Siege,170145120,13632480,35021,705,43205,3944,316,12.48,Tom Clancy's Rainbow Six: Siege
ARK,23,ARK,154786860,4911120,41935,244,6800,3588,113,31.52,ARK
Heroes of the Storm,24,Heroes of the Storm,147921060,3901320,13484,180,7130,3428,90,37.92,Heroes of the Storm
Battlefield 1,25,Battlefield 1,138394320,4763220,58203,1127,53129,3208,110,29.05,Battlefield 1
Smite,26,Smite,118508160,6509820,17585,274,16773,2747,150,18.2,Smite
Street Fighter V,27,Street Fighter V,110581740,1537380,37304,122,4492,2563,35,71.93,Street Fighter V
