,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
Rocket League,28,Rocket League,108439620,6972300,32962,536,35709,2513,161,15.55,Rocket League
For Honor,29,For Honor,94197840,1318980,53343,475,6482,2183,30,71.42,For Honor
Grand Theft Auto V,30,Grand Theft Auto V,89352780,13281840,16962,677,56201,2071,307,6.73,Grand Theft Auto V
Magic: The Gathering,31,Magic: The Gathering,87975540,675900,24972,39,874,2039,15,130.16,Magic: The Gathering
Battlerite,32,Battlerite,73554180,1849200,27062,220,5719,1705,42,39.78,Battlerite
Super Mario Maker,33,Super Mario Maker,72835440,935640,14403,50,1196,1688,21,77.85,Super Mario Maker
Rust,34,Rust,70833420,3021240,7049,171,6054,1641,70,23.45,Rust
NBA 2K16,35,NBA 2K16,66987420,5676780,19328,617,24230,1552,131,11.8,NBA 2K16
Pokémon Omega Ruby/Alpha Sapphire,36,Pokémon Omega Ruby/Alpha Sapphire,65174820,1586940,5836,79,1938,1510,36,41.07,Pokémon Omega Ruby/Alpha Sapphire
Dark Souls III,37,Dark Souls III,64018380,4843020,10488,196,15453,1483,112,13.22,Dark Souls III
Clash Royale,38,Clash Royale,63975540,1098180,17861,71,3711,1482,25,58.26,Clash Royale
Halo 5: Guardians,39,Halo 5: Guardians,61650600,3363660,27288,201,9889,1429,77,18.33,Halo 5: Guardians
DayZ,40,DayZ,58083960,2450460,18738,130,4177,1346,56,23.7,DayZ
Dungeons & Dragons,41,Dungeons & Dragons,57105660,631080,31732,65,1090,1323,14,90.49,Dungeons & Dragons
Music & Performing Arts,42,Music & Performing Arts,56937600,1231980,5063,66,4183,1319,28,46.22,Music & Performing Arts
Madden NFL 17,43,Madden NFL 17,54638340,11201100,10256,820,30606,1266,259,4.88,Madden NFL 17
FIFA 16,44,FIFA 16,49936200,4035360,23984,293,20247,1157,93,12.37,FIFA 16
Super Smash Bros. for Wii U,45,Super Smash Bros. for Wii U,48592560,956820,17766,72,2032,1126,22,50.79,Super Smash Bros. for Wii U
Forza Horizon 3,46,Forza Horizon 3,45930480,2268420,37343,430,9505,1064,52,20.25,Forza Horizon 3
Fallout 4,47,Fallout 4,44477760,6891480,10599,416,21007,1031,159,6.45,Fallout 4
The Binding of Isaac: Afterbirth,48,The Binding of Isaac: Afterbirth,43881120,954660,11570,56,2552,1017,22,45.97,The Binding of Isaac: Afterbirth
Warcraft III,49,Warcraft III,42215100,949920,6072,48,1087,978,22,44.44,Warcraft III
Paragon,50,Paragon,38934900,4733880,3047,222,9467,902,109,8.22,Paragon
BioShock: The Collection,51,BioShock: The Collection,37782360,989220,14143,133,4659,875,22,38.19,BioShock: The Collection
The Legend of Zelda: Ocarina of Time,52,The Legend of Zelda: Ocarina of Time,37227600,513840,4111,44,834,862,11,72.45,The Legend of Zelda: Ocarina of Time
Lineage II,53,Lineage II,33256080,1419540,5559,90,1364,770,32,23.43,Lineage II
Mafia II,54,Mafia II,32102760,282600,21766,34,917,744,6,113.6,Mafia II
Tom Clancy's The Division,55,Tom Clancy's The Division,31628400,4037640,4568,169,10890,733,93,7.83,Tom Clancy's The Division
World of Warships,56,World of Warships,31234980,1763400,2773,89,3081,724,40,17.71,World of Warships
Summoners War: Sky Arena,57,Summoners War: Sky Arena,30408600,743820,6602,43,808,704,17,40.88,Summoners War: Sky Arena
Final Fantasy XIV: Heavensward,58,Final Fantasy XIV: Heavensward,30397260,2494680,32264,290,6043,704,57,12.18,Final Fantasy XIV: Heavensward
Super Smash Bros. Melee,59,Super Smash Bros. Melee,29017020,643620,5390,51,1867,672,14,45.08,Super Smash Bros. Melee
Virtual Reality,60,Virtual Reality,29013060,121200,40281,14,337,672,2,239.38,Virtual Reality
Dark Souls,61,Dark Souls,28969920,993540,4568,49,2512,671,23,29.16,Dark Souls
The Elder Scrolls V: Skyrim,62,The Elder Scrolls V: Skyrim,28375560,1747800,8510,89,4193,657,40,16.24,The Elder Scrolls V: Skyrim
Social Eating,63,Social Eating,27885660,321000,15105,26,2969,646,7,86.87,Social Eating
7 Days to Die,64,7 Days to Die,26898060,3997680,2036,197,9429,623,92,6.73,7 Days to Die
Black Desert Online,65,Black Desert Online,26890740,1677540,3916,64,2398,623,38,16.03,Black Desert Online
Pokémon Go,66,Pokémon Go,26788980,279900,7849,21,1408,620,6,95.71,Pokémon Go
RimWorld,67,RimWorld,26094900,917760,9882,43,1682,604,21,28.43,RimWorld
osu!,68,osu!,25635540,3610260,2990,171,13550,594,83,7.1,osu!
Battlefield 4,69,Battlefield 4,25180380,4960260,3660,288,22063,583,114,5.08,Battlefield 4
The Witcher 3: Wild Hunt,70,The Witcher 3: Wild Hunt,22855680,2510100,3856,117,7603,529,58,9.11,The Witcher 3: Wild Hunt
Tibia,71,Tibia,22817760,939000,1919,48,1284,528,21,24.3,Tibia
Vainglory,72,Vainglory,22554600,461880,8648,25,659,522,10,48.83,Vainglory
The Elder Scrolls Online,73,The Elder Scrolls Online,22372980,2071080,2526,96,5518,518,48,10.8,The Elder Scrolls Online
Blade and Soul,74,Blade and Soul,21749460,1625340,6516,76,2076,504,37,13.38,Blade and Soul
Shadowverse,75,Shadowverse,21565440,330000,24552,28,679,499,7,65.35,Shadowverse
Diablo II: Lord of Destruction,76,Diablo II: Lord of Destruction,21137580,365640,4576,20,591,489,8,57.81,Diablo II: Lord of Destruction
Retro,77,Retro,20488560,1169520,7001,65,1440,474,27,17.52,Retro
Casino Games,78,Casino Games,20306340,275700,2338,25,371,470,6,73.65,Casino Games
Garry's Mod,79,Garry's Mod,20279640,1146060,14669,93,5063,470,26,17.7,Garry's Mod
Mortal Kombat X,80,Mortal Kombat X,19933320,958020,6981,49,4583,462,22,20.81,Mortal Kombat X
Bloodborne,81,Bloodborne,19467600,1619460,7248,73,5203,451,37,12.02,Bloodborne
ReCore,82,ReCore,18736800,908880,27537,203,3758,434,21,20.62,ReCore
Team Fortress 2,83,Team Fortress 2,18701700,1047720,7836,61,3605,433,24,17.85,Team Fortress 2
M.U.G.E.N,84,M.U.G.E.N,18498540,83340,696,6,54,428,1,221.96,M.U.G.E.N
Divinity: Original Sin,85,Divinity: Original Sin,18355620,235080,8551,21,749,425,5,78.08,Divinity: Original Sin
Super Mario 64,86,Super Mario 64,17780160,490800,6093,29,1064,412,11,36.23,Super Mario 64
Sid Meier's Civilization V,87,Sid Meier's Civilization V,17497320,558240,2897,41,1782,405,12,31.34,Sid Meier's Civilization V
Worms W.M.D,88,Worms W.M.D,17265060,161760,30849,19,740,400,3,106.73,Worms W.M.D
Tales of Berseria,89,Tales of Berseria,17211540,230220,5411,23,177,398,5,74.76,Tales of Berseria
The King of Fighters XIV,90,The King of Fighters XIV,17138520,415500,9668,33,1497,397,9,41.25,The King of Fighters XIV
Guild Wars 2,91,Guild Wars 2,16930860,1266180,5582,71,2358,392,29,13.37,Guild Wars 2
Kerbal Space Program,92,Kerbal Space Program,16314300,535320,2670,37,1334,378,12,30.48,Kerbal Space Program
The Bunker,93,The Bunker,16240920,74580,39468,27,539,376,1,217.77,The Bunker
Kartrider,94,Kartrider,16003980,164820,4689,25,439,370,3,97.1,Kartrider
Resident Evil 5,95,Resident Evil 5,15867480,324360,8927,23,2213,367,7,48.92,Resident Evil 5
The Legend of Zelda: Majora's Mask,96,The Legend of Zelda: Majora's Mask,15668700,220020,2074,17,335,363,5,71.21,The Legend of Zelda: Majora's Mask
Miscreated,97,Miscreated,15655980,750600,6843,44,1759,362,17,20.86,Miscreated
Resident Evil 4,98,Resident Evil 4,15402960,2294400,3240,188,6945,357,53,6.71,Resident Evil 4
Call of Duty: Black Ops II,99,Call of Duty: Black Ops II,15376020,1297560,6231,77,3971,356,30,11.85,Call of Duty: Black Ops II
Diablo III: Reaper of Souls,100,Diablo III: Reaper of Souls,15339360,2104620,1482,102,6358,355,48,7.29,Diablo III: Reaper of Souls
