,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
Super Smash Bros. Melee,33,Super Smash Bros. Melee,105970680,599580,223070,39,1845,2377,13,176.74,Super Smash Bros. Melee
Magic: The Gathering,34,Magic: The Gathering,103385220,781140,16081,41,952,2319,17,132.35,Magic: The Gathering
Battlefield 1,35,Battlefield 1,96895920,447360,57001,82,991,2173,10,216.59,Battlefield 1
Clash Royale,36,Clash Royale,89701080,1329600,19956,76,3660,2012,29,67.46,Clash Royale
The Elder Scrolls V: Skyrim,37,The Elder Scrolls V: Skyrim,85614000,2025720,168538,90,4838,1920,45,42.26,The Elder Scrolls V: Skyrim
Dark Souls III,38,Dark Souls III,84073680,6210600,12132,248,19009,1885,139,13.54,Dark Souls III
Super Smash Bros. for Wii U,39,Super Smash Bros. for Wii U,79675920,947520,73534,60,1965,1787,21,84.09,Super Smash Bros. for Wii U
Super Mario Maker,40,Super Mario Maker,78848280,921900,153048,50,1193,1768,20,85.53,Super Mario Maker
Path of Exile,41,Path of Exile,78075480,2565360,6740,107,3503,1751,57,30.43,Path of Exile
Music & Performing Arts,42,Music & Performing Arts,72421260,1638480,8486,71,4642,1624,36,44.2,Music & Performing Arts
Pokémon Omega Ruby/Alpha Sapphire,43,Pokémon Omega Ruby/Alpha Sapphire,71980380,1434600,20335,67,1810,1614,32,50.17,Pokémon Omega Ruby/Alpha Sapphire
ARK,44,ARK,64225680,3909000,7828,168,5823,1440,87,16.43,ARK
Halo 5: Guardians,45,Halo 5: Guardians,63968160,4640040,23661,282,16016,1434,104,13.79,Halo 5: Guardians
Inside,46,Inside,60386820,786660,37950,126,4040,1354,17,76.76,Inside
Lineage II,47,Lineage II,54021960,1204440,14544,69,1166,1211,27,44.85,Lineage II
Fallout 4,48,Fallout 4,52506120,7287600,144758,365,23839,1177,163,7.2,Fallout 4
Social Eating,49,Social Eating,49952820,546780,55709,41,4648,1120,12,91.36,Social Eating
The Legend of Zelda: Ocarina of Time,50,The Legend of Zelda: Ocarina of Time,49012140,561660,131876,45,967,1099,12,87.26,The Legend of Zelda: Ocarina of Time
RimWorld,51,RimWorld,47347620,936060,29626,77,1894,1062,20,50.58,RimWorld
Furi,52,Furi,45275520,1404000,39313,159,8757,1015,31,32.25,Furi
Warcraft III,53,Warcraft III,45256800,1053900,6048,52,1194,1015,23,42.94,Warcraft III
We Happy Few,54,We Happy Few,41443800,456300,57120,168,2476,929,10,90.83,We Happy Few
L.A. Noire,55,L.A. Noire,39991980,116760,36479,15,358,897,2,342.51,L.A. Noire
Diablo II: Lord of Destruction,56,Diablo II: Lord of Destruction,38189640,451740,124330,50,733,856,10,84.54,Diablo II: Lord of Destruction
Dungeons & Dragons,57,Dungeons & Dragons,37998900,572460,23401,54,946,852,12,66.38,Dungeons & Dragons
Starbound,58,Starbound,37306200,1254480,13245,165,3848,836,28,29.74,Starbound
The Binding of Isaac: Afterbirth,59,The Binding of Isaac: Afterbirth,36826920,796380,12876,43,2275,826,17,46.24,The Binding of Isaac: Afterbirth
Guilty Gear Xrd -Revelator-,60,Guilty Gear Xrd -Revelator-,36109380,429600,131894,38,1247,809,9,84.05,Guilty Gear Xrd -Revelator-
Battlefield 4,61,Battlefield 4,35974080,7166940,9274,311,30743,806,160,5.02,Battlefield 4
Monster Hunter Generations,62,Monster Hunter Generations,35676060,804900,4757,92,567,800,18,44.32,Monster Hunter Generations
Mortal Kombat X,63,Mortal Kombat X,35403120,1252800,105232,63,6444,794,28,28.26,Mortal Kombat X
osu!,64,osu!,33080220,3869880,6913,154,13834,742,86,8.55,osu!
NBA 2K15,65,NBA 2K15,32379900,858060,6203,41,3439,726,19,37.74,NBA 2K15
The Elder Scrolls III: Morrowind,66,The Elder Scrolls III: Morrowind,32347320,109140,146352,11,294,725,2,296.38,The Elder Scrolls III: Morrowind
Black Desert Online,67,Black Desert Online,31471380,1816980,2946,83,2588,705,40,17.32,Black Desert Online
Pokémon Red/Blue,68,Pokémon Red/Blue,30869280,372540,150951,31,1117,692,8,82.86,Pokémon Red/Blue
Paragon,69,Paragon,30413700,4350120,3139,203,11548,682,97,6.99,Paragon
Final Fantasy VI,70,Final Fantasy VI,30022920,88920,141967,16,235,673,1,337.64,Final Fantasy VI
Red Dead Redemption,71,Red Dead Redemption,29894760,1270140,27683,200,6748,670,28,23.54,Red Dead Redemption
The Witcher 3: Wild Hunt,72,The Witcher 3: Wild Hunt,29879760,3506940,5271,170,9699,670,78,8.52,The Witcher 3: Wild Hunt
Garry's Mod,73,Garry's Mod,29157360,1823940,20563,94,7186,654,40,15.99,Garry's Mod
Ultimate Marvel vs. Capcom 3,74,Ultimate Marvel vs. Capcom 3,28941720,43140,120615,11,93,649,0,670.88,Ultimate Marvel vs. Capcom 3
Kartrider,75,Kartrider,27966840,203400,7023,19,489,627,4,137.5,Kartrider
Super Mario RPG: Legend of the Seven Stars,76,Super Mario RPG: Legend of the Seven Stars,27252540,86880,120753,15,273,611,1,313.68,Super Mario RPG: Legend of the Seven Stars
The Elder Scrolls Online,77,The Elder Scrolls Online,26430960,2770920,1871,117,7793,592,62,9.54,The Elder Scrolls Online
Virtual Reality,78,Virtual Reality,26070960,110280,32061,11,300,584,2,236.41,Virtual Reality
Warframe,79,Warframe,25904520,4362420,30385,185,12764,581,97,5.94,Warframe
Golf With Your Friends,80,Golf With Your Friends,25813740,579600,26068,45,3792,579,13,44.54,Golf With Your Friends
Blade and Soul,81,Blade and Soul,25327620,1738620,5444,75,2504,568,39,14.57,Blade and Soul
Necropolis,82,Necropolis,25174980,331140,55052,199,1335,564,7,76.03,Necropolis
Kerbal Space Program,83,Kerbal Space Program,24505260,795660,4592,52,2373,549,17,30.8,Kerbal Space Program
Super Mario Sunshine,84,Super Mario Sunshine,23935740,209760,148484,18,512,536,4,114.11,Super Mario Sunshine
Diablo III: Reaper of Souls,85,Diablo III: Reaper of Souls,23509380,1947840,16494,90,6030,527,43,12.07,Diablo III: Reaper of Souls
World of Warships,86,World of Warships,23324340,1464780,1897,67,2878,523,32,15.92,World of Warships
Terraria,87,Terraria,22375620,1815660,7328,87,6128,501,40,12.32,Terraria
DNC 2016,88,DNC 2016,21762120,21300,47549,24,59,488,0,1021.7,DNC 2016
Summoners War: Sky Arena,89,Summoners War: Sky Arena,21634980,554820,8944,33,703,485,12,38.99,Summoners War: Sky Arena
Casino Games,90,Casino Games,21411000,239220,13718,19,313,480,5,89.5,Casino Games
Retro,91,Retro,21348720,951840,2345,42,1164,478,21,22.43,Retro
Team Fortress 2,92,Team Fortress 2,21308940,1363500,4071,67,4810,477,30,15.63,Team Fortress 2
Vainglory,93,Vainglory,21257340,402240,6518,23,577,476,9,52.85,Vainglory
The Culling,94,The Culling,21242580,590160,6674,35,1325,476,13,35.99,The Culling
Super Mario 64,95,Super Mario 64,20830680,543420,126229,134,1181,467,12,38.33,Super Mario 64
Call of Duty: Black Ops II,96,Call of Duty: Black Ops II,20634180,1902120,6355,87,4846,462,42,10.85,Call of Duty: Black Ops II
Super Mario Bros. 3,97,Super Mario Bros. 3,20400480,70620,150992,12,296,457,1,288.88,Super Mario Bros. 3
Total War: WARHAMMER,98,Total War: WARHAMMER,20081340,610380,13405,51,1227,450,13,32.9,Total War: WARHAMMER
Ragnarok Online,99,Ragnarok Online,19445700,710700,6661,40,661,436,15,27.36,Ragnarok Online
Subnautica,100,Subnautica,19320240,847620,19531,62,2860,433,19,22.79,Subnautica
