"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Call of Duty: Black Ops II","91","Call of Duty: Black Ops II","17547060","1757940","11764","90","4373","406","40","9.98","Call of Duty: Black Ops II"
"Outlast","92","Outlast","16765920","1199220","12539","69","7485","388","27","13.98","Outlast"
"Guild Wars 2","93","Guild Wars 2","16619940","1165080","6577","65","2087","385","27","14.27","Guild Wars 2"
"EVE Online","94","EVE Online","16151520","470580","4872","26","750","374","10","34.32","EVE Online"
"Neverwinter","95","Neverwinter","16117680","512340","3137","29","1194","373","11","31.46","Neverwinter"
"Casino Games","96","Casino Games","15982020","221100","12030","19","328","370","5","72.28","Casino Games"
"Town of Salem","97","Town of Salem","15728640","481800","44627","35","1951","364","11","32.65","Town of Salem"
"Borderlands 2","98","Borderlands 2","15606240","1154040","12750","63","3377","361","26","13.52","Borderlands 2"
"Ragnarok Online","99","Ragnarok Online","14577180","428040","4638","47","546","337","9","34.06","Ragnarok Online"
"Drawful 2","100","Drawful 2","14506080","199560","33320","50","1178","336","4","72.69","Drawful 2"
