"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Dead by Daylight","17","Dead by Daylight","492417540","18126060","50339","793","29956","11414","420","27.17","Dead by Daylight"
"RuneScape","18","RuneScape","427352400","6721980","70446","255","9704","9906","155","63.58","RuneScape"
"Dark Souls","19","Dark Souls","347026020","8207280","54056","474","16070","8044","190","42.28","Dark Souls"
"StarCraft II","20","StarCraft II","297549180","3673560","61872","136","6228","6897","85","81","StarCraft II"
"Talk Shows & Podcasts","21","Talk Shows & Podcasts","295705800","3034740","54624","354","9348","6854","70","97.44","Talk Shows & Podcasts"
"Warframe","22","Warframe","287814780","8924640","38079","559","19203","6671","206","32.25","Warframe"
"Destiny 2","23","Destiny 2","276029280","22921860","177513","1194","43290","6398","531","12.04","Destiny 2"
"Music & Performing Arts","24","Music & Performing Arts","257279340","9575400","40457","295","10203","5963","221","26.87","Music & Performing Arts"
"Creative","25","Creative","249049980","16690620","15642","660","31942","5773","386","14.92","Creative"
"FIFA 18","26","FIFA 18","246863040","9226740","66256","630","34867","5722","213","26.76","FIFA 18"
"Rocket League","27","Rocket League","245940120","12766680","173257","502","52849","5700","295","19.26","Rocket League"
"Casino_old","28","Casino_old","233981100","3535980","25343","119","1340","5423","81","66.17","Casino_old"
"Magic: The Gathering","29","Magic: The Gathering","221564760","2441460","34591","133","3894","5135","56","90.75","Magic: The Gathering"
"Detroit: Become Human","30","Detroit: Become Human","219071400","3973980","31786","257","15510","5078","92","55.13","Detroit: Become Human"
"Poker","31","Poker","197143320","2575980","25339","159","2539","4569","59","76.53","Poker"
"Doctor Who","32","Doctor Who","195136980","47940","22462","3","21","4523","1","4070.44","Doctor Who"
"Darkest Dungeon","33","Darkest Dungeon","189693180","2379240","34401","242","5759","4397","55","79.73","Darkest Dungeon"
"Diablo III: Reaper of Souls","34","Diablo III: Reaper of Souls","186370800","8632560","20620","1347","16417","4320","200","21.59","Diablo III: Reaper of Souls"
"Minecraft","35","Minecraft","184778640","14051100","27186","552","43784","4283","325","13.15","Minecraft"
"Mario Tennis Aces","36","Mario Tennis Aces","179868000","1388040","56535","348","4532","4169","32","129.58","Mario Tennis Aces"
"Vampyr","37","Vampyr","175358760","5512020","114271","1223","13170","4064","127","31.81","Vampyr"
"Black Desert Online","38","Black Desert Online","174546180","7501140","10815","264","9284","4046","173","23.27","Black Desert Online"
"Call of Duty: WWII","39","Call of Duty: WWII","144040200","5721900","71491","314","36058","3338","132","25.17","Call of Duty: WWII"
"Always On","40","Always On","140215080","555900","11700","15","26","3250","12","252.23","Always On"
"World of Tanks","41","World of Tanks","137718660","5737620","10805","276","8589","3192","133","24","World of Tanks"
"NBA 2K18","42","NBA 2K18","137299440","7454820","21697","377","21132","3182","172","18.42","NBA 2K18"
"Escape From Tarkov","43","Escape From Tarkov","132324840","6327480","17625","279","7629","3067","146","20.91","Escape From Tarkov"
"FINAL FANTASY XIV Online","44","FINAL FANTASY XIV Online","120646320","7655760","21284","549","9652","2796","177","15.76","FINAL FANTASY XIV Online"
"Z1 Battle Royale","45","Z1 Battle Royale","119502000","7162080","98486","526","21789","2770","166","16.69","Z1 Battle Royale"
"Street Fighter V","46","Street Fighter V","117798240","1731360","25316","111","4071","2730","40","68.04","Street Fighter V"
"ARK","47","ARK","110118720","7272960","28635","321","14588","2552","168","15.14","ARK"
"The Witcher 3: Wild Hunt","48","The Witcher 3: Wild Hunt","109826160","3410100","27995","174","9461","2545","79","32.21","The Witcher 3: Wild Hunt"
"Dungeons & Dragons","49","Dungeons & Dragons","107080980","2305560","42492","180","3435","2482","53","46.44","Dungeons & Dragons"
"Rust","50","Rust","105976740","5165280","34699","338","10694","2456","119","20.52","Rust"
"Dragon Ball FighterZ","51","Dragon Ball FighterZ","99523440","1899960","34244","206","8298","2306","44","52.38","Dragon Ball FighterZ"
"Warcraft III","52","Warcraft III","97198440","1617000","10517","70","1665","2253","37","60.11","Warcraft III"
"TrackMania² Stadium","53","TrackMania² Stadium","93260280","482280","67328","121","1562","2161","11","193.37","TrackMania² Stadium"
"E3","54","E3","92058600","227940","566191","1547","2063","2133","5","403.87","E3"
"DayZ","55","DayZ","91038360","2599860","46198","166","6252","2110","60","35.02","DayZ"
"The Elder Scrolls Online","56","The Elder Scrolls Online","88928820","4855860","29815","209","10181","2061","112","18.31","The Elder Scrolls Online"
"The Elder Scrolls: Legends","57","The Elder Scrolls: Legends","88796880","751740","3765","33","894","2058","17","118.12","The Elder Scrolls: Legends"
"Battlefield V","58","Battlefield V","86357700","455640","92955","217","1952","2001","10","189.53","Battlefield V"
"Smite","59","Smite","82969320","6195000","9590","257","13457","1923","143","13.39","Smite"
"Quake Champions","60","Quake Champions","82927800","3817680","46969","234","15842","1922","88","21.72","Quake Champions"
"Games + Demos","61","Games + Demos","79274880","1342200","25818","61","4373","1837","31","59.06","Games + Demos"
"Raft","62","Raft","78439260","3033180","17769","257","10827","1818","70","25.86","Raft"
"VRChat","63","VRChat","76310940","3701280","12889","183","5279","1768","85","20.62","VRChat"
"Lineage II","64","Lineage II","73777020","2106180","7225","134","1606","1710","48","35.03","Lineage II"
"The Legend of Zelda: Ocarina of Time","65","The Legend of Zelda: Ocarina of Time","72770700","1426380","152961","91","1706","1686","33","51.02","The Legend of Zelda: Ocarina of Time"
"Dark Souls III","66","Dark Souls III","69475380","5124780","12258","217","14978","1610","118","13.56","Dark Souls III"
"The Sims 4","67","The Sims 4","68483940","2396220","35283","198","7256","1587","55","28.58","The Sims 4"
"Super Smash Bros. for Wii U","68","Super Smash Bros. for Wii U","65594400","898320","27946","64","2095","1520","20","73.02","Super Smash Bros. for Wii U"
"Dark Souls II","69","Dark Souls II","64011480","436200","23315","35","1215","1483","10","146.75","Dark Souls II"
"Retro","70","Retro","63766500","3732360","6271","143","4609","1478","86","17.08","Retro"
"Super Mario Maker","71","Super Mario Maker","63586740","541680","164695","30","660","1473","12","117.39","Super Mario Maker"
"Tekken 7","72","Tekken 7","62384820","1715580","18040","71","5356","1446","39","36.36","Tekken 7"
"Sea of Thieves","73","Sea of Thieves","61681200","4948020","41503","261","12945","1429","114","12.47","Sea of Thieves"
"The Crew 2","74","The Crew 2","60096060","2866800","37298","510","12091","1393","66","20.96","The Crew 2"
"Dauntless","75","Dauntless","59161920","6204180","10156","557","15913","1371","143","9.54","Dauntless"
"For Honor","76","For Honor","58718160","4601040","23701","308","17148","1361","106","12.76","For Honor"
"Slay the Spire","77","Slay the Spire","57538620","1403940","11695","58","4765","1333","32","40.98","Slay the Spire"
"Monster Hunter World","78","Monster Hunter World","57296880","3657660","7169","180","14190","1328","84","15.66","Monster Hunter World"
"Gwent: The Witcher Card Game","79","Gwent: The Witcher Card Game","57289920","898980","3139","58","1422","1328","20","63.73","Gwent: The Witcher Card Game"
"MapleStory","80","MapleStory","54859920","2141580","14398","135","3132","1271","49","25.62","MapleStory"
"Super Smash Bros. Melee","81","Super Smash Bros. Melee","52471080","828840","124689","51","2481","1216","19","63.31","Super Smash Bros. Melee"
"Conan Exiles","82","Conan Exiles","51906480","4382580","8175","276","6875","1203","101","11.84","Conan Exiles"
"Wreckfest","83","Wreckfest","51202320","686460","79719","73","2416","1186","15","74.59","Wreckfest"
"Call of Duty: Black Ops III","84","Call of Duty: Black Ops III","50849820","10661220","3772","542","44428","1178","247","4.77","Call of Duty: Black Ops III"
"Fallout 4","85","Fallout 4","49193700","7321500","5939","290","20479","1140","169","6.72","Fallout 4"
"Tibia","86","Tibia","49178400","2658660","3515","126","2891","1139","61","18.5","Tibia"
"Pokémon Ultra Sun/Ultra Moon","87","Pokémon Ultra Sun/Ultra Moon","48419520","1638600","7382","71","2230","1122","37","29.55","Pokémon Ultra Sun/Ultra Moon"
"Arma 3","88","Arma 3","47621280","3834000","10585","278","7021","1103","88","12.42","Arma 3"
"osu!","89","osu!","47386140","6632760","9140","264","25383","1098","153","7.14","osu!"
"Stardew Valley","90","Stardew Valley","47183880","4059720","12698","200","11626","1093","94","11.62","Stardew Valley"
"Baldi's Basics in Education and Learning","91","Baldi's Basics in Education and Learning","46862100","154380","38533","15","1573","1086","3","303.55","Baldi's Basics in Education and Learning"
"The Forest","92","The Forest","46541760","3118320","13728","174","10595","1078","72","14.93","The Forest"
"Cuisine Royale","93","Cuisine Royale","46398120","778080","58647","126","6737","1075","18","59.63","Cuisine Royale"
"Bless Online","94","Bless Online","45712920","3022860","9552","335","3964","1059","70","15.12","Bless Online"
"The Binding of Isaac: Afterbirth","95","The Binding of Isaac: Afterbirth","44932920","1172340","65789","60","3925","1041","27","38.33","The Binding of Isaac: Afterbirth"
"Shadowverse","96","Shadowverse","44265300","1235520","17929","86","1664","1026","28","35.83","Shadowverse"
"Battlefield 1","97","Battlefield 1","43419060","5141760","30358","230","18680","1006","119","8.44","Battlefield 1"
"Tom Clancy's The Division","98","Tom Clancy's The Division","42851040","5614200","5428","278","13406","993","130","7.63","Tom Clancy's The Division"
"The Last of Us","99","The Last of Us","42704100","1985640","15085","121","5516","989","46","21.51","The Last of Us"
"The Legend of Zelda: A Link to the Past","100","The Legend of Zelda: A Link to the Past","41227920","1571100","10356","118","2019","955","36","26.24","The Legend of Zelda: A Link to the Past"
