"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","9125173860","484435860","827125","19495","945248","204692","10866","18.84","Fortnite"
"League of Legends","2","League of Legends","4547015040","81803160","229347","2772","138178","101996","1834","55.58","League of Legends"
"IRL","3","IRL","2884671360","41296260","159265","1327","128913","64707","926","69.85","IRL"
"PLAYERUNKNOWN'S BATTLEGROUNDS","4","PLAYERUNKNOWN'S BATTLEGROUNDS","2652330240","86971200","579861","3330","146943","59495","1950","30.5","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","5","Dota 2","1724815980","26346120","150725","1068","35388","38690","590","65.47","Dota 2"
"Hearthstone","6","Hearthstone","1671624420","10676880","115029","367","23172","37497","239","156.56","Hearthstone"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1605751020","41463840","237413","1641","115318","36019","930","38.73","Counter-Strike: Global Offensive"
"Overwatch","8","Overwatch","1512675300","58291440","344591","2360","131507","33931","1307","25.95","Overwatch"
"World of Warcraft","9","World of Warcraft","1320499320","37443540","128223","1843","56431","29620","839","35.27","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","969877860","27050760","67222","1572","68131","21755","606","35.85","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","11","Tom Clancy's Rainbow Six: Siege","786410220","40527780","64425","1463","113149","17640","909","19.4","Tom Clancy's Rainbow Six: Siege"
"Dead by Daylight","12","Dead by Daylight","722128020","24328920","57513","965","37508","16198","545","29.68","Dead by Daylight"
"Heroes of the Storm","13","Heroes of the Storm","499173900","9668880","40790","341","15698","11197","216","51.63","Heroes of the Storm"
"Casino_old","14","Casino_old","376980240","3398460","29507","114","1421","8456","76","110.93","Casino_old"
"Warframe","15","Warframe","375647760","16341780","402554","629","32441","8426","366","22.99","Warframe"
"StarCraft II","16","StarCraft II","323058960","3991140","81780","152","6762","7246","89","80.94","StarCraft II"
"Minecraft","17","Minecraft","311602260","17305740","48864","687","48608","6989","388","18.01","Minecraft"
"Realm Royale","18","Realm Royale","283957200","9491580","193264","482","26676","6369","212","29.92","Realm Royale"
"Talk Shows & Podcasts","19","Talk Shows & Podcasts","282146460","2972340","69940","127","8530","6328","66","94.92","Talk Shows & Podcasts"
"Music & Performing Arts","20","Music & Performing Arts","277140660","10314840","23620","318","10983","6216","231","26.87","Music & Performing Arts"
"Destiny 2","21","Destiny 2","272261400","21785400","42725","1823","40596","6107","488","12.5","Destiny 2"
"Escape From Tarkov","22","Escape From Tarkov","271423080","8827800","53701","443","10080","6088","198","30.75","Escape From Tarkov"
"Creative","23","Creative","260097840","17891640","23175","654","34122","5834","401","14.54","Creative"
"No Man's Sky","24","No Man's Sky","256753740","8097960","118853","1264","23669","5759","181","31.71","No Man's Sky"
"ARK","25","ARK","252957300","8825160","40648","319","13968","5674","197","28.66","ARK"
"RuneScape","26","RuneScape","238919820","6166020","17396","235","9846","5359","138","38.75","RuneScape"
"Poker","27","Poker","227069820","2764020","21469","160","2868","5093","62","82.15","Poker"
"Rocket League","28","Rocket League","214638900","15046140","42127","679","62448","4814","337","14.27","Rocket League"
"Magic: The Gathering","29","Magic: The Gathering","210769620","3056580","19752","240","5832","4727","68","68.96","Magic: The Gathering"
"Path of Exile","30","Path of Exile","201220080","6788760","26718","298","9114","4513","152","29.64","Path of Exile"
"Warcraft III","31","Warcraft III","183049200","1884540","25092","80","2111","4106","42","97.13","Warcraft III"
"Diablo III: Reaper of Souls","32","Diablo III: Reaper of Souls","182195280","6699720","14423","298","13220","4086","150","27.19","Diablo III: Reaper of Souls"
"Always On","33","Always On","176811300","603060","17043","16","31","3966","13","293.19","Always On"
"Black Desert Online","34","Black Desert Online","173162340","7619160","7169","246","8438","3884","170","22.73","Black Desert Online"
"Call of Duty: WWII","35","Call of Duty: WWII","169956480","6879300","45209","335","35098","3812","154","24.71","Call of Duty: WWII"
"Darkest Dungeon","36","Darkest Dungeon","160540260","2987340","26247","149","6047","3601","67","53.74","Darkest Dungeon"
"World of Tanks","37","World of Tanks","156126420","6051120","13833","282","7974","3502","135","25.8","World of Tanks"
"Enter the Gungeon","38","Enter the Gungeon","152613000","2517480","33515","205","9695","3423","56","60.62","Enter the Gungeon"
"FIFA 18","39","FIFA 18","151415820","8188500","18605","545","29492","3396","183","18.49","FIFA 18"
"Doctor Who","40","Doctor Who","149710560","32640","14685","3","10","3358","0","4586.72","Doctor Who"
"NBA 2K18","41","NBA 2K18","147918720","7919400","30176","400","22472","3318","177","18.68","NBA 2K18"
"Rust","42","Rust","137661000","6427260","16199","387","11926","3087","144","21.42","Rust"
"Islands of Nyne: Battle Royale","43","Islands of Nyne: Battle Royale","136463040","4863180","98062","790","13230","3061","109","28.06","Islands of Nyne: Battle Royale"
"Games + Demos","44","Games + Demos","126266040","1677000","31173","76","4814","2832","37","75.29","Games + Demos"
"Street Fighter V","45","Street Fighter V","119286660","2004120","47455","83","4386","2675","44","59.52","Street Fighter V"
"Octopath Traveler","46","Octopath Traveler","112760580","2892540","41085","360","4240","2529","64","38.98","Octopath Traveler"
"Dark Souls","47","Dark Souls","108751320","3563580","26068","178","7927","2439","79","30.52","Dark Souls"
"Dark Souls III","48","Dark Souls III","108076500","5811180","17686","200","15437","2424","130","18.6","Dark Souls III"
"Smite","49","Smite","106102560","6898080","10535","306","14410","2380","154","15.38","Smite"
"Battlefield V","50","Battlefield V","102915480","337680","277175","129","1128","2308","7","304.77","Battlefield V"
"Terraria","51","Terraria","102879480","2544840","13457","98","7006","2307","57","40.43","Terraria"
"Dungeons & Dragons","52","Dungeons & Dragons","95244660","2352180","43534","183","3450","2136","52","40.49","Dungeons & Dragons"
"MapleStory","53","MapleStory","88179900","3171600","17158","132","4376","1978","71","27.8","MapleStory"
"The Elder Scrolls: Legends","54","The Elder Scrolls: Legends","84998700","830340","3552","37","817","1906","18","102.37","The Elder Scrolls: Legends"
"The Sims 4","55","The Sims 4","83422380","2755200","37270","116","8754","1871","61","30.28","The Sims 4"
"Tekken 7","56","Tekken 7","82613340","1967820","48985","72","5852","1853","44","41.98","Tekken 7"
"The Witcher 3: Wild Hunt","57","The Witcher 3: Wild Hunt","79745280","3850440","21378","181","9476","1788","86","20.71","The Witcher 3: Wild Hunt"
"Lineage II","58","Lineage II","78336540","2636220","7700","145","1842","1757","59","29.72","Lineage II"
"Slay the Spire","59","Slay the Spire","78157920","1718040","14047","75","5581","1753","38","45.49","Slay the Spire"
"The Elder Scrolls V: Skyrim","60","The Elder Scrolls V: Skyrim","74917200","4444620","15055","183","11731","1680","99","16.86","The Elder Scrolls V: Skyrim"
"Sea of Thieves","61","Sea of Thieves","74466060","4694820","48586","605","9419","1670","105","15.86","Sea of Thieves"
"Gwent: The Witcher Card Game","62","Gwent: The Witcher Card Game","74409720","961440","40938","53","1442","1669","21","77.39","Gwent: The Witcher Card Game"
"RimWorld","63","RimWorld","74247480","1606980","17003","79","2795","1665","36","46.2","RimWorld"
"Retro","64","Retro","73822500","4196520","29487","166","5013","1655","94","17.59","Retro"
"The Elder Scrolls Online","65","The Elder Scrolls Online","72630300","4143420","9305","167","7550","1629","92","17.53","The Elder Scrolls Online"
"Pokémon Ultra Sun/Ultra Moon","66","Pokémon Ultra Sun/Ultra Moon","70599960","2259480","24443","105","3296","1583","50","31.25","Pokémon Ultra Sun/Ultra Moon"
"Old School RuneScape","67","Old School RuneScape","70423680","1760700","15232","203","4385","1579","39","40","Old School RuneScape"
"The Legend of Zelda: Ocarina of Time","68","The Legend of Zelda: Ocarina of Time","69943200","1466160","19877","85","1856","1568","32","47.71","The Legend of Zelda: Ocarina of Time"
"Bloodborne","69","Bloodborne","68390640","2318640","21951","93","6718","1534","52","29.5","Bloodborne"
"VRChat","70","VRChat","67264200","3734040","6995","174","5559","1508","83","18.01","VRChat"
"Super Mario Maker","71","Super Mario Maker","67124040","585480","11563","37","716","1505","13","114.65","Super Mario Maker"
"Grand Theft Auto: San Andreas","72","Grand Theft Auto: San Andreas","66259440","933720","17582","48","3314","1486","20","70.96","Grand Theft Auto: San Andreas"
"Age of Empires II","73","Age of Empires II","65395980","837540","45645","43","1927","1466","18","78.08","Age of Empires II"
"The Forest","74","The Forest","65269680","2710680","20046","135","8948","1464","60","24.08","The Forest"
"osu!","75","osu!","65085720","7431900","24897","276","27119","1459","166","8.76","osu!"
"Arma 3","76","Arma 3","63273480","4321920","8796","259","7664","1419","96","14.64","Arma 3"
"Mario Tennis Aces","77","Mario Tennis Aces","62018220","704640","43444","60","2452","1391","15","88.01","Mario Tennis Aces"
"Call of Duty: Black Ops III","78","Call of Duty: Black Ops III","61502160","11551320","10350","452","48524","1379","259","5.32","Call of Duty: Black Ops III"
"Z1 Battle Royale","79","Z1 Battle Royale","60566160","5493360","15733","307","14825","1358","123","11.03","Z1 Battle Royale"
"FINAL FANTASY XIV Online","80","FINAL FANTASY XIV Online","60105360","7139580","13824","499","9683","1348","160","8.42","FINAL FANTASY XIV Online"
"Tibia","81","Tibia","59943780","2866620","3871","137","3134","1344","64","20.91","Tibia"
"Conan Exiles","82","Conan Exiles","59451180","2978460","37506","127","4756","1333","66","19.96","Conan Exiles"
"Quake Champions","83","Quake Champions","58504440","2381400","9657","121","7453","1312","53","24.57","Quake Champions"
"Dragon Ball FighterZ","84","Dragon Ball FighterZ","56217000","1760220","51763","91","7719","1261","39","31.94","Dragon Ball FighterZ"
"The Crew 2","85","The Crew 2","55187640","2365140","33296","205","7084","1237","53","23.33","The Crew 2"
"Final Fantasy VI","86","Final Fantasy VI","52903380","221580","151839","19","413","1186","4","238.76","Final Fantasy VI"
"The Last of Us","87","The Last of Us","51649920","1618500","20445","73","3453","1158","36","31.91","The Last of Us"
"Monster Hunter World","88","Monster Hunter World","50389800","3641580","9116","204","12855","1130","81","13.84","Monster Hunter World"
"Fallout 4","89","Fallout 4","50346240","6117780","20372","262","14997","1129","137","8.23","Fallout 4"
"Detroit: Become Human","90","Detroit: Become Human","49875540","1456440","20105","77","6250","1118","32","34.24","Detroit: Become Human"
"I Wanna Be The Boshy","91","I Wanna Be The Boshy","47395380","60300","39844","19","304","1063","1","785.99","I Wanna Be The Boshy"
"Shadowverse","92","Shadowverse","46701480","1383000","16796","74","1811","1047","31","33.77","Shadowverse"
"The Legend of Zelda: Breath of the Wild","93","The Legend of Zelda: Breath of the Wild","46478040","1523940","14228","69","2797","1042","34","30.5","The Legend of Zelda: Breath of the Wild"
"Crash Bandicoot: N. Sane Trilogy","94","Crash Bandicoot: N. Sane Trilogy","46440660","2033640","22175","163","9808","1041","45","22.84","Crash Bandicoot: N. Sane Trilogy"
"Summoners War: Sky Arena","95","Summoners War: Sky Arena","45904800","902700","8288","41","1035","1029","20","50.85","Summoners War: Sky Arena"
"Paladins","96","Paladins","44655960","5513100","11043","244","18745","1001","123","8.1","Paladins"
"StarCraft","97","StarCraft","44055000","700500","29975","33","1136","988","15","62.89","StarCraft"
"Clash Royale","98","Clash Royale","43915020","820860","41444","43","2291","985","18","53.5","Clash Royale"
"Twitch Plays","99","Twitch Plays","43489140","1530420","3436","60","1203","975","34","28.42","Twitch Plays"
"Super Smash Bros. for Wii U","100","Super Smash Bros. for Wii U","43337640","975660","23634","62","2089","972","21","44.42","Super Smash Bros. for Wii U"
