"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","6727501200","398319000","591205","20952","822907","150908","8934","16.89","Fortnite"
"League of Legends","2","League of Legends","6551494020","97964520","911568","3439","152293","146960","2197","66.88","League of Legends"
"Call of Duty: Black Ops 4","3","Call of Duty: Black Ops 4","3809826180","104310780","449597","13323","322306","85460","2339","36.52","Call of Duty: Black Ops 4"
"Just Chatting","4","Just Chatting","2238363300","26608380","156436","1163","76354","50210","596","84.12","Just Chatting"
"Dota 2","5","Dota 2","2115616860","27109200","211365","1313","34965","47456","608","78.04","Dota 2"
"World of Warcraft","6","World of Warcraft","1530249660","53986260","110915","3543","66777","34325","1210","28.35","World of Warcraft"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1452263400","43199160","221263","1958","113472","32576","969","33.62","Counter-Strike: Global Offensive"
"PLAYERUNKNOWN'S BATTLEGROUNDS","8","PLAYERUNKNOWN'S BATTLEGROUNDS","1398101160","55231200","143135","2184","92249","31361","1238","25.31","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","9","Hearthstone","1333036800","9460620","82400","494","19632","29902","212","140.9","Hearthstone"
"Red Dead Redemption 2","10","Red Dead Redemption 2","1171822980","34018260","382860","8785","88742","26285","763","34.45","Red Dead Redemption 2"
"Casino","11","Casino","1127141460","2506680","111963","112","2368","25283","56","449.66","Casino"
"FIFA 19","12","FIFA 19","1104966180","21158880","127184","1519","57635","24786","474","52.22","FIFA 19"
"Overwatch","13","Overwatch","971305320","50853120","62487","2870","118139","21787","1140","19.1","Overwatch"
"Assassin's Creed Odyssey","14","Assassin's Creed Odyssey","823655280","16107900","105475","1221","34860","18475","361","51.13","Assassin's Creed Odyssey"
"Dead by Daylight","15","Dead by Daylight","715640760","29643660","79461","1360","53653","16052","664","24.14","Dead by Daylight"
"Grand Theft Auto V","16","Grand Theft Auto V","714174600","18397800","55457","890","41759","16020","412","38.82","Grand Theft Auto V"
"Magic: The Gathering","17","Magic: The Gathering","495420360","7368840","32624","285","13859","11113","165","67.23","Magic: The Gathering"
"Destiny 2","18","Destiny 2","433291440","35175180","46321","2053","60325","9719","789","12.32","Destiny 2"
"Tom Clancy's Rainbow Six: Siege","19","Tom Clancy's Rainbow Six: Siege","410116620","37202580","46967","1676","105165","9199","834","11.02","Tom Clancy's Rainbow Six: Siege"
"Always On","20","Always On","331466100","785580","27321","21","64","7435","17","421.94","Always On"
"Talk Shows & Podcasts","21","Talk Shows & Podcasts","324942600","4774260","68164","208","17413","7288","107","68.06","Talk Shows & Podcasts"
"Music & Performing Arts","22","Music & Performing Arts","324166260","10988460","21394","332","13107","7271","246","29.5","Music & Performing Arts"
"Rocket League","23","Rocket League","320856960","13663080","78727","546","53748","7197","306","23.48","Rocket League"
"Old School RuneScape","24","Old School RuneScape","283317780","5677440","19880","210","8060","6355","127","49.9","Old School RuneScape"
"Heroes of the Storm","25","Heroes of the Storm","279124980","7573200","50214","279","12537","6261","169","36.86","Heroes of the Storm"
"StarCraft II","26","StarCraft II","277733280","3891480","70851","146","6425","6229","87","71.37","StarCraft II"
"Minecraft","27","Minecraft","264200940","14707620","35072","649","37293","5926","329","17.96","Minecraft"
"Rust","28","Rust","244142880","5799420","38963","285","9939","5476","130","42.1","Rust"
"Art","29","Art","229606680","11813400","25259","442","21509","5150","264","19.44","Art"
"NBA 2K19","30","NBA 2K19","225590640","13482060","29784","686","32173","5060","302","16.73","NBA 2K19"
"Poker","31","Poker","221532000","3513540","27598","172","2976","4969","78","63.05","Poker"
"Path of Exile","32","Path of Exile","220173360","7039980","15276","297","8275","4938","157","31.27","Path of Exile"
"Battlerite Royale","33","Battlerite Royale","209677680","3535500","35439","232","7509","4703","79","59.31","Battlerite Royale"
"Escape From Tarkov","34","Escape From Tarkov","191728320","6701580","31937","301","8295","4300","150","28.61","Escape From Tarkov"
"Soulcalibur VI","35","Soulcalibur VI","171428460","2774280","35806","555","7727","3845","62","61.79","Soulcalibur VI"
"World of Tanks","36","World of Tanks","167628240","6655440","15562","344","8734","3760","149","25.19","World of Tanks"
"ASMR","37","ASMR","161823900","1504020","12744","52","1854","3629","33","107.59","ASMR"
"Lineage II","38","Lineage II","157468620","3903060","30131","193","2882","3532","87","40.34","Lineage II"
"Black Desert Online","39","Black Desert Online","148906740","6280320","14491","221","7516","3340","140","23.71","Black Desert Online"
"MapleStory 2","40","MapleStory 2","146770860","9112260","33039","812","20815","3292","204","16.11","MapleStory 2"
"Special Events","41","Special Events","136323840","529440","143989","80","2675","3057","11","257.49","Special Events"
"Warcraft III","42","Warcraft III","134876340","1712520","33214","79","1846","3025","38","78.76","Warcraft III"
"Pathfinder: Kingmaker","43","Pathfinder: Kingmaker","122405760","1493940","22506","106","1718","2745","33","81.93","Pathfinder: Kingmaker"
"Games + Demos","44","Games + Demos","115861980","2015040","39989","98","5926","2598","45","57.5","Games + Demos"
"Mega Man 11","45","Mega Man 11","115006260","1580760","30938","333","4837","2579","35","72.75","Mega Man 11"
"Ring Of Elysium","46","Ring Of Elysium","114739620","9067140","33849","818","25231","2573","203","12.65","Ring Of Elysium"
"StarCraft","47","StarCraft","109789680","833940","41746","45","1373","2462","18","131.65","StarCraft"
"Gwent: The Witcher Card Game","48","Gwent: The Witcher Card Game","105013860","1339020","33260","181","2480","2355","30","78.43","Gwent: The Witcher Card Game"
"Tekken 7","49","Tekken 7","101950500","2442960","30235","100","7604","2286","54","41.73","Tekken 7"
"Street Fighter V","50","Street Fighter V","100693860","1907100","24693","86","3769","2258","42","52.8","Street Fighter V"
"The Elder Scrolls Online","51","The Elder Scrolls Online","94404720","3749640","13808","163","5753","2117","84","25.18","The Elder Scrolls Online"
"Super Mario Party","52","Super Mario Party","94373280","1012080","52103","319","3943","2116","22","93.25","Super Mario Party"
"Smite","53","Smite","93425040","5521200","7451","252","11146","2095","123","16.92","Smite"
"ARK","54","ARK","91079940","6168000","6581","285","7486","2043","138","14.77","ARK"
"Forza Horizon 4","55","Forza Horizon 4","89881500","7280400","20354","654","23973","2016","163","12.35","Forza Horizon 4"
"Thronebreaker: The Witcher Tales","56","Thronebreaker: The Witcher Tales","89649900","671400","121697","223","1628","2010","15","133.53","Thronebreaker: The Witcher Tales"
"Monster Hunter World","57","Monster Hunter World","83951460","7330320","7557","414","18735","1883","164","11.45","Monster Hunter World"
"Visage","58","Visage","83620260","988620","35637","149","5913","1875","22","84.58","Visage"
"Retro","59","Retro","83486760","4166580","8392","160","5316","1872","93","20.04","Retro"
"Slay the Spire","60","Slay the Spire","81757860","1100940","9895","50","3257","1833","24","74.26","Slay the Spire"
"Warframe","61","Warframe","81581880","7214700","53031","283","14337","1830","161","11.31","Warframe"
"Super Mario Maker","62","Super Mario Maker","81575400","645360","13614","39","702","1829","14","126.4","Super Mario Maker"
"RimWorld","63","RimWorld","81232860","2440020","21041","134","4005","1822","54","33.29","RimWorld"
"Fallout 4","64","Fallout 4","79226460","5094480","15830","219","12683","1777","114","15.55","Fallout 4"
"Super Smash Bros. Melee","65","Super Smash Bros. Melee","78612180","900900","59913","64","2219","1763","20","87.26","Super Smash Bros. Melee"
"Fallout 76","66","Fallout 76","78005760","1573560","138444","3801","7162","1749","35","49.57","Fallout 76"
"For Honor","67","For Honor","72865980","3722100","39741","274","11130","1634","83","19.58","For Honor"
"Marvel's Spider-Man","68","Marvel's Spider-Man","69649080","6658380","40806","530","25618","1562","149","10.46","Marvel's Spider-Man"
"Chess","69","Chess","67759440","737340","12905","56","977","1519","16","91.9","Chess"
"Marbles On Stream","70","Marbles On Stream","67148160","1593960","33407","81","3452","1506","35","42.13","Marbles On Stream"
"Travel & Outdoors","71","Travel & Outdoors","66928800","3035100","11581","138","22051","1501","68","22.05","Travel & Outdoors"
"Dragon Ball FighterZ","72","Dragon Ball FighterZ","66913680","1849020","30606","103","7632","1500","41","36.19","Dragon Ball FighterZ"
"Dungeons & Dragons","73","Dungeons & Dragons","66317880","1771920","37438","165","3231","1487","39","37.43","Dungeons & Dragons"
"Eternal","74","Eternal","64775700","609900","5579","32","590","1453","13","106.21","Eternal"
"Summoners War: Sky Arena","75","Summoners War: Sky Arena","61352700","1128240","24622","57","1173","1376","25","54.38","Summoners War: Sky Arena"
"Tibia","76","Tibia","60673020","3420180","3856","141","3561","1360","76","17.74","Tibia"
"Food & Drink","77","Food & Drink","59792220","806160","10049","38","4086","1341","18","74.17","Food & Drink"
"Sports & Fitness","78","Sports & Fitness","58229820","263460","89501","33","1169","1306","5","221.02","Sports & Fitness"
"FINAL FANTASY XIV Online","79","FINAL FANTASY XIV Online","58187820","6961860","5176","610","8665","1305","156","8.36","FINAL FANTASY XIV Online"
"PUBG MOBILE","80","PUBG MOBILE","57014220","6942060","59855","269","15903","1278","155","8.21","PUBG MOBILE"
"Quake Champions","81","Quake Champions","55824180","1714980","20685","103","4391","1252","38","32.55","Quake Champions"
"Terraria","82","Terraria","55652640","1831140","6989","95","5251","1248","41","30.39","Terraria"
"Heroes of Might and Magic III: The Shadow of Death","83","Heroes of Might and Magic III: The Shadow of Death","55619160","524700","11784","34","526","1247","11","106","Heroes of Might and Magic III: The Shadow of Death"
"Dark Souls III","84","Dark Souls III","55026480","3627300","81245","149","10002","1234","81","15.17","Dark Souls III"
"The Binding of Isaac: Afterbirth","85","The Binding of Isaac: Afterbirth","54801360","1141500","27783","68","3716","1229","25","48.01","The Binding of Isaac: Afterbirth"
"Call of Cthulhu - The Video Game","86","Call of Cthulhu - The Video Game","53860680","735480","64344","538","2965","1208","16","73.23","Call of Cthulhu - The Video Game"
"osu!","87","osu!","53323200","7339020","9364","308","26747","1196","164","7.27","osu!"
"Garry's Mod","88","Garry's Mod","53163360","1133580","63539","76","5391","1192","25","46.9","Garry's Mod"
"VRChat","89","VRChat","53004540","3436980","5667","171","5414","1188","77","15.42","VRChat"
"Diablo III: Reaper of Souls","90","Diablo III: Reaper of Souls","52391940","4830120","4836","247","10373","1175","108","10.85","Diablo III: Reaper of Souls"
"The Legend of Zelda: Ocarina of Time","91","The Legend of Zelda: Ocarina of Time","51120300","1215660","20208","111","1659","1146","27","42.05","The Legend of Zelda: Ocarina of Time"
"Madden NFL 19","92","Madden NFL 19","49149120","8485680","14913","586","21579","1102","190","5.79","Madden NFL 19"
"Pokémon Ultra Sun/Ultra Moon","93","Pokémon Ultra Sun/Ultra Moon","48861960","1615020","8309","74","2267","1096","36","30.25","Pokémon Ultra Sun/Ultra Moon"
"The Conjuring House","94","The Conjuring House","46879920","664560","27794","54","1953","1051","14","70.54","The Conjuring House"
"XCOM 2: War of the Chosen","95","XCOM 2: War of the Chosen","45449340","736320","10942","62","1179","1019","16","61.72","XCOM 2: War of the Chosen"
"Diablo II: Lord of Destruction","96","Diablo II: Lord of Destruction","45187380","709140","72041","32","997","1013","15","63.72","Diablo II: Lord of Destruction"
"World War 3","97","World War 3","44873160","1330920","26385","234","4140","1006","29","33.72","World War 3"
"The Jackbox Party Pack 5","98","The Jackbox Party Pack 5","44487180","793200","34796","194","3190","997","17","56.09","The Jackbox Party Pack 5"
"Star Citizen","99","Star Citizen","44089920","1164720","44081","110","1979","989","26","37.85","Star Citizen"
"Arma 3","100","Arma 3","43555980","3139860","14350","240","5707","977","70","13.87","Arma 3"
