"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"World of Tanks","34","World of Tanks","211529040","8612100","22497","383","12107","4744","193","24.56","World of Tanks"
"Casino_old","35","Casino_old","195286620","1179180","19307","61","1092","4380","26","165.61","Casino_old"
"Street Fighter V","36","Street Fighter V","160912620","2851200","51806","336","7322","3609","63","56.44","Street Fighter V"
"Rocket League","37","Rocket League","151019760","11966760","79487","479","47379","3387","268","12.62","Rocket League"
"Dark Souls III","38","Dark Souls III","144337080","7580580","202405","302","20584","3237","170","19.04","Dark Souls III"
"Gwent: The Witcher Card Game","39","Gwent: The Witcher Card Game","124145100","1601520","33000","81","2518","2784","35","77.52","Gwent: The Witcher Card Game"
"Magic: The Gathering","40","Magic: The Gathering","121796640","1283940","16344","76","1582","2732","28","94.86","Magic: The Gathering"
"ARK","41","ARK","120435240","9939960","15455","414","17943","2701","222","12.12","ARK"
"Destiny 2","42","Destiny 2","118975560","15844740","15396","798","34091","2668","355","7.51","Destiny 2"
"Always On","43","Always On","113143080","609600","10866","18","33","2537","13","185.6","Always On"
"Rust","44","Rust","111117660","5644320","16103","315","10712","2492","126","19.69","Rust"
"The Legend of Zelda: Breath of the Wild","45","The Legend of Zelda: Breath of the Wild","109350780","2621520","191576","125","4401","2452","58","41.71","The Legend of Zelda: Breath of the Wild"
"Z1 Battle Royale","46","Z1 Battle Royale","97802220","5825640","53373","316","12260","2193","130","16.79","Z1 Battle Royale"
"Hunt: Showdown","47","Hunt: Showdown","94022100","53520","135761","105","254","2109","1","1756.77","Hunt: Showdown"
"Dungeons & Dragons","48","Dungeons & Dragons","92743440","1828140","96446","156","2722","2080","41","50.73","Dungeons & Dragons"
"Doki Doki Literature Club","49","Doki Doki Literature Club","86772720","2343300","28595","129","9388","1946","52","37.03","Doki Doki Literature Club"
"Tom Clancy's The Division","50","Tom Clancy's The Division","83923140","9409680","7203","449","17407","1882","211","8.92","Tom Clancy's The Division"
"Paladins","51","Paladins","83554140","4646520","43978","214","15172","1874","104","17.98","Paladins"
"Bloodborne","52","Bloodborne","82990500","3234240","215882","151","8781","1861","72","25.66","Bloodborne"
"Super Smash Bros. Melee","53","Super Smash Bros. Melee","78350400","820560","79584","56","2386","1757","18","95.48","Super Smash Bros. Melee"
"NBA 2K18","54","NBA 2K18","76640220","10958640","14046","671","25498","1719","245","6.99","NBA 2K18"
"Clash Royale","55","Clash Royale","75809280","1001160","19143","57","2637","1700","22","75.72","Clash Royale"
"Super Mario Odyssey","56","Super Mario Odyssey","75286380","1647900","73852","87","3488","1688","36","45.69","Super Mario Odyssey"
"Persona 5","57","Persona 5","72670560","1030140","16655","54","2132","1630","23","70.54","Persona 5"
"The Witcher 3: Wild Hunt","58","The Witcher 3: Wild Hunt","71543880","3376020","18760","142","8799","1604","75","21.19","The Witcher 3: Wild Hunt"
"The Elder Scrolls V: Skyrim","59","The Elder Scrolls V: Skyrim","68764620","5077740","195899","205","12479","1542","113","13.54","The Elder Scrolls V: Skyrim"
"The Legend of Zelda: Ocarina of Time","60","The Legend of Zelda: Ocarina of Time","61854660","630600","151764","46","1132","1387","14","98.09","The Legend of Zelda: Ocarina of Time"
"Pokémon Ultra Sun/Ultra Moon","61","Pokémon Ultra Sun/Ultra Moon","59076900","1878780","5181","83","1887","1325","42","31.44","Pokémon Ultra Sun/Ultra Moon"
"Warframe","62","Warframe","57828300","6736560","37283","253","14078","1297","151","8.58","Warframe"
"Dark Souls","63","Dark Souls","57340380","2061360","9787","104","4874","1286","46","27.82","Dark Souls"
"The Legend of Zelda: A Link to the Past","64","The Legend of Zelda: A Link to the Past","57082920","1821840","171153","168","2068","1280","40","31.33","The Legend of Zelda: A Link to the Past"
"The Elder Scrolls: Legends","65","The Elder Scrolls: Legends","56871420","752160","2410","34","810","1275","16","75.61","The Elder Scrolls: Legends"
"Warcraft III","66","Warcraft III","55305120","1331940","22088","58","1483","1240","29","41.52","Warcraft III"
"FINAL FANTASY XIV Online","67","FINAL FANTASY XIV Online","54752160","5331540","19638","637","7924","1228","119","10.27","FINAL FANTASY XIV Online"
"SOS","68","SOS","53351280","844980","146313","200","2082","1196","18","63.14","SOS"
"Lineage II","69","Lineage II","51649800","2566620","4542","179","1890","1158","57","20.12","Lineage II"
"Getting Over It","70","Getting Over It","51521340","1808700","46537","110","12409","1155","40","28.49","Getting Over It"
"Games + Demos","71","Games + Demos","50389080","994920","24231","43","3013","1130","22","50.65","Games + Demos"
"Retro","72","Retro","50328120","3345000","5281","132","3972","1128","75","15.05","Retro"
"Human: Fall Flat","73","Human: Fall Flat","49311900","1131300","61698","84","6971","1106","25","43.59","Human: Fall Flat"
"Football Manager 2018","74","Football Manager 2018","48183060","653940","7972","44","840","1080","14","73.68","Football Manager 2018"
"Summoners War: Sky Arena","75","Summoners War: Sky Arena","46541340","1194360","3734","72","1348","1043","26","38.97","Summoners War: Sky Arena"
"Tekken 7","76","Tekken 7","45377520","1742280","43020","71","6371","1017","39","26.04","Tekken 7"
"Resident Evil 7 biohazard","77","Resident Evil 7 biohazard","44891580","1485480","156910","83","6355","1006","33","30.22","Resident Evil 7 biohazard"
"Super Smash Bros. for Wii U","78","Super Smash Bros. for Wii U","44661420","903180","38256","69","1777","1001","20","49.45","Super Smash Bros. for Wii U"
"Age of Empires II","79","Age of Empires II","44497320","861900","13527","46","1795","998","19","51.63","Age of Empires II"
"Splatoon 2","80","Splatoon 2","44443920","1653840","171642","186","2910","996","37","26.87","Splatoon 2"
"DayZ","81","DayZ","43440660","1764180","36056","103","3044","974","39","24.62","DayZ"
"Pokémon Black/White Version 2","82","Pokémon Black/White Version 2","43122360","37200","158081","15","168","967","0","1159.2","Pokémon Black/White Version 2"
"The Binding of Isaac: Afterbirth","83","The Binding of Isaac: Afterbirth","42408000","1140360","12201","63","3684","951","25","37.19","The Binding of Isaac: Afterbirth"
"The Elder Scrolls IV: Oblivion","84","The Elder Scrolls IV: Oblivion","42075240","318480","13171","19","773","943","7","132.11","The Elder Scrolls IV: Oblivion"
"Gears of War 4","85","Gears of War 4","41245440","1718040","23089","104","4240","925","38","24.01","Gears of War 4"
"Madden NFL 18","86","Madden NFL 18","41027220","9145320","7490","582","24246","920","205","4.49","Madden NFL 18"
"Super Mario Maker","87","Super Mario Maker","40769640","571080","5596","34","654","914","12","71.39","Super Mario Maker"
"Shadowverse","88","Shadowverse","40750860","1341600","15255","69","1726","914","30","30.37","Shadowverse"
"Super Mario World","89","Super Mario World","39615480","380280","201386","29","1169","888","8","104.17","Super Mario World"
"Arma 3","90","Arma 3","39369180","3961260","8544","271","7317","883","88","9.94","Arma 3"
"Chess","91","Chess","39310080","463200","41482","46","810","881","10","84.87","Chess"
"Super Mario Sunshine","92","Super Mario Sunshine","37802280","214320","149675","22","564","847","4","176.38","Super Mario Sunshine"
"World of Warships","93","World of Warships","37534740","2669040","3430","116","4770","841","59","14.06","World of Warships"
"Diablo III: Reaper of Souls","94","Diablo III: Reaper of Souls","35362800","3702840","21395","159","9100","793","83","9.55","Diablo III: Reaper of Souls"
"Euro Truck Simulator 2","95","Euro Truck Simulator 2","35345880","3825000","8591","232","9031","792","85","9.24","Euro Truck Simulator 2"
"Throne of Lies: The Online Game of Deceit","96","Throne of Lies: The Online Game of Deceit","35031300","263580","12558","19","524","785","5","132.91","Throne of Lies: The Online Game of Deceit"
"The Sims 4","97","The Sims 4","33905580","1883280","4459","90","6347","760","42","18","The Sims 4"
"osu!","98","osu!","33757500","5763540","5111","236","21515","757","129","5.86","osu!"
"Yakuza Kiwami 2","99","Yakuza Kiwami 2","33216540","157920","14637","23","208","745","3","210.34","Yakuza Kiwami 2"
"RimWorld","100","RimWorld","33028560","1388700","7139","61","2475","740","31","23.78","RimWorld"
