"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7886192940","490009200","687062","17450","974227","176899","10991","16.09","Fortnite"
"League of Legends","2","League of Legends","4880996340","88548360","1029879","2773","144072","109488","1986","55.12","League of Legends"
"Dota 2","3","Dota 2","4186586040","26366220","749471","1102","36075","93911","591","158.79","Dota 2"
"World of Warcraft","4","World of Warcraft","3371437980","85449720","590245","15619","95903","75626","1916","39.46","World of Warcraft"
"IRL","5","IRL","2924798220","41430420","264068","1406","132462","65607","929","70.6","IRL"
"Hearthstone","6","Hearthstone","2268642480","13986600","251577","1932","30887","50889","313","162.2","Hearthstone"
"PLAYERUNKNOWN'S BATTLEGROUNDS","7","PLAYERUNKNOWN'S BATTLEGROUNDS","2128823640","81403860","143941","2918","137405","47752","1826","26.15","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","8","Overwatch","1385429700","59008920","135822","2413","137844","31077","1323","23.48","Overwatch"
"Counter-Strike: Global Offensive","9","Counter-Strike: Global Offensive","1301873940","45621960","187317","1846","121482","29203","1023","28.54","Counter-Strike: Global Offensive"
"Grand Theft Auto V","10","Grand Theft Auto V","916414440","27615360","60680","1214","70607","20556","619","33.18","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","11","Tom Clancy's Rainbow Six: Siege","850676220","49285260","211067","2018","142627","19082","1105","17.26","Tom Clancy's Rainbow Six: Siege"
"Monster Hunter World","12","Monster Hunter World","685818000","40351140","128595","5262","66815","15383","905","17","Monster Hunter World"
"Dead by Daylight","13","Dead by Daylight","611255280","33409740","146848","1453","82430","13711","749","18.3","Dead by Daylight"
"Casino_old","14","Casino_old","573549600","3269520","56607","120","1785","12865","73","175.42","Casino_old"
"SCUM","15","SCUM","438686820","5343300","217830","2803","17061","9840","119","82.1","SCUM"
"Escape From Tarkov","16","Escape From Tarkov","405456180","12846120","51782","508","13694","9095","288","31.56","Escape From Tarkov"
"Destiny 2","17","Destiny 2","377270700","29426940","91330","1511","53602","8462","660","12.82","Destiny 2"
"Call of Duty: Black Ops 4","18","Call of Duty: Black Ops 4","367587900","12270360","168872","3680","42041","8245","275","29.96","Call of Duty: Black Ops 4"
"Heroes of the Storm","19","Heroes of the Storm","340383000","7849620","61037","299","13432","7635","176","43.36","Heroes of the Storm"
"StarCraft II","20","StarCraft II","321117780","4135080","50931","142","6797","7203","92","77.66","StarCraft II"
"Minecraft","21","Minecraft","320164980","18362100","44143","877","47426","7181","411","17.44","Minecraft"
"Music & Performing Arts","22","Music & Performing Arts","314564700","11235000","30978","335","11441","7056","252","28","Music & Performing Arts"
"Street Fighter V","23","Street Fighter V","313586820","2530380","194902","195","5754","7034","56","123.93","Street Fighter V"
"Talk Shows & Podcasts","24","Talk Shows & Podcasts","312853680","2998680","346483","198","8595","7017","67","104.33","Talk Shows & Podcasts"
"Old School RuneScape","25","Old School RuneScape","273675780","5943900","22048","215","8117","6138","133","46.04","Old School RuneScape"
"Always On","26","Always On","269755680","572940","57919","20","40","6051","12","470.83","Always On"
"Creative","27","Creative","261909720","18368280","25717","660","34491","5875","412","14.26","Creative"
"Poker","28","Poker","243983580","2997120","24856","156","2925","5472","67","81.41","Poker"
"Rocket League","29","Rocket League","233059920","14257800","58691","536","63782","5227","319","16.35","Rocket League"
"No Man's Sky","30","No Man's Sky","230398740","10619040","37987","850","24967","5168","238","21.7","No Man's Sky"
"Graveyard Keeper","31","Graveyard Keeper","224904540","3192180","48576","248","6063","5044","71","70.45","Graveyard Keeper"
"Magic: The Gathering","32","Magic: The Gathering","215536080","2724420","31242","138","4891","4834","61","79.11","Magic: The Gathering"
"FIFA 18","33","FIFA 18","199054500","9004560","76550","533","31646","4465","201","22.11","FIFA 18"
"Call of Duty: WWII","34","Call of Duty: WWII","197994420","4850340","148960","290","37006","4441","108","40.82","Call of Duty: WWII"
"World of Tanks","35","World of Tanks","180641520","6870720","16269","330","9067","4052","154","26.29","World of Tanks"
"Warframe","36","Warframe","176794500","13101660","72775","551","25573","3965","293","13.49","Warframe"
"Path of Exile","37","Path of Exile","175251120","5090280","66801","1616","7826","3931","114","34.43","Path of Exile"
"Madden NFL 19","38","Madden NFL 19","160112280","13031460","25629","1560","32300","3591","292","12.29","Madden NFL 19"
"We Happy Few","39","We Happy Few","158496120","2738040","46964","306","7679","3555","61","57.89","We Happy Few"
"Dragon Ball FighterZ","40","Dragon Ball FighterZ","158035980","2256900","241067","192","9580","3544","50","70.02","Dragon Ball FighterZ"
"Dead Cells","41","Dead Cells","146930940","4251600","42483","342","14910","3295","95","34.56","Dead Cells"
"Warcraft III","42","Warcraft III","142187520","1880640","39861","88","2077","3189","42","75.61","Warcraft III"
"Black Desert Online","43","Black Desert Online","138368400","6812220","14794","232","8320","3103","152","20.31","Black Desert Online"
"Tekken 7","44","Tekken 7","130649940","2235900","178753","84","7845","2930","50","58.43","Tekken 7"
"Super Smash Bros. Melee","45","Super Smash Bros. Melee","129663180","930600","179128","54","2580","2908","20","139.33","Super Smash Bros. Melee"
"Rust","46","Rust","114775800","5395140","24740","344","9678","2574","121","21.27","Rust"
"ARK","47","ARK","111565560","6927240","27787","279","8919","2502","155","16.11","ARK"
"Smite","48","Smite","106165800","7088400","15783","321","15276","2381","159","14.98","Smite"
"Dungeons & Dragons","49","Dungeons & Dragons","96482220","2177580","40680","175","3468","2164","48","44.31","Dungeons & Dragons"
"Lineage II","50","Lineage II","92982960","2298480","7621","177","1794","2085","51","40.45","Lineage II"
"NBA 2K18","51","NBA 2K18","92450280","6628440","61960","356","20172","2073","148","13.95","NBA 2K18"
"Games + Demos","52","Games + Demos","90820500","1550160","27100","72","4519","2037","34","58.59","Games + Demos"
"Boxing Fight","53","Boxing Fight","89806800","45360","1097362","302","547","2014","1","1979.87","Boxing Fight"
"Enter the Gungeon","54","Enter the Gungeon","89471460","2404380","22871","131","8182","2006","53","37.21","Enter the Gungeon"
"I Wanna Be The Boshy","55","I Wanna Be The Boshy","89352180","174120","22046","19","673","2004","3","513.16","I Wanna Be The Boshy"
"Realm Royale","56","Realm Royale","88067100","4405620","119238","278","11073","1975","98","19.99","Realm Royale"
"They Are Billions","57","They Are Billions","85100460","587820","14868","35","1209","1908","13","144.77","They Are Billions"
"The Elder Scrolls Online","58","The Elder Scrolls Online","84247080","4481760","12138","189","8121","1889","100","18.8","The Elder Scrolls Online"
"Overcooked! 2","59","Overcooked! 2","80671140","1428060","56366","237","6713","1809","32","56.49","Overcooked! 2"
"The Elder Scrolls: Legends","60","The Elder Scrolls: Legends","79477260","958080","44757","39","961","1782","21","82.95","The Elder Scrolls: Legends"
"Terraria","61","Terraria","77811180","2145720","7349","95","6091","1745","48","36.26","Terraria"
"Tibia","62","Tibia","73520100","3481260","6267","135","3734","1649","78","21.12","Tibia"
"Retro","63","Retro","72085500","4166640","7597","159","4875","1616","93","17.3","Retro"
"Pokémon Ultra Sun/Ultra Moon","64","Pokémon Ultra Sun/Ultra Moon","71558040","2310120","23879","105","3384","1605","51","30.98","Pokémon Ultra Sun/Ultra Moon"
"Hunt: Showdown","65","Hunt: Showdown","70670340","2952060","28348","214","7129","1585","66","23.94","Hunt: Showdown"
