"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Rocket League","35","Rocket League","223071840","17762820","65788","727","62082","5003","398","12.56","Rocket League"
"Dark Souls III","36","Dark Souls III","212667600","7818960","275893","311","18228","4770","175","27.2","Dark Souls III"
"Anthem","37","Anthem","210118080","4807380","328923","4275","20549","4713","107","43.71","Anthem"
"Always On","38","Always On","201008640","508920","22568","17","49","4508","11","394.97","Always On"
"Dark Souls","39","Dark Souls","180612660","3602280","33916","163","7244","4051","80","50.14","Dark Souls"
"Chess","40","Chess","175254900","1228860","32328","74","1609","3931","27","142.62","Chess"
"Ring Of Elysium","41","Ring Of Elysium","171195600","15595260","43646","1177","37718","3840","349","10.98","Ring Of Elysium"
"Warcraft III","42","Warcraft III","163275900","2479440","25123","101","2678","3662","55","65.85","Warcraft III"
"Games + Demos","43","Games + Demos","161287140","2233560","42712","109","7124","3617","50","72.21","Games + Demos"
"Diablo III: Reaper of Souls","44","Diablo III: Reaper of Souls","158915940","10420200","28866","2018","18732","3564","233","15.25","Diablo III: Reaper of Souls"
"ASMR","45","ASMR","157270380","2223360","19469","72","1802","3527","49","70.74","ASMR"
"NBA 2K19","46","NBA 2K19","149060100","16478460","13512","893","39358","3343","369","9.05","NBA 2K19"
"Lost Ark Online","47","Lost Ark Online","147587040","3869040","21370","221","2325","3310","86","38.15","Lost Ark Online"
"Smite","48","Smite","129687240","7496340","13866","331","14319","2909","168","17.3","Smite"
"Subnautica","49","Subnautica","126475920","6037140","58176","286","16769","2837","135","20.95","Subnautica"
"Atlas","50","Atlas","126393600","1409100","75774","728","3909","2835","31","89.7","Atlas"
"Rust","51","Rust","126172740","8057040","21863","464","14847","2830","180","15.66","Rust"
"The Elder Scrolls Online","52","The Elder Scrolls Online","126046860","4232340","151951","200","7139","2827","94","29.78","The Elder Scrolls Online"
"Heroes of the Storm","53","Heroes of the Storm","122122320","5198220","8582","205","8619","2739","116","23.49","Heroes of the Storm"
"Slay the Spire","54","Slay the Spire","111143760","2020560","26142","105","5936","2493","45","55.01","Slay the Spire"
"Heroes of Might and Magic III: The Shadow of Death","55","Heroes of Might and Magic III: The Shadow of Death","106548900","757380","18959","45","834","2390","16","140.68","Heroes of Might and Magic III: The Shadow of Death"
"Monster Hunter World","56","Monster Hunter World","105377940","9936480","13437","487","23506","2363","222","10.61","Monster Hunter World"
"Battlefield V","57","Battlefield V","105207180","9545520","29062","446","33465","2359","214","11.02","Battlefield V"
"World of Warships","58","World of Warships","104939460","3575940","7041","162","4891","2353","80","29.35","World of Warships"
"Knight Online","59","Knight Online","102687480","1203840","23954","143","1463","2303","27","85.3","Knight Online"
"Marbles On Stream","60","Marbles On Stream","95903220","2373900","33925","112","6145","2151","53","40.4","Marbles On Stream"
"Warframe","61","Warframe","94579500","9298320","51269","330","18142","2121","208","10.17","Warframe"
"Dragon Ball FighterZ","62","Dragon Ball FighterZ","94303980","1788900","90224","178","7502","2115","40","52.72","Dragon Ball FighterZ"
"DayZ","63","DayZ","93472200","3690300","29263","182","6649","2096","82","25.33","DayZ"
"The Elder Scrolls V: Skyrim","64","The Elder Scrolls V: Skyrim","90385080","4779540","25453","184","11437","2027","107","18.91","The Elder Scrolls V: Skyrim"
"Pokemon: Let's Go, Pikachu!/Eevee!","65","Pokemon: Let's Go, Pikachu!/Eevee!","88464720","3585300","13880","174","5688","1984","80","24.67","Pokemon: Let's Go, Pikachu!/Eevee!"
"FINAL FANTASY XIV Online","66","FINAL FANTASY XIV Online","87516180","8487360","9388","628","11256","1963","190","10.31","FINAL FANTASY XIV Online"
"Diablo II: Lord of Destruction","67","Diablo II: Lord of Destruction","86919360","1556580","165190","155","1837","1949","34","55.84","Diablo II: Lord of Destruction"
"Retro","68","Retro","86640000","4632780","86249","171","5709","1943","103","18.7","Retro"
"Darkest Dungeon","69","Darkest Dungeon","84734820","1315740","16618","64","3182","1900","29","64.4","Darkest Dungeon"
"Dungeons & Dragons","70","Dungeons & Dragons","84410820","2165880","41094","195","3660","1893","48","38.97","Dungeons & Dragons"
"Final Fantasy IX","71","Final Fantasy IX","82309560","449220","148498","29","861","1846","10","183.23","Final Fantasy IX"
"Tibia","72","Tibia","81403380","3723420","5244","157","3863","1826","83","21.86","Tibia"
"Bloodborne","73","Bloodborne","81205560","3063720","245345","135","7898","1821","68","26.51","Bloodborne"
"ARK","74","ARK","78606600","7728060","9817","320","11064","1763","173","10.17","ARK"
"The Legend of Zelda: Breath of the Wild","75","The Legend of Zelda: Breath of the Wild","73412700","2576880","23728","114","4150","1646","57","28.49","The Legend of Zelda: Breath of the Wild"
"Friends Marble","76","Friends Marble","72692940","36420","29099","8","86","1630","0","1995.96","Friends Marble"
"Street Fighter V","77","Street Fighter V","72489000","2336640","10015","92","4401","1626","52","31.02","Street Fighter V"
"Red Dead Redemption 2","78","Red Dead Redemption 2","70930560","12584940","12698","553","35251","1591","282","5.64","Red Dead Redemption 2"
"Garry's Mod","79","Garry's Mod","70190340","1639320","96345","117","7565","1574","36","42.82","Garry's Mod"
"The Forest","80","The Forest","70110600","4551420","53419","267","14313","1572","102","15.4","The Forest"
"Super Mario Odyssey","81","Super Mario Odyssey","66934500","722820","209812","41","1511","1501","16","92.6","Super Mario Odyssey"
"Madden NFL 19","82","Madden NFL 19","63905760","10224000","27917","646","25459","1433","229","6.25","Madden NFL 19"
"Lineage II","83","Lineage II","63362760","1869000","18017","110","1849","1421","41","33.9","Lineage II"
"VRChat","84","VRChat","61314420","3870300","7688","281","7186","1375","86","15.84","VRChat"
"The Binding of Isaac: Afterbirth","85","The Binding of Isaac: Afterbirth","61079160","1402680","16729","70","4308","1370","31","43.54","The Binding of Isaac: Afterbirth"
"Food & Drink","86","Food & Drink","60756960","802020","27163","41","3913","1362","17","75.75","Food & Drink"
"The Legend of Zelda: The Wind Waker HD","87","The Legend of Zelda: The Wind Waker HD","60484140","170040","160170","17","365","1356","3","355.71","The Legend of Zelda: The Wind Waker HD"
"PUBG MOBILE","88","PUBG MOBILE","60457800","8914620","7754","380","19066","1356","199","6.78","PUBG MOBILE"
"7 Days to Die","89","7 Days to Die","59349600","4603680","14526","189","6786","1331","103","12.89","7 Days to Die"
"The Legend of Zelda: A Link to the Past","90","The Legend of Zelda: A Link to the Past","56725680","1476840","203561","100","1958","1272","33","38.41","The Legend of Zelda: A Link to the Past"
"The Legend of Zelda: Ocarina of Time","91","The Legend of Zelda: Ocarina of Time","56671800","1906740","7391","132","2590","1271","42","29.72","The Legend of Zelda: Ocarina of Time"
"Special Events","92","Special Events","54070500","590280","388249","63","2375","1212","13","91.6","Special Events"
"osu!","93","osu!","53831580","8369880","5246","347","28872","1207","187","6.43","osu!"
"Super Mario Maker","94","Super Mario Maker","53716320","568680","12051","32","618","1204","12","94.46","Super Mario Maker"
"The Sims 4","95","The Sims 4","53526900","3052380","17258","136","8951","1200","68","17.54","The Sims 4"
"Summoners War: Sky Arena","96","Summoners War: Sky Arena","53041260","1102740","4280","60","1223","1189","24","48.1","Summoners War: Sky Arena"
"Science & Technology","97","Science & Technology","51575400","3958500","4577","146","5744","1156","88","13.03","Science & Technology"
"Tekken 7","98","Tekken 7","51055500","2456280","12729","91","6958","1145","55","20.79","Tekken 7"
"My Time at Portia","99","My Time at Portia","50442420","1301160","23286","109","2840","1131","29","38.77","My Time at Portia"
"Artifact","100","Artifact","50343480","1096560","21208","69","1836","1129","24","45.91","Artifact"
