"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Heroes of the Storm","63","Heroes of the Storm","87082980","3838680","5485","157","5924","2018","88","22.69","Heroes of the Storm"
"The Elder Scrolls Online","64","The Elder Scrolls Online","80907000","2977740","15115","145","4333","1875","69","27.17","The Elder Scrolls Online"
"Madden NFL 20","65","Madden NFL 20","79709760","7520520","17188","598","18715","1847","174","10.6","Madden NFL 20"
"The Outer Worlds","66","The Outer Worlds","79521480","7925160","14033","747","21349","1843","183","10.03","The Outer Worlds"
"Street Fighter V","67","Street Fighter V","74510280","1590900","34624","76","2967","1727","36","46.84","Street Fighter V"
"Dota Underlords","68","Dota Underlords","71000940","1444860","8474","89","3184","1645","33","49.14","Dota Underlords"
"Chess","69","Chess","70197420","872880","30979","58","1322","1627","20","80.42","Chess"
"Garena Free Fire","70","Garena Free Fire","69998700","2122860","14748","105","4032","1622","49","32.97","Garena Free Fire"
"Warframe","71","Warframe","69065700","5947500","52932","262","10159","1600","137","11.61","Warframe"
"Monster Hunter World","72","Monster Hunter World","69026640","6117060","9689","270","10907","1600","141","11.28","Monster Hunter World"
"DayZ","73","DayZ","67329120","4810380","7313","214","7968","1560","111","14","DayZ"
"The Sims 4","74","The Sims 4","63649440","2541000","31058","158","7873","1475","58","25.05","The Sims 4"
"Heroes of Might and Magic III: The Shadow of Death","75","Heroes of Might and Magic III: The Shadow of Death","63025800","569220","12057","36","468","1460","13","110.72","Heroes of Might and Magic III: The Shadow of Death"
"EA Sports UFC 3","76","EA Sports UFC 3","62365500","237840","101238","21","1949","1445","5","262.22","EA Sports UFC 3"
"VRChat","77","VRChat","60980100","3125280","14971","166","5281","1413","72","19.51","VRChat"
"osu!","78","osu!","60626280","7536840","17387","320","26161","1405","174","8.04","osu!"
"Food & Drink","79","Food & Drink","59012040","851880","17185","70","4149","1367","19","69.27","Food & Drink"
"ARK","80","ARK","58468380","5783160","25600","254","7624","1355","134","10.11","ARK"
"Shenmue III","81","Shenmue III","57300060","739500","25263","131","1405","1328","17","77.48","Shenmue III"
"Borderlands 3","82","Borderlands 3","56663520","4487580","15877","263","11712","1313","104","12.63","Borderlands 3"
"Lineage II","83","Lineage II","56041440","2248680","4808","132","1676","1299","52","24.92","Lineage II"
"ATLAS","84","ATLAS","54816120","2302620","8075","110","1807","1270","53","23.81","ATLAS"
"Divinity: Original Sin II","85","Divinity: Original Sin II","53324100","841260","18488","52","1860","1236","19","63.39","Divinity: Original Sin II"
"Diablo II: Lord of Destruction","86","Diablo II: Lord of Destruction","53117340","1113840","13931","58","1764","1231","25","47.69","Diablo II: Lord of Destruction"
"Summoners War: Sky Arena","87","Summoners War: Sky Arena","53054040","1140540","8738","55","1124","1229","26","46.52","Summoners War: Sky Arena"
"Science & Technology","88","Science & Technology","49227000","4085700","10255","163","6047","1141","94","12.05","Science & Technology"
"Diablo IV","89","Diablo IV","49165140","97200","47472","21","245","1139","2","505.81","Diablo IV"
"StarCraft","90","StarCraft","48659280","702600","40856","37","908","1127","16","69.26","StarCraft"
"Battlefield V","91","Battlefield V","47353860","4174680","32287","280","14894","1097","96","11.34","Battlefield V"
"Dragon Ball FighterZ","92","Dragon Ball FighterZ","45830940","1075140","33017","67","3916","1062","24","42.63","Dragon Ball FighterZ"
"Nioh 2","93","Nioh 2","45420780","536040","42913","98","1667","1052","12","84.73","Nioh 2"
"PUBG MOBILE","94","PUBG MOBILE","45013440","4410060","10720","188","8400","1043","102","10.21","PUBG MOBILE"
"Ratropolis","95","Ratropolis","44903940","368520","19053","46","850","1040","8","121.85","Ratropolis"
"For Honor","96","For Honor","43967040","2604840","8462","255","7049","1019","60","16.88","For Honor"
"Left 4 Dead 2","97","Left 4 Dead 2","43671420","1250580","16877","123","5867","1012","28","34.92","Left 4 Dead 2"
"Dofus","98","Dofus","43645140","1066620","4164","59","1230","1011","24","40.92","Dofus"
"Darkest Dungeon","99","Darkest Dungeon","43504500","850560","13672","40","2020","1008","19","51.15","Darkest Dungeon"
"Internet Cafe Simulator","100","Internet Cafe Simulator","42179520","277620","35892","55","1454","977","6","151.93","Internet Cafe Simulator"
