"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5726202180","127565580","1782765","4512","200004","132735","2957","44.89","League of Legends"
"Just Chatting","2","Just Chatting","4096032900","64047600","287294","2373","161010","94947","1484","63.95","Just Chatting"
"Fortnite","3","Fortnite","3513159540","211766280","405467","10287","429521","81436","4908","16.59","Fortnite"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2136389700","53409180","299143","2500","129703","49522","1238","40","Counter-Strike: Global Offensive"
"Dota 2","5","Dota 2","2086255920","25693140","243245","1267","30472","48360","595","81.2","Dota 2"
"Grand Theft Auto V","6","Grand Theft Auto V","1988931180","34021620","213843","1653","60014","46104","788","58.46","Grand Theft Auto V"
"Pokémon Sword/Shield","7","Pokémon Sword/Shield","1630382220","30105000","187166","4414","32492","37792","697","54.16","Pokémon Sword/Shield"
"Call of Duty: Modern Warfare","8","Call of Duty: Modern Warfare","1627964220","85010280","142668","4844","205192","37736","1970","19.15","Call of Duty: Modern Warfare"
"World of Warcraft","9","World of Warcraft","1610939640","56985840","163200","3684","62881","37342","1320","28.27","World of Warcraft"
"Hearthstone","10","Hearthstone","1582369500","10065240","97122","542","17606","36679","233","157.21","Hearthstone"
"FIFA 20","11","FIFA 20","1339077300","19652640","222599","1139","42197","31040","455","68.14","FIFA 20"
"Death Stranding","12","Death Stranding","1233477900","19279980","290087","2230","32695","28592","446","63.98","Death Stranding"
"PLAYERUNKNOWN'S BATTLEGROUNDS","13","PLAYERUNKNOWN'S BATTLEGROUNDS","980782560","44584320","117550","1628","64088","22734","1033","22","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","14","Overwatch","964737360","42447060","211751","1561","86095","22362","983","22.73","Overwatch"
"Minecraft","15","Minecraft","945830340","37025520","136705","1797","99507","21924","858","25.55","Minecraft"
"Escape From Tarkov","16","Escape From Tarkov","850953300","23602140","44481","926","19894","19725","547","36.05","Escape From Tarkov"
"Apex Legends","17","Apex Legends","785137320","64776480","46393","2433","111172","18199","1501","12.12","Apex Legends"
"Star Wars Jedi: Fallen Order","18","Star Wars Jedi: Fallen Order","759830940","18109020","200398","2908","49245","17613","419","41.96","Star Wars Jedi: Fallen Order"
"Slots","19","Slots","626089380","3928560","63045","165","3607","14512","91","159.37","Slots"
"Teamfight Tactics","20","Teamfight Tactics","599757360","14859420","43088","845","37625","13902","344","40.36","Teamfight Tactics"
"Dead by Daylight","21","Dead by Daylight","578107380","28238040","56086","1555","45355","13400","654","20.47","Dead by Daylight"
"Tom Clancy's Rainbow Six: Siege","22","Tom Clancy's Rainbow Six: Siege","529939740","37737240","80020","1608","98687","12284","874","14.04","Tom Clancy's Rainbow Six: Siege"
"Red Dead Redemption 2","23","Red Dead Redemption 2","459777300","20158860","128607","1898","33232","10657","467","22.81","Red Dead Redemption 2"
"Destiny 2","24","Destiny 2","352870320","30671400","27502","1590","53302","8179","710","11.5","Destiny 2"
"Rocket League","25","Rocket League","339580800","15285600","85526","633","50438","7871","354","22.22","Rocket League"
"StarCraft II","26","StarCraft II","309569820","3298800","85514","123","5052","7175","76","93.84","StarCraft II"
"Old School RuneScape","27","Old School RuneScape","309189900","5186100","39575","217","6547","7167","120","59.62","Old School RuneScape"
"Magic: The Gathering","28","Magic: The Gathering","296465580","3739440","32584","339","6072","6872","86","79.28","Magic: The Gathering"
"Planet Zoo","29","Planet Zoo","283166820","4724340","78337","742","8677","6563","109","59.94","Planet Zoo"
"Sea of Thieves","30","Sea of Thieves","262726980","7381080","45960","440","14791","6090","171","35.59","Sea of Thieves"
"Art","31","Art","245660820","15040020","13461","557","28683","5694","348","16.33","Art"
"Path of Exile","32","Path of Exile","242891820","4651560","257319","341","6812","5630","107","52.22","Path of Exile"
"Music & Performing Arts","33","Music & Performing Arts","241459860","13863720","82015","449","13739","5597","321","17.42","Music & Performing Arts"
"Talk Shows & Podcasts","34","Talk Shows & Podcasts","238937880","3351120","98403","180","7489","5538","77","71.3","Talk Shows & Podcasts"
"Diablo III: Reaper of Souls","35","Diablo III: Reaper of Souls","227455980","7373760","41511","1440","14027","5272","170","30.85","Diablo III: Reaper of Souls"
"FINAL FANTASY XIV Online","36","FINAL FANTASY XIV Online","225629820","12737880","34624","1150","14340","5230","295","17.71","FINAL FANTASY XIV Online"
"Super Mario Maker 2","37","Super Mario Maker 2","200731200","2309760","30086","102","3152","4653","53","86.91","Super Mario Maker 2"
"Poker","38","Poker","194134860","3128700","21144","202","3024","4500","72","62.05","Poker"
"Special Events","39","Special Events","185452800","1369260","663080","582","4454","4298","31","135.44","Special Events"
"World of Tanks","40","World of Tanks","181496460","6701520","18555","401","8570","4207","155","27.08","World of Tanks"
"Tibia","41","Tibia","179836560","4179660","17655","185","4322","4168","96","43.03","Tibia"
"Super Smash Bros. Ultimate","42","Super Smash Bros. Ultimate","170011920","5050080","62859","580","10664","3940","117","33.67","Super Smash Bros. Ultimate"
"Luigi's Mansion 3","43","Luigi's Mansion 3","169627800","4149180","41317","985","7983","3932","96","40.88","Luigi's Mansion 3"
"Warcraft III","44","Warcraft III","162178320","2569320","28438","122","3768","3759","59","63.12","Warcraft III"
"Age of Empires II: Definitive Edition","45","Age of Empires II: Definitive Edition","159766860","1373460","105936","199","3816","3703","31","116.32","Age of Empires II: Definitive Edition"
"ASMR","46","ASMR","159472320","2894280","8490","92","1180","3696","67","55.1","ASMR"
"NBA 2K20","47","NBA 2K20","138552900","10928220","12560","1078","21972","3211","253","12.68","NBA 2K20"
"Rust","48","Rust","136429560","7072620","23045","349","12086","3162","163","19.29","Rust"
"Legends of Runeterra","49","Legends of Runeterra","136119900","2334420","77975","1098","6621","3155","54","58.31","Legends of Runeterra"
"Smite","50","Smite","125575980","5783100","46442","278","10435","2910","134","21.71","Smite"
"Retro","51","Retro","123596160","5070300","15790","190","5805","2865","117","24.38","Retro"
"Dungeons & Dragons","52","Dungeons & Dragons","118090560","2323020","68207","232","3874","2737","53","50.83","Dungeons & Dragons"
"Black Desert Online","53","Black Desert Online","117630840","5617800","62360","201","6527","2726","130","20.94","Black Desert Online"
"Lost Ark Online","54","Lost Ark Online","111571800","5822160","8414","343","6385","2586","134","19.16","Lost Ark Online"
"Need for Speed Heat","55","Need for Speed Heat","108800640","5406000","43162","594","12512","2522","125","20.13","Need for Speed Heat"
"7 Days to Die","56","7 Days to Die","105532380","5895540","20463","307","8057","2446","136","17.9","7 Days to Die"
"Call of Duty: Black Ops 4","57","Call of Duty: Black Ops 4","104927760","11927880","30127","508","22621","2432","276","8.8","Call of Duty: Black Ops 4"
"World of Warships","58","World of Warships","101787420","3249600","7016","160","3994","2359","75","31.32","World of Warships"
"Football Manager 2020","59","Football Manager 2020","97847280","1344840","24476","93","1582","2268","31","72.76","Football Manager 2020"
"Tekken 7","60","Tekken 7","94302240","2287260","22619","83","6172","2185","53","41.23","Tekken 7"
"Star Citizen","61","Star Citizen","91868220","2209920","44758","161","3031","2129","51","41.57","Star Citizen"
"Games + Demos","62","Games + Demos","87762720","2341500","26280","106","6435","2034","54","37.48","Games + Demos"
