"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"The Elder Scrolls Online","57","The Elder Scrolls Online","92033340","3225900","15574","154","4284","2064","72","28.53","The Elder Scrolls Online"
"Retro","58","Retro","90373980","5285340","5976","196","6095","2027","118","17.1","Retro"
"The Beast Inside","59","The Beast Inside","86085000","1072860","41011","179","3139","1931","24","80.24","The Beast Inside"
"Tekken 7","60","Tekken 7","83310660","2617440","21971","97","6842","1868","58","31.83","Tekken 7"
"Street Fighter V","61","Street Fighter V","82935780","1517460","22075","71","2619","1860","34","54.65","Street Fighter V"
"Smite","62","Smite","80653080","5452740","8025","233","9415","1809","122","14.79","Smite"
"Dungeons & Dragons","63","Dungeons & Dragons","80577060","2349240","52633","198","3776","1807","52","34.3","Dungeons & Dragons"
"Star Citizen","64","Star Citizen","80380560","2401320","36959","148","3116","1803","53","33.47","Star Citizen"
"We Were Here Together","65","We Were Here Together","80078160","760740","44222","103","2581","1796","17","105.26","We Were Here Together"
"Noita","66","Noita","71389860","1092120","20447","52","2795","1601","24","65.37","Noita"
"Special Events","67","Special Events","70215120","910620","83753","47","2425","1575","20","77.11","Special Events"
"Dark Souls III","68","Dark Souls III","67488060","3338880","10267","136","7739","1513","74","20.21","Dark Souls III"
"Lost Ark Online","69","Lost Ark Online","67458540","3219540","17440","643","4559","1513","72","20.95","Lost Ark Online"
"Heroes of Might and Magic III: The Shadow of Death","70","Heroes of Might and Magic III: The Shadow of Death","65561100","558060","12029","32","491","1470","12","117.48","Heroes of Might and Magic III: The Shadow of Death"
"Super Smash Bros. Melee","71","Super Smash Bros. Melee","64750860","630180","75028","42","1513","1452","14","102.75","Super Smash Bros. Melee"
"Madden NFL 20","72","Madden NFL 20","61886880","7919700","18522","546","17337","1388","177","7.81","Madden NFL 20"
"Summoners War: Sky Arena","73","Summoners War: Sky Arena","60949740","1074780","70725","51","1100","1367","24","56.71","Summoners War: Sky Arena"
"Divinity: Original Sin II","74","Divinity: Original Sin II","58387860","821280","11212","47","1727","1309","18","71.09","Divinity: Original Sin II"
"Diablo III: Reaper of Souls","75","Diablo III: Reaper of Souls","57274740","2347740","10120","103","4665","1284","52","24.4","Diablo III: Reaper of Souls"
"Warframe","76","Warframe","56641980","4906080","50320","246","8299","1270","110","11.55","Warframe"
"osu!","77","osu!","55547280","8005980","11367","362","27351","1246","179","6.94","osu!"
"Sports & Fitness","78","Sports & Fitness","55059660","548940","91213","44","1642","1235","12","100.3","Sports & Fitness"
"The Legend of Zelda: Link's Awakening","79","The Legend of Zelda: Link's Awakening","54631020","2130180","10148","206","5030","1225","47","25.65","The Legend of Zelda: Link's Awakening"
"Call of Duty: Mobile","80","Call of Duty: Mobile","54270360","5905080","15371","307","24829","1217","132","9.19","Call of Duty: Mobile"
"Food & Drink","81","Food & Drink","53247060","862980","17452","44","3521","1194","19","61.7","Food & Drink"
"Untitled Goose Game","82","Untitled Goose Game","52311300","981000","25949","100","6056","1173","22","53.32","Untitled Goose Game"
"VRChat","83","VRChat","51755880","3176460","4508","162","5173","1160","71","16.29","VRChat"
"Mortal Kombat 11","84","Mortal Kombat 11","51578520","2018460","20082","185","5950","1156","45","25.55","Mortal Kombat 11"
"Luigi's Mansion 3","85","Luigi's Mansion 3","50775420","599400","53972","891","3054","1138","13","84.71","Luigi's Mansion 3"
"The Sims 4","86","The Sims 4","50158560","2339100","28853","107","7316","1125","52","21.44","The Sims 4"
"ARK","87","ARK","49169520","5322540","5052","244","7119","1102","119","9.24","ARK"
"Moons of Madness","88","Moons of Madness","48871980","384060","62020","122","1387","1096","8","127.25","Moons of Madness"
"PUBG MOBILE","89","PUBG MOBILE","48832800","4173420","26054","183","8252","1095","93","11.7","PUBG MOBILE"
"The Jackbox Party Pack 6","90","The Jackbox Party Pack 6","48227520","879300","29140","204","3015","1081","19","54.85","The Jackbox Party Pack 6"
"The Legend of Zelda: Ocarina of Time","91","The Legend of Zelda: Ocarina of Time","48178980","1422120","8889","129","1833","1080","31","33.88","The Legend of Zelda: Ocarina of Time"
"Lineage II","92","Lineage II","47680440","2042940","3720","114","1476","1069","45","23.34","Lineage II"
"Travel & Outdoors","93","Travel & Outdoors","47628000","3157140","16014","180","12222","1068","70","15.09","Travel & Outdoors"
"Science & Technology","94","Science & Technology","47098320","4124100","13384","185","5605","1056","92","11.42","Science & Technology"
"Red Dead Redemption 2","95","Red Dead Redemption 2","45346560","5799000","4128","226","11565","1017","130","7.82","Red Dead Redemption 2"
"Little Misfortune","96","Little Misfortune","42119460","229920","29288","22","1198","944","5","183.19","Little Misfortune"
"Marbles On Stream","97","Marbles On Stream","42083160","1536300","29473","77","3693","943","34","27.39","Marbles On Stream"
"StarCraft","98","StarCraft","41236140","708780","31347","36","969","924","15","58.18","StarCraft"
"MapleStory","99","MapleStory","40609980","2076780","8753","96","2770","910","46","19.55","MapleStory"
"Ring Fit Adventure","100","Ring Fit Adventure","40427280","165900","27148","28","784","906","3","243.68","Ring Fit Adventure"
