"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"World of Warcraft","1","World of Warcraft","5389270740","135843540","376038","7890","126563","124925","3148","39.67","World of Warcraft"
"League of Legends","2","League of Legends","4654750560","118653360","650591","4454","182545","107898","2750","39.23","League of Legends"
"Just Chatting","3","Just Chatting","3830134980","58274280","245697","2777","148818","88783","1350","65.73","Just Chatting"
"Fortnite","4","Fortnite","3626506080","211260720","329388","9472","406624","84063","4897","17.17","Fortnite"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","2760470220","54873840","659147","2416","138048","63988","1271","50.31","Counter-Strike: Global Offensive"
"Grand Theft Auto V","6","Grand Theft Auto V","2369337120","38638680","162573","1836","67389","54922","895","61.32","Grand Theft Auto V"
"Dota 2","7","Dota 2","1551278220","26946180","126517","1269","34090","35959","624","57.57","Dota 2"
"Minecraft","8","Minecraft","1415346780","60627000","176485","2955","164966","32808","1405","23.35","Minecraft"
"Overwatch","9","Overwatch","1312024920","42331800","321314","1717","92814","30413","981","30.99","Overwatch"
"FIFA 20","10","FIFA 20","1117213080","11665440","183987","2047","29956","25897","270","95.77","FIFA 20"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","1103671320","50013360","67780","1825","73390","25583","1159","22.07","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","12","Hearthstone","998819640","5939040","64916","323","11793","23152","137","168.18","Hearthstone"
"Borderlands 3","13","Borderlands 3","996777180","46820040","219838","7217","74034","23105","1085","21.29","Borderlands 3"
"Teamfight Tactics","14","Teamfight Tactics","937602180","16759620","122332","636","42174","21733","388","55.94","Teamfight Tactics"
"Slots","15","Slots","933289620","4131600","200521","174","4046","21633","95","225.89","Slots"
"Apex Legends","16","Apex Legends","882283440","64926720","88868","2931","124810","20451","1505","13.59","Apex Legends"
"Call of Duty: Modern Warfare","17","Call of Duty: Modern Warfare","731625480","26093760","292025","7316","87551","16959","604","28.04","Call of Duty: Modern Warfare"
"Tom Clancy's Rainbow Six: Siege","18","Tom Clancy's Rainbow Six: Siege","654081000","51249600","84705","2438","130459","15161","1187","12.76","Tom Clancy's Rainbow Six: Siege"
"Special Events","19","Special Events","532449300","897660","468944","811","3287","12342","20","593.15","Special Events"
"Dead by Daylight","20","Dead by Daylight","530424240","29274900","50535","1606","49968","12295","678","18.12","Dead by Daylight"
"Monster Hunter World","21","Monster Hunter World","508033200","16952760","75752","1113","22900","11776","392","29.97","Monster Hunter World"
"NBA 2K20","22","NBA 2K20","439259280","19622220","57229","3034","34395","10182","454","22.39","NBA 2K20"
"Path of Exile","23","Path of Exile","438900360","12645600","77271","2171","12476","10173","293","34.71","Path of Exile"
"Call of Duty: Black Ops 4","24","Call of Duty: Black Ops 4","345463500","31930920","75170","1675","59590","8007","740","10.82","Call of Duty: Black Ops 4"
"Magic: The Gathering","25","Magic: The Gathering","299441940","3949620","39180","338","7116","6941","91","75.82","Magic: The Gathering"
"Poker","26","Poker","297228360","3379800","34970","205","3088","6889","78","87.94","Poker"
"Escape From Tarkov","27","Escape From Tarkov","270919800","9275160","46495","394","10274","6280","215","29.21","Escape From Tarkov"
"Art","28","Art","260001540","15209040","21410","548","27296","6026","352","17.1","Art"
"Gears 5","29","Gears 5","238004640","16392960","47475","2273","38262","5517","379","14.52","Gears 5"
"Destiny 2","30","Destiny 2","235750080","19325400","24985","906","33351","5464","447","12.2","Destiny 2"
"Talk Shows & Podcasts","31","Talk Shows & Podcasts","234406920","3329940","78097","356","7541","5433","77","70.39","Talk Shows & Podcasts"
"Music & Performing Arts","32","Music & Performing Arts","231513660","13736640","28558","447","12796","5366","318","16.85","Music & Performing Arts"
"Super Smash Bros. Ultimate","33","Super Smash Bros. Ultimate","229753020","5112720","47102","755","11081","5325","118","44.94","Super Smash Bros. Ultimate"
"StarCraft II","34","StarCraft II","228442320","3375960","58637","126","5267","5295","78","67.67","StarCraft II"
"Old School RuneScape","35","Old School RuneScape","227053980","4609440","24083","178","6158","5263","106","49.26","Old School RuneScape"
"Super Mario Maker 2","36","Super Mario Maker 2","218526300","3484380","20430","174","4804","5065","80","62.72","Super Mario Maker 2"
"Rocket League","37","Rocket League","210732300","15007980","70148","654","52006","4884","347","14.04","Rocket League"
"ASMR","38","ASMR","168212700","2655060","9041","84","1118","3899","61","63.36","ASMR"
"World of Tanks","39","World of Tanks","167554620","6451080","23240","342","8486","3883","149","25.97","World of Tanks"
"Code Vein","40","Code Vein","158666940","3925380","63561","991","9115","3677","90","40.42","Code Vein"
"The Legend of Zelda: Link's Awakening","41","The Legend of Zelda: Link's Awakening","152865180","4332960","57713","1006","9059","3543","100","35.28","The Legend of Zelda: Link's Awakening"
"Black Desert Online","42","Black Desert Online","138301740","7611660","6354","295","8335","3205","176","18.17","Black Desert Online"
"Dota Underlords","43","Dota Underlords","133218540","2062140","14383","106","4299","3088","47","64.6","Dota Underlords"
"Rust","44","Rust","131623560","6924900","28018","396","12163","3051","160","19.01","Rust"
"Ancestors: The Humankind Odyssey","45","Ancestors: The Humankind Odyssey","120398520","2006340","45130","272","4777","2790","46","60.01","Ancestors: The Humankind Odyssey"
"Green Hell","46","Green Hell","119915940","1297980","43695","130","2592","2779","30","92.39","Green Hell"
"Madden NFL 20","47","Madden NFL 20","118563300","8874960","119051","622","20224","2748","205","13.36","Madden NFL 20"
"Tekken 7","48","Tekken 7","115782420","3132900","23642","200","8139","2683","72","36.96","Tekken 7"
"The Dark Pictures Anthology: Man of Medan","49","The Dark Pictures Anthology: Man of Medan","114559380","3199560","34090","523","13870","2655","74","35.8","The Dark Pictures Anthology: Man of Medan"
"GreedFall","50","GreedFall","109490580","2909340","64452","564","6046","2538","67","37.63","GreedFall"
"FINAL FANTASY XIV Online","51","FINAL FANTASY XIV Online","109190040","9950520","63045","897","14742","2531","230","10.97","FINAL FANTASY XIV Online"
"Hunt: Showdown","52","Hunt: Showdown","108724440","4965360","48553","272","8360","2520","115","21.9","Hunt: Showdown"
"Tom Clancy's Ghost Recon Breakpoint","53","Tom Clancy's Ghost Recon Breakpoint","106045080","3746280","118854","912","16241","2458","86","28.31","Tom Clancy's Ghost Recon Breakpoint"
"World of Warships","54","World of Warships","100817880","3345360","12180","170","4458","2336","77","30.14","World of Warships"
"Tibia","55","Tibia","100699920","4161660","5398","183","4060","2334","96","24.2","Tibia"
"The Elder Scrolls Online","56","The Elder Scrolls Online","95753880","3456900","15496","164","5102","2219","80","27.7","The Elder Scrolls Online"
"Chess","57","Chess","92050620","870720","15399","73","1246","2133","20","105.72","Chess"
"Dofus","58","Dofus","91869420","1264740","23871","192","2198","2129","29","72.64","Dofus"
"Games + Demos","59","Games + Demos","91585800","1996740","26413","94","6405","2122","46","45.87","Games + Demos"
"Retro","60","Retro","89897580","4955160","8738","211","6283","2083","114","18.14","Retro"
"Warcraft III","61","Warcraft III","86977620","1668660","8424","80","1698","2016","38","52.12","Warcraft III"
"Planet Zoo","62","Planet Zoo","86181060","775680","72500","329","2152","1997","17","111.1","Planet Zoo"
"The Surge 2","63","The Surge 2","82740420","812940","52272","218","1807","1917","18","101.78","The Surge 2"
"Smite","64","Smite","80269500","5229480","8756","231","10071","1860","121","15.35","Smite"
"DayZ","65","DayZ","80134500","5138580","15114","237","8087","1857","119","15.59","DayZ"
"Travel & Outdoors","66","Travel & Outdoors","79186620","3104220","107430","145","15452","1835","71","25.51","Travel & Outdoors"
"ARK","67","ARK","78245160","6227220","13228","309","8416","1813","144","12.57","ARK"
"Street Fighter V","68","Street Fighter V","77405220","1493940","26792","65","2848","1794","34","51.81","Street Fighter V"
"Dungeons & Dragons","69","Dungeons & Dragons","77096400","2292420","59554","208","3886","1787","53","33.63","Dungeons & Dragons"
"Blasphemous","70","Blasphemous","76893780","1648080","22993","255","4496","1782","38","46.66","Blasphemous"
"Sea of Thieves","71","Sea of Thieves","74809440","5782980","23025","330","12748","1734","134","12.94","Sea of Thieves"
"Blair Witch","72","Blair Witch","72809220","2823660","31354","515","14739","1687","65","25.79","Blair Witch"
"Red Dead Redemption 2","73","Red Dead Redemption 2","65640120","6632820","19942","411","13672","1521","153","9.9","Red Dead Redemption 2"
