"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Heroes of the Storm","74","Heroes of the Storm","65394720","3319080","5319","131","5333","1515","76","19.7","Heroes of the Storm"
"Untitled Goose Game","75","Untitled Goose Game","63054120","848640","31186","168","5127","1461","19","74.3","Untitled Goose Game"
"Warframe","76","Warframe","60910500","5881140","22532","258","10659","1411","136","10.36","Warframe"
"Lineage II","77","Lineage II","59574900","1853160","5574","107","1438","1380","42","32.15","Lineage II"
"StarCraft","78","StarCraft","57485520","699360","65315","44","1096","1332","16","82.2","StarCraft"
"osu!","79","osu!","56209920","8086500","20411","384","28412","1302","187","6.95","osu!"
"Summoners War: Sky Arena","80","Summoners War: Sky Arena","53017740","1042980","12976","52","1081","1228","24","50.83","Summoners War: Sky Arena"
"Astral Chain","81","Astral Chain","52512420","1894740","28180","240","3352","1217","43","27.71","Astral Chain"
"Marbles On Stream","82","Marbles On Stream","51632880","1648920","24325","88","3829","1196","38","31.31","Marbles On Stream"
"Cube World","83","Cube World","51205560","1300020","40613","531","4736","1186","30","39.39","Cube World"
"Phoenix Wright: Ace Attorney Trilogy HD","84","Phoenix Wright: Ace Attorney Trilogy HD","48634500","431700","17295","52","726","1127","10","112.66","Phoenix Wright: Ace Attorney Trilogy HD"
"VRChat","85","VRChat","47461080","2886420","8361","164","5024","1100","66","16.44","VRChat"
"Dark Souls","86","Dark Souls","47453580","1686660","8561","89","3716","1099","39","28.13","Dark Souls"
"The Sims 4","87","The Sims 4","47215020","2667000","13203","241","8368","1094","61","17.7","The Sims 4"
"Heroes of Might and Magic III: The Shadow of Death","88","Heroes of Might and Magic III: The Shadow of Death","46973220","488160","3981","31","437","1088","11","96.23","Heroes of Might and Magic III: The Shadow of Death"
"Dark Souls III","89","Dark Souls III","46643280","3527520","14902","153","8692","1081","81","13.22","Dark Souls III"
"Diablo III: Reaper of Souls","90","Diablo III: Reaper of Souls","46573800","3508440","9007","225","7134","1079","81","13.27","Diablo III: Reaper of Souls"
"Food & Drink","91","Food & Drink","45646140","740820","32054","37","2950","1058","17","61.62","Food & Drink"
"Control","92","Control","43424280","2293680","26552","257","6925","1006","53","18.93","Control"
"Slay the Spire","93","Slay the Spire","42644700","1046580","9491","90","3643","988","24","40.75","Slay the Spire"
"FIFA 19","94","FIFA 19","42496620","3764580","39433","364","15121","985","87","11.29","FIFA 19"
"Remnant: From the Ashes","95","Remnant: From the Ashes","42324900","4848780","11268","452","13050","981","112","8.73","Remnant: From the Ashes"
"PUBG MOBILE","96","PUBG MOBILE","42213900","4099140","5386","179","8125","978","95","10.3","PUBG MOBILE"
"7 Days to Die","97","7 Days to Die","41203680","2507160","16554","122","3898","955","58","16.43","7 Days to Die"
"The Legend of Zelda: Ocarina of Time","98","The Legend of Zelda: Ocarina of Time","40720140","1480080","8840","113","2003","943","34","27.51","The Legend of Zelda: Ocarina of Time"
"Gwent: The Witcher Card Game","99","Gwent: The Witcher Card Game","38615700","583260","14603","39","750","895","13","66.21","Gwent: The Witcher Card Game"
"Science & Technology","100","Science & Technology","38511180","3727020","14073","147","4708","892","86","10.33","Science & Technology"
