"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Minecraft","21","Minecraft","368841480","25790220","36014","1222","70852","8549","597","14.3","Minecraft"
"Music & Performing Arts","22","Music & Performing Arts","338584980","14085300","24250","457","14476","7848","326","24.04","Music & Performing Arts"
"Old School RuneScape","23","Old School RuneScape","332104800","6909540","30328","273","9655","7698","160","48.06","Old School RuneScape"
"Rocket League","24","Rocket League","321969060","15827340","67750","710","60861","7463","366","20.34","Rocket League"
"Days Gone","25","Days Gone","315184560","6805620","132741","1857","19698","7306","157","46.31","Days Gone"
"Anno 1800","26","Anno 1800","314645160","5185680","73394","854","9585","7293","120","60.68","Anno 1800"
"Slots","27","Slots","294036540","2319960","29675","112","2451","6815","53","126.74","Slots"
"StarCraft II","28","StarCraft II","283476420","4107360","37817","166","7008","6571","95","69.02","StarCraft II"
"Super Smash Bros. Ultimate","29","Super Smash Bros. Ultimate","269111520","6446580","64983","771","13277","6238","149","41.74","Super Smash Bros. Ultimate"
"Tom Clancy's The Division 2","30","Tom Clancy's The Division 2","257196780","21789960","32467","1719","48582","5961","505","11.8","Tom Clancy's The Division 2"
"Talk Shows & Podcasts","31","Talk Shows & Podcasts","251278260","4252920","32822","185","12269","5824","98","59.08","Talk Shows & Podcasts"
"Twitch Presents","32","Twitch Presents","250638360","251820","22261","7","18","5809","5","995.31","Twitch Presents"
"Path of Exile","33","Path of Exile","249140400","9921240","25487","461","13510","5775","229","25.11","Path of Exile"
"Art","34","Art","242287920","16140120","14446","582","28685","5616","374","15.01","Art"
"World War Z","35","World War Z","221717460","7961820","135162","1182","30069","5139","184","27.85","World War Z"
"Poker","36","Poker","217407600","3168300","38930","223","3531","5039","73","68.62","Poker"
"Risk of Rain 2","37","Risk of Rain 2","203975820","10333740","46400","766","30128","4728","239","19.74","Risk of Rain 2"
"Destiny 2","38","Destiny 2","189593880","16613160","16638","856","29317","4394","385","11.41","Destiny 2"
"ASMR","39","ASMR","177076500","2283480","22549","75","1469","4104","52","77.55","ASMR"
"World of Tanks","40","World of Tanks","163728840","7067880","14132","384","9549","3795","163","23.17","World of Tanks"
"Black Desert Online","41","Black Desert Online","147789300","7665300","7387","279","8491","3425","177","19.28","Black Desert Online"
"The Elder Scrolls Online","42","The Elder Scrolls Online","141978300","5120160","22789","219","8130","3291","118","27.73","The Elder Scrolls Online"
"NBA 2K19","43","NBA 2K19","140350920","13577400","33120","694","35572","3253","314","10.34","NBA 2K19"
"Warcraft III","44","Warcraft III","135705720","2347080","29812","96","2627","3145","54","57.82","Warcraft III"
"Games + Demos","45","Games + Demos","122013480","2226120","39016","105","6534","2828","51","54.81","Games + Demos"
"Sea of Thieves","46","Sea of Thieves","119727960","7185300","79473","1450","15761","2775","166","16.66","Sea of Thieves"
"FINAL FANTASY XIV Online","47","FINAL FANTASY XIV Online","115953000","9675780","15815","564","13186","2687","224","11.98","FINAL FANTASY XIV Online"
"Chess","48","Chess","114429660","1056480","32143","72","1511","2652","24","108.31","Chess"
"Retro","49","Retro","112836720","5246460","13121","199","6315","2615","121","21.51","Retro"
"Smite","50","Smite","112639620","7730460","11127","349","14557","2611","179","14.57","Smite"
"Dungeons & Dragons","51","Dungeons & Dragons","112412820","2343000","66686","219","4047","2605","54","47.98","Dungeons & Dragons"
"Rust","52","Rust","111779760","6256380","14509","365","11367","2591","145","17.87","Rust"
"Heroes of the Storm","53","Heroes of the Storm","108109560","4717500","16873","194","7331","2506","109","22.92","Heroes of the Storm"
"Special Events","54","Special Events","107407080","780000","50096","73","2734","2489","18","137.7","Special Events"
"Borderlands","55","Borderlands","106336680","4856760","30059","834","12746","2464","112","21.89","Borderlands"
"Outward","56","Outward","105621600","3073080","34644","212","5947","2448","71","34.37","Outward"
"World of Warships","57","World of Warships","105448620","3277080","17142","166","4796","2444","75","32.18","World of Warships"
"Tibia","58","Tibia","105284520","4279620","6898","185","3999","2440","99","24.6","Tibia"
"Battlefield V","59","Battlefield V","100437300","7545960","40641","508","31553","2328","174","13.31","Battlefield V"
"MLB The Show 19","60","MLB The Show 19","97442460","1870920","17406","127","8365","2258","43","52.08","MLB The Show 19"
"Enter the Gungeon","61","Enter the Gungeon","93280620","2484060","28321","178","8651","2162","57","37.55","Enter the Gungeon"
"Forager","62","Forager","88611180","1890600","40990","193","5046","2054","43","46.87","Forager"
"Street Fighter V","63","Street Fighter V","87366480","1856220","43837","81","3663","2025","43","47.07","Street Fighter V"
"Tropico 6","64","Tropico 6","85819200","1231140","19312","132","2888","1989","28","69.71","Tropico 6"
"My Summer Car","65","My Summer Car","83314020","272100","34932","21","649","1931","6","306.19","My Summer Car"
"DayZ","66","DayZ","82324200","3567360","29260","178","6435","1908","82","23.08","DayZ"
"Borderlands 2","67","Borderlands 2","78720540","7309680","12277","441","22465","1824","169","10.77","Borderlands 2"
"Madden NFL 19","68","Madden NFL 19","78313260","5543280","96944","396","14677","1815","128","14.13","Madden NFL 19"
"Science & Technology","69","Science & Technology","78221400","4530300","13267","221","6061","1813","105","17.27","Science & Technology"
"Warframe","70","Warframe","78058500","7984680","45083","326","14433","1809","185","9.78","Warframe"
"Travel & Outdoors","71","Travel & Outdoors","76134600","4144800","14119","184","27939","1764","96","18.37","Travel & Outdoors"
"Marbles On Stream","72","Marbles On Stream","72623400","1964280","12882","112","4443","1683","45","36.97","Marbles On Stream"
"ARK","73","ARK","70860300","6926640","4666","309","9601","1642","160","10.23","ARK"
"Lineage II","74","Lineage II","67943760","2354880","18193","253","2187","1574","54","28.85","Lineage II"
"osu!","75","osu!","64476240","8371080","14439","343","29400","1494","194","7.7","osu!"
"Food & Drink","76","Food & Drink","63785820","823080","29836","41","3656","1478","19","77.5","Food & Drink"
"Super Mario 64","77","Super Mario 64","63392820","1006500","20127","58","1934","1469","23","62.98","Super Mario 64"
"Satisfactory","78","Satisfactory","62825880","3789420","16088","316","7576","1456","87","16.58","Satisfactory"
"Tekken 7","79","Tekken 7","62810460","2334720","23203","91","6574","1455","54","26.9","Tekken 7"
"Heroes of Might and Magic III: The Shadow of Death","80","Heroes of Might and Magic III: The Shadow of Death","62189520","656400","10861","45","676","1441","15","94.74","Heroes of Might and Magic III: The Shadow of Death"
"Twitch Sings","81","Twitch Sings","61598700","2249760","35174","169","10359","1427","52","27.38","Twitch Sings"
"VRChat","82","VRChat","58906200","3247260","13372","178","5723","1365","75","18.14","VRChat"
"Super Mario Maker","83","Super Mario Maker","58028100","725880","9410","42","716","1345","16","79.94","Super Mario Maker"
"PUBG MOBILE","84","PUBG MOBILE","55396620","7971900","8013","339","16911","1284","184","6.95","PUBG MOBILE"
"Miscreated","85","Miscreated","54538980","213060","26915","43","608","1264","4","255.98","Miscreated"
"Dark Souls III","86","Dark Souls III","54411120","4167720","7151","181","11502","1261","96","13.06","Dark Souls III"
"Age of Empires II","87","Age of Empires II","54143520","884040","18811","47","1863","1255","20","61.25","Age of Empires II"
"The Legend of Zelda: Ocarina of Time","88","The Legend of Zelda: Ocarina of Time","53565360","1917240","9574","161","2641","1241","44","27.94","The Legend of Zelda: Ocarina of Time"
"Conan Exiles","89","Conan Exiles","51956040","6830460","4222","351","16225","1204","158","7.61","Conan Exiles"
"Mordhau","90","Mordhau","51759540","532440","87400","386","2620","1199","12","97.21","Mordhau"
"Monster Hunter World","91","Monster Hunter World","51108420","5039100","11118","231","13537","1184","116","10.14","Monster Hunter World"
"Super Smash Bros. Melee","92","Super Smash Bros. Melee","48637380","659880","76022","46","1823","1127","15","73.71","Super Smash Bros. Melee"
"Star Citizen","93","Star Citizen","48403500","1751760","8334","106","2857","1122","40","27.63","Star Citizen"
"Arma 3","94","Arma 3","48020520","3454560","12197","282","6032","1113","80","13.9","Arma 3"
"Gwent: The Witcher Card Game","95","Gwent: The Witcher Card Game","47771760","807960","7475","44","1242","1107","18","59.13","Gwent: The Witcher Card Game"
"RuneScape","96","RuneScape","46784820","2010120","6333","82","3741","1084","46","23.27","RuneScape"
"Summoners War: Sky Arena","97","Summoners War: Sky Arena","45868200","1007760","8202","51","1091","1063","23","45.52","Summoners War: Sky Arena"
"Imperator: Rome","98","Imperator: Rome","45561360","540180","14561","257","1209","1056","12","84.34","Imperator: Rome"
"RimWorld","99","RimWorld","45252840","1558200","10387","70","2634","1048","36","29.04","RimWorld"
"Resident Evil 2","100","Resident Evil 2","43871700","3252300","7613","161","10479","1016","75","13.49","Resident Evil 2"
