"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Rocket League","32","Rocket League","417536520","32126700","92615","1202","87250","9366","720","13","Rocket League"
"Destiny 2","33","Destiny 2","412714860","32940960","33126","1490","37636","9257","738","12.53","Destiny 2"
"Special Events","34","Special Events","360030720","2282940","541073","676","4834","8076","51","157.7","Special Events"
"Legends of Runeterra","35","Legends of Runeterra","348426000","7469940","55832","333","13640","7815","167","46.64","Legends of Runeterra"
"Magic: The Gathering","36","Magic: The Gathering","332312280","6396420","19364","393","7599","7454","143","51.95","Magic: The Gathering"
"Path of Exile","37","Path of Exile","326835060","8063520","20628","386","6467","7331","180","40.53","Path of Exile"
"Garena Free Fire","38","Garena Free Fire","315627900","11143140","73967","516","8209","7080","249","28.32","Garena Free Fire"
"The Elder Scrolls Online","39","The Elder Scrolls Online","303075180","6738960","48995","329","7674","6798","151","44.97","The Elder Scrolls Online"
"StarCraft II","40","StarCraft II","298981260","5116980","30027","183","5740","6706","114","58.43","StarCraft II"
"Super Mario 64","41","Super Mario 64","290323920","2378340","47195","104","4102","6512","53","122.07","Super Mario 64"
"ASMR","42","ASMR","285585180","3485580","15521","107","1652","6406","78","81.93","ASMR"
"Smite","43","Smite","280798740","11195040","32960","491","15103","6298","251","25.08","Smite"
"Dark Souls III","44","Dark Souls III","258320580","11152320","43941","421","18693","5794","250","23.16","Dark Souls III"
"Super Mario Maker 2","45","Super Mario Maker 2","257396340","3934140","25509","173","5158","5773","88","65.43","Super Mario Maker 2"
"SnowRunner","46","SnowRunner","247207260","10463880","57672","651","12536","5545","234","23.62","SnowRunner"
"Games + Demos","47","Games + Demos","243832560","3851760","40050","196","9358","5469","86","63.3","Games + Demos"
"World of Tanks","48","World of Tanks","241368000","10286280","22401","548","9489","5414","230","23.47","World of Tanks"
"Rust","49","Rust","238964700","11912520","40436","755","15413","5360","267","20.06","Rust"
"Black Desert Online","50","Black Desert Online","227564580","10887180","38909","362","8699","5104","244","20.9","Black Desert Online"
"Super Smash Bros. Ultimate","51","Super Smash Bros. Ultimate","211156680","7975260","38697","430","12123","4736","178","26.48","Super Smash Bros. Ultimate"
"Tibia","52","Tibia","209875200","8839380","10977","400","5649","4707","198","23.74","Tibia"
"Red Dead Redemption 2","53","Red Dead Redemption 2","205688820","14109480","24318","570","22278","4613","316","14.58","Red Dead Redemption 2"
"Madden NFL 20","54","Madden NFL 20","196687980","16708020","43829","929","28434","4412","374","11.77","Madden NFL 20"
"Final Fantasy VII Remake","55","Final Fantasy VII Remake","196673940","16154280","42902","1059","19541","4411","362","12.17","Final Fantasy VII Remake"
"Warcraft III","56","Warcraft III","188920860","2653140","25153","113","2354","4237","59","71.21","Warcraft III"
"F1 2019","57","F1 2019","182998320","3273840","150704","282","10710","4104","73","55.9","F1 2019"
"World of Warships","58","World of Warships","181967100","4907280","15875","238","4789","4081","110","37.08","World of Warships"
"Retro","59","Retro","177556920","7972380","12242","315","8574","3982","178","22.27","Retro"
"Age of Empires II: Definitive Edition","60","Age of Empires II: Definitive Edition","173136000","2707620","29594","118","3623","3883","60","63.94","Age of Empires II: Definitive Edition"
"Monster Hunter World","61","Monster Hunter World","167689860","11774220","34107","556","15953","3761","264","14.24","Monster Hunter World"
"Star Citizen","62","Star Citizen","164403240","4750140","35775","327","5091","3687","106","34.61","Star Citizen"
"Scrap Mechanic","63","Scrap Mechanic","151164660","3940800","114076","329","6519","3390","88","38.36","Scrap Mechanic"
"VRChat","64","VRChat","149156160","5342280","22944","243","7914","3345","119","27.92","VRChat"
"Pokémon Sword/Shield","65","Pokémon Sword/Shield","146352060","5988300","12536","240","7190","3282","134","24.44","Pokémon Sword/Shield"
"Maneater","66","Maneater","144887820","2986680","111724","774","7754","3250","66","48.51","Maneater"
"MapleStory","67","MapleStory","144140760","4432380","16661","181","3964","3233","99","32.52","MapleStory"
"Fallout 76","68","Fallout 76","142195380","8974080","22899","499","10289","3189","201","15.85","Fallout 76"
"Crucible","69","Crucible","141085980","3779520","122695","1371","13344","3164","84","37.33","Crucible"
"Marbles On Stream","70","Marbles On Stream","139573620","4488180","59363","194","13601","3130","100","31.1","Marbles On Stream"
"Assassin's Creed Odyssey","71","Assassin's Creed Odyssey","138916440","6935880","17395","291","13504","3116","155","20.03","Assassin's Creed Odyssey"
"FINAL FANTASY XIV Online","72","FINAL FANTASY XIV Online","136907220","16699620","11933","1059","16916","3071","374","8.2","FINAL FANTASY XIV Online"
"Korean Baseball League","73","Korean Baseball League","135741060","226980","44930","62","245","3044","5","598.03","Korean Baseball League"
"The Sims 4","74","The Sims 4","135565560","4907820","31223","210","11717","3040","110","27.62","The Sims 4"
"Pummel Party","75","Pummel Party","132916920","2238660","101819","198","9890","2981","50","59.37","Pummel Party"
"Mortal Kombat 11","76","Mortal Kombat 11","132399120","4632900","93972","825","9449","2969","103","28.58","Mortal Kombat 11"
"Heroes of the Storm","77","Heroes of the Storm","130073580","5470080","12825","217","6096","2917","122","23.78","Heroes of the Storm"
"Heroes of Might and Magic III: The Shadow of Death","78","Heroes of Might and Magic III: The Shadow of Death","129318540","881520","13395","50","756","2900","19","146.7","Heroes of Might and Magic III: The Shadow of Death"
"iRacing.com","79","iRacing.com","126995100","6248520","23949","543","6636","2848","140","20.32","iRacing.com"
"Sekiro: Shadows Die Twice","80","Sekiro: Shadows Die Twice","122591040","3476700","14474","163","8659","2749","77","35.26","Sekiro: Shadows Die Twice"
"Detroit: Become Human","81","Detroit: Become Human","122116800","1245300","96478","70","4681","2739","27","98.06","Detroit: Become Human"
"The Legend of Zelda: Breath of the Wild","82","The Legend of Zelda: Breath of the Wild","120380640","3604200","27416","151","5193","2700","80","33.4","The Legend of Zelda: Breath of the Wild"
"Dark Souls","83","Dark Souls","119784960","4394940","43047","202","7205","2686","98","27.26","Dark Souls"
"ARK","84","ARK","119670240","12223320","20631","505","11787","2684","274","9.79","ARK"
"Food & Drink","85","Food & Drink","118936680","1645500","24021","78","5701","2667","36","72.28","Food & Drink"
"Science & Technology","86","Science & Technology","117053700","8772600","71487","450","9120","2625","196","13.34","Science & Technology"
"DayZ","87","DayZ","114686460","9009000","12341","448","12404","2572","202","12.73","DayZ"
"Mount & Blade II: Bannerlord","88","Mount & Blade II: Bannerlord","112593360","2966340","19770","186","4545","2525","66","37.96","Mount & Blade II: Bannerlord"
"Sid Meier's Civilization VI","89","Sid Meier's Civilization VI","109616820","5003940","21934","540","12427","2458","112","21.91","Sid Meier's Civilization VI"
"Lineage II","90","Lineage II","107851620","4151340","6910","251","2246","2419","93","25.98","Lineage II"
"God of War","91","God of War","106430400","3975660","56292","161","6279","2387","89","26.77","God of War"
"Summoners War: Sky Arena","92","Summoners War: Sky Arena","105305640","1963560","10072","88","1703","2362","44","53.63","Summoners War: Sky Arena"
"Bloodborne","93","Bloodborne","100489260","3862620","32120","168","6485","2254","86","26.02","Bloodborne"
"Sports & Fitness","94","Sports & Fitness","100345860","2225160","91259","188","4043","2250","49","45.1","Sports & Fitness"
"Monster Train","95","Monster Train","99230460","1009740","35351","109","1978","2225","22","98.27","Monster Train"
"The Last of Us","96","The Last of Us","98659800","5484780","26986","308","5519","2213","123","17.99","The Last of Us"
"Street Fighter V","97","Street Fighter V","90783900","2476200","8417","110","3458","2036","55","36.66","Street Fighter V"
"Persona 5: The Royal","98","Persona 5: The Royal","84886500","4403880","9771","229","3626","1904","98","19.28","Persona 5: The Royal"
"MLB The Show 20","99","MLB The Show 20","84304920","2519040","8171","141","7364","1891","56","33.47","MLB The Show 20"
"Dungeons & Dragons","100","Dungeons & Dragons","82611180","4660080","18987","376","6860","1853","104","17.73","Dungeons & Dragons"
