"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Nioh 2","25","Nioh 2","563742120","9033660","123868","754","10544","12645","202","62.4","Nioh 2"
"Destiny 2","26","Destiny 2","556027920","37164300","85865","2334","50146","12472","833","14.96","Destiny 2"
"RimWorld","27","RimWorld","392910180","3701640","40076","153","4834","8813","83","106.14","RimWorld"
"Art","28","Art","348760500","22260180","24127","886","39865","7823","499","15.67","Art"
"Poker","29","Poker","328511880","4660860","43768","361","4990","7369","104","70.48","Poker"
"Rust","30","Rust","299299740","9814500","24070","494","16495","6713","220","30.5","Rust"
"Old School RuneScape","31","Old School RuneScape","299092980","6887280","21516","296","7750","6709","154","43.43","Old School RuneScape"
"Half-Life: Alyx","32","Half-Life: Alyx","286228620","3604260","303620","2399","11019","6420","80","79.41","Half-Life: Alyx"
"Magic: The Gathering","33","Magic: The Gathering","280976760","4647120","16717","285","7508","6302","104","60.46","Magic: The Gathering"
"StarCraft II","34","StarCraft II","255313140","4257480","78201","238","6087","5727","95","59.97","StarCraft II"
"Mount & Blade II: Bannerlord","35","Mount & Blade II: Bannerlord","252499080","2201700","243038","1380","7274","5663","49","114.68","Mount & Blade II: Bannerlord"
"Ori and the Will of the Wisps","36","Ori and the Will of the Wisps","249981600","8526240","68414","1502","18078","5607","191","29.32","Ori and the Will of the Wisps"
"World of Tanks","37","World of Tanks","240862260","9121620","23233","454","10943","5402","204","26.41","World of Tanks"
"Tom Clancy's The Division 2","38","Tom Clancy's The Division 2","226870380","15895020","72816","1074","30434","5089","356","14.27","Tom Clancy's The Division 2"
"Age of Empires II: Definitive Edition","39","Age of Empires II: Definitive Edition","224673120","1967700","54835","135","3459","5039","44","114.18","Age of Empires II: Definitive Edition"
"Talk Shows & Podcasts","40","Talk Shows & Podcasts","224639580","4617600","57359","248","9903","5039","103","48.65","Talk Shows & Podcasts"
"NBA 2K20","41","NBA 2K20","223891020","19931700","40615","1159","44954","5022","447","11.23","NBA 2K20"
"Black Desert Online","42","Black Desert Online","214711980","10565580","13271","359","11948","4816","237","20.32","Black Desert Online"
"ASMR","43","ASMR","213980700","3503040","25076","109","1408","4799","78","61.08","ASMR"
"Super Mario Maker 2","44","Super Mario Maker 2","185080560","2756700","19694","126","3865","4151","61","67.14","Super Mario Maker 2"
"Super Smash Bros. Ultimate","45","Super Smash Bros. Ultimate","184129440","6280440","40498","358","12335","4130","140","29.32","Super Smash Bros. Ultimate"
"ARK","46","ARK","181470420","13530180","23061","625","16504","4070","303","13.41","ARK"
"Monster Hunter World","47","Monster Hunter World","179223120","13866120","22233","764","21266","4020","311","12.93","Monster Hunter World"
"Games + Demos","48","Games + Demos","174023460","3052620","57908","132","9135","3903","68","57.01","Games + Demos"
"Pokémon Sword/Shield","49","Pokémon Sword/Shield","172583040","6759180","18471","299","9303","3871","151","25.53","Pokémon Sword/Shield"
"Smite","50","Smite","171559620","7879860","12149","378","14324","3848","176","21.77","Smite"
"Chess","51","Chess","159333840","1502400","43863","117","2054","3574","33","106.05","Chess"
"Tibia","52","Tibia","158869740","6202680","8955","295","4893","3563","139","25.61","Tibia"
"Warcraft III","53","Warcraft III","146486820","2838480","25982","124","3543","3285","63","51.61","Warcraft III"
"World of Warships","54","World of Warships","140032800","3705480","11615","160","4587","3141","83","37.79","World of Warships"
"Sea of Thieves","55","Sea of Thieves","128035140","10417500","32892","703","20210","2872","233","12.29","Sea of Thieves"
"The Elder Scrolls Online","56","The Elder Scrolls Online","126168420","4296300","25190","200","6076","2830","96","29.37","The Elder Scrolls Online"
"Last Oasis","57","Last Oasis","125885640","1425660","59245","752","3091","2823","31","88.3","Last Oasis"
"Retro","58","Retro","121321500","6723000","12597","257","7641","2721","150","18.05","Retro"
"FINAL FANTASY XIV Online","59","FINAL FANTASY XIV Online","114835740","14430300","11083","1144","16591","2575","323","7.96","FINAL FANTASY XIV Online"
"Heroes of Might and Magic III: The Shadow of Death","60","Heroes of Might and Magic III: The Shadow of Death","114700080","795540","10639","44","717","2572","17","144.18","Heroes of Might and Magic III: The Shadow of Death"
"MapleStory","61","MapleStory","113064300","3923460","20913","172","4217","2536","88","28.82","MapleStory"
"iRacing.com","62","iRacing.com","110051040","3966840","55317","688","5181","2468","88","27.74","iRacing.com"
"Heroes of the Storm","63","Heroes of the Storm","108781740","4398360","7514","180","6535","2440","98","24.73","Heroes of the Storm"
"Dungeons & Dragons","64","Dungeons & Dragons","106235760","3479100","74864","345","5877","2383","78","30.54","Dungeons & Dragons"
"Legends of Runeterra","65","Legends of Runeterra","106230120","2619540","12716","124","5571","2382","58","40.55","Legends of Runeterra"
"Diablo III: Reaper of Souls","66","Diablo III: Reaper of Souls","103939680","6593700","23610","1015","11947","2331","147","15.76","Diablo III: Reaper of Souls"
"Twitch Stream Aid","67","Twitch Stream Aid","100054260","76920","168180","92","336","2244","1","1300.76","Twitch Stream Aid"
"MLB The Show 20","68","MLB The Show 20","99756180","2346420","14181","393","9320","2237","52","42.51","MLB The Show 20"
"Stilt Fella","69","Stilt Fella","97923420","182220","63244","19","776","2196","4","537.39","Stilt Fella"
"VRChat","70","VRChat","97331280","4010760","51406","223","6981","2183","89","24.27","VRChat"
"Sports & Fitness","71","Sports & Fitness","92678400","1229640","43527","152","3885","2078","27","75.37","Sports & Fitness"
"Garena Free Fire","72","Garena Free Fire","91059540","2818320","21139","150","4869","2042","63","32.31","Garena Free Fire"
"F1 2019","73","F1 2019","90486060","1526880","181862","197","7070","2029","34","59.26","F1 2019"
"Dark Souls III","74","Dark Souls III","87730440","5867700","10748","236","13021","1967","131","14.95","Dark Souls III"
"Granblue Fantasy: Versus","75","Granblue Fantasy: Versus","87173100","2257740","29261","196","5651","1955","50","38.61","Granblue Fantasy: Versus"
"Science & Technology","76","Science & Technology","85736160","6242760","10800","246","8249","1923","140","13.73","Science & Technology"
"Lineage II","77","Lineage II","84729480","3166260","6904","177","2134","1900","71","26.76","Lineage II"
"Marbles On Stream","78","Marbles On Stream","82536060","2365380","22306","135","7908","1851","53","34.89","Marbles On Stream"
"Clash Royale","79","Clash Royale","81349560","1095660","20739","67","2597","1824","24","74.25","Clash Royale"
"Madden NFL 20","80","Madden NFL 20","81189660","10287720","18831","679","23789","1821","230","7.89","Madden NFL 20"
"Call of Duty: Black Ops 4","81","Call of Duty: Black Ops 4","79987620","11566500","40253","674","21245","1794","259","6.92","Call of Duty: Black Ops 4"
"The Witcher 3: Wild Hunt","82","The Witcher 3: Wild Hunt","79243860","5182260","17963","270","12105","1777","116","15.29","The Witcher 3: Wild Hunt"
"The Legend of Zelda: Breath of the Wild","83","The Legend of Zelda: Breath of the Wild","77556060","2739720","15856","135","4781","1739","61","28.31","The Legend of Zelda: Breath of the Wild"
"Food & Drink","84","Food & Drink","71508300","1134960","14777","65","4650","1604","25","63.01","Food & Drink"
"Black Mesa","85","Black Mesa","71199060","1352700","35028","96","3762","1597","30","52.63","Black Mesa"
"Resident Evil 2","86","Resident Evil 2","70764120","4867440","20170","307","14722","1587","109","14.54","Resident Evil 2"
"DayZ","87","DayZ","70479540","5704320","9120","273","9339","1580","127","12.36","DayZ"
"Pummel Party","88","Pummel Party","69388740","1403520","41446","221","7389","1556","31","49.44","Pummel Party"
"The Seven Deadly Sins: Hikari to Yami no Grand Cross","89","The Seven Deadly Sins: Hikari to Yami no Grand Cross","67975140","1967940","7370","125","1878","1524","44","34.54","The Seven Deadly Sins: Hikari to Yami no Grand Cross"
"Mortal Kombat 11","90","Mortal Kombat 11","65424360","2469780","44425","262","7703","1467","55","26.49","Mortal Kombat 11"
"Slay the Spire","91","Slay the Spire","65078880","1341660","36941","205","3804","1459","30","48.51","Slay the Spire"
"Hunt: Showdown","92","Hunt: Showdown","64711440","5686860","8066","338","9326","1451","127","11.38","Hunt: Showdown"
"Stardew Valley","93","Stardew Valley","63983340","5792880","13850","256","15192","1435","129","11.05","Stardew Valley"
"Satisfactory","94","Satisfactory","63467640","3588960","18838","485","5485","1423","80","17.68","Satisfactory"
"Football Manager 2020","95","Football Manager 2020","62898000","1737720","16549","118","2748","1410","38","36.2","Football Manager 2020"
"Borderlands 3","96","Borderlands 3","62731680","7234140","10733","597","16216","1407","162","8.67","Borderlands 3"
"Warframe","97","Warframe","60698340","6334860","52982","349","10856","1361","142","9.58","Warframe"
"Street Fighter V","98","Street Fighter V","60145680","1941240","29213","94","3860","1349","43","30.98","Street Fighter V"
"Tekken 7","99","Tekken 7","60080760","2854020","19861","139","7353","1347","64","21.05","Tekken 7"
"The Legend of Zelda: Ocarina of Time","100","The Legend of Zelda: Ocarina of Time","59669100","2029080","24279","162","2662","1338","45","29.41","The Legend of Zelda: Ocarina of Time"
