"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Warframe","56","Warframe","71420640","7754220","37820","321","15568","1602","173","9.21","Warframe"
"Games + Demos","57","Games + Demos","69070380","899400","86250","84","2768","1549","20","76.8","Games + Demos"
"Retro","58","Retro","68918340","3034140","10243","123","3508","1545","68","22.71","Retro"
"The Legend of Zelda: Breath of the Wild","59","The Legend of Zelda: Breath of the Wild","68400300","2456340","39020","245","4541","1534","55","27.85","The Legend of Zelda: Breath of the Wild"
"The Witcher 3: Wild Hunt","60","The Witcher 3: Wild Hunt","66090240","2456100","15089","121","6665","1482","55","26.91","The Witcher 3: Wild Hunt"
"Arma 3","61","Arma 3","59079900","3796320","11036","262","7244","1325","85","15.56","Arma 3"
"Tekken 7","62","Tekken 7","56871720","1761600","25674","98","6612","1275","39","32.28","Tekken 7"
"The Binding of Isaac: Afterbirth","63","The Binding of Isaac: Afterbirth","55979760","1102680","18312","65","3291","1255","24","50.77","The Binding of Isaac: Afterbirth"
"Super Smash Bros. for Wii U","64","Super Smash Bros. for Wii U","54265740","777960","36736","63","1562","1217","17","69.75","Super Smash Bros. for Wii U"
"Resident Evil 7 biohazard","65","Resident Evil 7 biohazard","53602560","2009940","32042","311","9186","1202","45","26.67","Resident Evil 7 biohazard"
"Hand Simulator","66","Hand Simulator","52855800","585180","47292","57","4870","1185","13","90.32","Hand Simulator"
"Battlerite","67","Battlerite","51442020","3437400","23059","195","11174","1153","77","14.97","Battlerite"
"Summoners War: Sky Arena","68","Summoners War: Sky Arena","51087180","1097220","4173","52","1316","1145","24","46.56","Summoners War: Sky Arena"
"Euro Truck Simulator 2","69","Euro Truck Simulator 2","50098980","4484400","31873","268","9315","1123","100","11.17","Euro Truck Simulator 2"
"Diablo III: Reaper of Souls","70","Diablo III: Reaper of Souls","48953760","4396680","3551","232","9182","1098","98","11.13","Diablo III: Reaper of Souls"
"Hello Neighbor","71","Hello Neighbor","47087760","357000","49840","70","1618","1056","8","131.9","Hello Neighbor"
"Lineage II","72","Lineage II","46749360","2338800","4447","139","1725","1048","52","19.99","Lineage II"
"Fallout 4","73","Fallout 4","45743700","3943200","8983","184","10417","1026","88","11.6","Fallout 4"
"SOS","74","SOS","45520860","833940","25474","191","2509","1021","18","54.59","SOS"
"Star Wars Battlefront II","75","Star Wars Battlefront II","44754480","3042000","5963","156","15264","1003","68","14.71","Star Wars Battlefront II"
"DayZ","76","DayZ","43170000","1815540","5676","102","3012","968","40","23.78","DayZ"
"Blade and Soul","77","Blade and Soul","43159020","2248260","14080","101","2997","968","50","19.2","Blade and Soul"
"Human: Fall Flat","78","Human: Fall Flat","43116960","1175460","26558","78","6883","967","26","36.68","Human: Fall Flat"
"The Legend of Zelda: A Link to the Past","79","The Legend of Zelda: A Link to the Past","42767400","1583400","8465","136","1603","959","35","27.01","The Legend of Zelda: A Link to the Past"
"Madden NFL 18","80","Madden NFL 18","42454260","8169540","8953","522","21777","952","183","5.2","Madden NFL 18"
"Doki Doki Literature Club","81","Doki Doki Literature Club","42064620","1944900","29839","109","8064","943","43","21.63","Doki Doki Literature Club"
"Super Mario Maker","82","Super Mario Maker","41134800","495120","18154","29","592","922","11","83.08","Super Mario Maker"
"Warcraft III","83","Warcraft III","41007720","1210560","20459","59","1308","919","27","33.88","Warcraft III"
"Vainglory","84","Vainglory","40859280","419220","43162","22","687","916","9","97.47","Vainglory"
"Nioh","85","Nioh","40438200","2032200","17314","94","4179","907","45","19.9","Nioh"
"Tibia","86","Tibia","40235820","2026020","3084","90","2190","902","45","19.86","Tibia"
"Bloodborne","87","Bloodborne","39849180","2426820","15995","111","7292","893","54","16.42","Bloodborne"
"Age of Empires II","88","Age of Empires II","39726780","460080","6615","24","536","891","10","86.35","Age of Empires II"
"Dark Souls","89","Dark Souls","38258520","1536600","8919","68","3514","858","34","24.9","Dark Souls"
"osu!","90","osu!","37803480","5136180","18701","237","19512","847","115","7.36","osu!"
"Bridge Constructor Portal","91","Bridge Constructor Portal","37459500","185400","29171","41","906","840","4","202.05","Bridge Constructor Portal"
"Board Games","92","Board Games","37004220","94920","38637","11","238","830","2","389.85","Board Games"
"FINAL FANTASY XIV Online","93","FINAL FANTASY XIV Online","36975480","4390020","11481","284","6767","829","98","8.42","FINAL FANTASY XIV Online"
"Darkest Dungeon","94","Darkest Dungeon","36961440","934860","12429","46","2403","829","20","39.54","Darkest Dungeon"
"Lineage M","95","Lineage M","34440780","449880","7907","38","335","772","10","76.56","Lineage M"
"The Sims 4","96","The Sims 4","33357000","1605300","16221","77","6150","748","36","20.78","The Sims 4"
"Shadowverse","97","Shadowverse","33321720","1402260","13999","113","1732","747","31","23.76","Shadowverse"
"Heroes of Might and Magic III: The Shadow of Death","98","Heroes of Might and Magic III: The Shadow of Death","32984700","373320","15865","25","447","739","8","88.36","Heroes of Might and Magic III: The Shadow of Death"
"World of Warships","99","World of Warships","32969040","2339880","7686","109","4021","739","52","14.09","World of Warships"
"Sid Meier's Civilization V","100","Sid Meier's Civilization V","32825580","616200","46335","38","1871","736","13","53.27","Sid Meier's Civilization V"
