,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
Call of Duty: WWII,26,Call of Duty: WWII,154238940,2650080,111413,1028,9285,3459,59,58.2,Call of Duty: WWII
Black Desert Online,27,Black Desert Online,152743020,6654540,10083,221,7241,3426,149,22.95,Black Desert Online
Destiny,28,Destiny,151471320,22761600,14676,1486,37495,3397,510,6.65,Destiny
Smite,29,Smite,142805220,6756060,20349,268,13505,3203,151,21.14,Smite
FIFA 17,30,FIFA 17,125010180,6051000,34334,368,20067,2804,135,20.66,FIFA 17
XCOM 2: War of the Chosen,31,XCOM 2: War of the Chosen,124639140,580440,37514,206,1269,2795,13,214.73,XCOM 2: War of the Chosen
Street Fighter V,32,Street Fighter V,116343000,1834260,43485,149,4464,2609,41,63.43,Street Fighter V
Call of Duty: Infinite Warfare,33,Call of Duty: Infinite Warfare,113238420,5858700,116685,290,20013,2540,131,19.33,Call of Duty: Infinite Warfare
Dauntless,34,Dauntless,112832820,1741140,71614,614,3166,2531,39,64.8,Dauntless
Casino_old,35,Casino_old,107323680,848640,7365,44,646,2407,19,126.47,Casino_old
The Long Dark,36,The Long Dark,97866720,2159340,29806,243,5855,2195,48,45.32,The Long Dark
Magic: The Gathering,37,Magic: The Gathering,97651440,906780,18433,54,1216,2190,20,107.69,Magic: The Gathering
Clash Royale,38,Clash Royale,94900800,1178820,32147,58,2687,2128,26,80.5,Clash Royale
Super Mario 64,39,Super Mario 64,90482460,950880,12341,45,1796,2029,21,95.16,Super Mario 64
ARK,40,ARK,89851860,6064380,51549,397,13485,2015,136,14.82,ARK
Hellblade,41,Hellblade,89270640,2579760,83708,545,8416,2002,57,34.6,Hellblade
Fortnite,42,Fortnite,82619640,8658180,14564,697,18467,1853,194,9.54,Fortnite
Diablo III: Reaper of Souls,43,Diablo III: Reaper of Souls,79664700,5854740,14813,340,13447,1787,131,13.61,Diablo III: Reaper of Souls
Dark Souls III,44,Dark Souls III,78913500,4497900,25436,177,12989,1770,100,17.54,Dark Souls III
Rust,45,Rust,78075780,3664620,10242,246,7292,1751,82,21.31,Rust
Call of Duty: Ghosts,46,Call of Duty: Ghosts,76446780,1920960,14323,173,6470,1714,43,39.8,Call of Duty: Ghosts
Gwent: The Witcher Card Game,47,Gwent: The Witcher Card Game,75789420,1263240,16603,92,2289,1700,28,60,Gwent: The Witcher Card Game
Madden NFL 18,48,Madden NFL 18,72428640,5174580,33963,1245,17076,1624,116,14,Madden NFL 18
Pokémon Sun/Moon,49,Pokémon Sun/Moon,71941980,1790460,34589,74,2088,1613,40,40.18,Pokémon Sun/Moon
Tekken 7,50,Tekken 7,71028360,2018520,21625,80,8304,1593,45,35.19,Tekken 7
Super Smash Bros. Melee,51,Super Smash Bros. Melee,70946040,805140,47216,52,2307,1591,18,88.12,Super Smash Bros. Melee
Uncharted: The Lost Legacy,52,Uncharted: The Lost Legacy,69694380,838920,59504,211,5942,1563,18,83.08,Uncharted: The Lost Legacy
Super Smash Bros. for Wii U,53,Super Smash Bros. for Wii U,69660060,883740,28504,61,1777,1562,19,78.82,Super Smash Bros. for Wii U
Dark and Light,54,Dark and Light,68693400,2232120,40894,152,2766,1540,50,30.77,Dark and Light
Call of Duty: Black Ops III,55,Call of Duty: Black Ops III,65663700,15457560,9077,634,57225,1472,346,4.25,Call of Duty: Black Ops III
Music & Performing Arts,56,Music & Performing Arts,62250120,3427080,7972,109,4924,1396,76,18.16,Music & Performing Arts
Warcraft III,57,Warcraft III,61057560,1211100,19990,61,1382,1369,27,50.41,Warcraft III
Escape From Tarkov,58,Escape From Tarkov,60057540,3001080,44193,150,4410,1347,67,20.01,Escape From Tarkov
Paladins,59,Paladins,59899920,5367600,10966,218,16505,1343,120,11.16,Paladins
FINAL FANTASY XIV Online,60,FINAL FANTASY XIV Online,57481620,6730200,4883,602,9341,1289,150,8.54,FINAL FANTASY XIV Online
Gamescom 2017,61,Gamescom 2017,55254960,83100,161292,52,188,1239,1,664.92,Gamescom 2017
Arma 3,62,Arma 3,53134920,3742020,13460,238,6750,1191,83,14.2,Arma 3
Absolver,63,Absolver,52718580,943440,48064,690,4194,1182,21,55.88,Absolver
Retro,64,Retro,51780960,2452140,16517,101,2879,1161,55,21.12,Retro
Friday the 13th: The Game,65,Friday the 13th: The Game,51251280,5043660,7635,269,17399,1149,113,10.16,Friday the 13th: The Game
Dark Souls,66,Dark Souls,49602720,1549080,8327,64,3468,1112,34,32.02,Dark Souls
Observer,67,Observer,48681300,705960,38710,152,2478,1091,15,68.96,Observer
Super Mario Maker,68,Super Mario Maker,48623340,703260,7265,37,826,1090,15,69.14,Super Mario Maker
Golf It!,69,Golf It!,48027480,169800,113470,28,1146,1077,3,282.85,Golf It!
Tibia,70,Tibia,47725620,1554480,3652,69,1859,1070,34,30.7,Tibia
Warframe,71,Warframe,47409900,6236160,12242,235,14389,1063,139,7.6,Warframe
Dungeons & Dragons,72,Dungeons & Dragons,47408460,1382100,23427,102,1908,1063,31,34.3,Dungeons & Dragons
Mario + Rabbids Kingdom Battle,73,Mario + Rabbids Kingdom Battle,46151160,336720,47707,170,1159,1035,7,137.06,Mario + Rabbids Kingdom Battle
Paragon,74,Paragon,45784140,4402620,8274,351,7741,1027,98,10.4,Paragon
Crash Bandicoot: N. Sane Trilogy,75,Crash Bandicoot: N. Sane Trilogy,45745920,714660,15873,48,6942,1026,16,64.01,Crash Bandicoot: N. Sane Trilogy
Guild Wars 2,76,Guild Wars 2,44986980,2699520,56295,178,4645,1009,60,16.66,Guild Wars 2
Splatoon 2,77,Splatoon 2,44946000,2992440,8746,437,5204,1008,67,15.02,Splatoon 2
NBA 2K17,78,NBA 2K17,42606060,7130040,13774,400,22717,955,159,5.98,NBA 2K17
Conan Exiles,79,Conan Exiles,39695040,1326120,57372,194,2289,890,29,29.93,Conan Exiles
Sonic Mania,80,Sonic Mania,39256800,1793220,15474,438,8989,880,40,21.89,Sonic Mania
The Escapists 2,81,The Escapists 2,39104220,646260,54879,138,2655,877,14,60.51,The Escapists 2
Bloodborne,82,Bloodborne,37974480,2005200,15371,91,6018,851,44,18.94,Bloodborne
No Man's Sky,83,No Man's Sky,37776960,2086800,24162,204,6357,847,46,18.1,No Man's Sky
Lineage II,84,Lineage II,37591140,1717500,4309,107,1393,843,38,21.89,Lineage II
For Honor,85,For Honor,37305660,2657400,20114,195,9690,836,59,14.04,For Honor
Games + Demos,86,Games + Demos,35845020,777060,28927,45,2329,804,17,46.13,Games + Demos
Shadowverse,87,Shadowverse,35623860,792060,13005,47,1403,799,17,44.98,Shadowverse
Quake Champions,88,Quake Champions,35359140,815460,22195,74,2207,793,18,43.36,Quake Champions
Battlefield 1,89,Battlefield 1,35029500,6972840,5001,312,27067,785,156,5.02,Battlefield 1
Summoners War: Sky Arena,90,Summoners War: Sky Arena,34590360,1018140,3188,56,1095,775,22,33.97,Summoners War: Sky Arena
Injustice 2,91,Injustice 2,34501320,1108980,12116,78,4147,773,24,31.11,Injustice 2
Albion Online,92,Albion Online,33505920,2017440,3611,117,2780,751,45,16.61,Albion Online
osu!,93,osu!,33257040,4683240,17536,182,17394,746,105,7.1,osu!
White Day: A Labyrinth Named School,94,White Day: A Labyrinth Named School,33232920,203340,14895,56,517,745,4,163.44,White Day: A Labyrinth Named School
7 Days to Die,95,7 Days to Die,33198120,4129980,4604,170,7384,744,92,8.04,7 Days to Die
Mario Kart 8,96,Mario Kart 8,33145260,663240,43900,38,2251,743,14,49.97,Mario Kart 8
The Evil Within,97,The Evil Within,32542200,735840,18349,50,2583,729,16,44.22,The Evil Within
World of Warships,98,World of Warships,31956360,1947120,8295,103,3163,716,43,16.41,World of Warships
Blade and Soul,99,Blade and Soul,30048960,1770600,6103,86,2276,674,39,16.97,Blade and Soul
RimWorld,100,RimWorld,29602620,1013460,6136,51,1873,664,22,29.21,RimWorld
