,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
Splatoon 2,58,Splatoon 2,66722040,3043500,20573,944,5999,1496,68,21.92,Splatoon 2
Final Fantasy VII,59,Final Fantasy VII,65008140,559620,142666,30,1222,1458,12,116.16,Final Fantasy VII
Lineage II,60,Lineage II,64266120,2272920,4699,113,1691,1441,50,28.27,Lineage II
Gigantic,61,Gigantic,61334640,1558200,37184,133,6023,1375,34,39.36,Gigantic
Shadowverse,62,Shadowverse,60665580,1085700,11934,64,1982,1360,24,55.88,Shadowverse
Pokémon Sun/Moon,63,Pokémon Sun/Moon,59586720,1884360,8222,79,2097,1336,42,31.62,Pokémon Sun/Moon
Music & Performing Arts,64,Music & Performing Arts,56341980,3527940,8444,120,5291,1263,79,15.97,Music & Performing Arts
Super Mario Maker,65,Super Mario Maker,54759840,756960,7123,36,868,1228,16,72.34,Super Mario Maker
Dark Souls,66,Dark Souls,51339180,1538280,204556,64,3728,1151,34,33.37,Dark Souls
Final Fantasy XII: The Zodiac Age,67,Final Fantasy XII: The Zodiac Age,49817220,1488540,11865,163,1941,1117,33,33.47,Final Fantasy XII: The Zodiac Age
The Elder Scrolls V: Skyrim,68,The Elder Scrolls V: Skyrim,48308040,4199340,8983,171,12104,1083,94,11.5,The Elder Scrolls V: Skyrim
Citadel: Forged with Fire,69,Citadel: Forged with Fire,47736180,797820,40189,185,2280,1070,17,59.83,Citadel: Forged with Fire
Call of Duty: Modern Warfare Remastered,70,Call of Duty: Modern Warfare Remastered,46789500,5835960,8927,298,23203,1049,130,8.02,Call of Duty: Modern Warfare Remastered
The Legend of Zelda: Majora's Mask,71,The Legend of Zelda: Majora's Mask,46208400,282120,217334,22,459,1036,6,163.79,The Legend of Zelda: Majora's Mask
Battlefield 1,72,Battlefield 1,45680100,7274640,7860,311,28491,1024,163,6.28,Battlefield 1
Summoners War: Sky Arena,73,Summoners War: Sky Arena,45132240,1141800,6659,59,1228,1012,25,39.53,Summoners War: Sky Arena
Dungeons & Dragons,74,Dungeons & Dragons,44870880,1441140,28073,107,1908,1006,32,31.14,Dungeons & Dragons
Warframe,75,Warframe,44147880,5999640,30897,252,15074,990,134,7.36,Warframe
EarthBound,76,EarthBound,43566660,161820,159596,20,304,977,3,269.23,EarthBound
Injustice 2,77,Injustice 2,43054740,1428540,46363,97,5838,965,32,30.14,Injustice 2
Games + Demos,78,Games + Demos,42235620,875280,16241,37,2442,947,19,48.25,Games + Demos
RimWorld,79,RimWorld,40349160,1133880,7240,48,2030,905,25,35.59,RimWorld
Tibia,80,Tibia,39626880,1796820,3076,87,1898,888,40,22.05,Tibia
Mount & Blade: Warband,81,Mount & Blade: Warband,38741460,479700,7048,28,1374,869,10,80.76,Mount & Blade: Warband
The End is Nigh,82,The End is Nigh,37231440,438000,36051,120,1383,835,9,85,The End is Nigh
Diablo II: Lord of Destruction,83,Diablo II: Lord of Destruction,37117260,613560,154500,28,882,832,13,60.49,Diablo II: Lord of Destruction
The Witcher 3: Wild Hunt,84,The Witcher 3: Wild Hunt,36764220,3071880,11168,138,7744,824,68,11.97,The Witcher 3: Wild Hunt
DayZ,85,DayZ,36589620,1848120,11897,86,3418,820,41,19.8,DayZ
The Legend of Zelda: Twilight Princess HD,86,The Legend of Zelda: Twilight Princess HD,35373060,68760,142814,14,151,793,1,514.44,The Legend of Zelda: Twilight Princess HD
Halo 5: Guardians,87,Halo 5: Guardians,35224140,2897940,18878,156,7212,790,65,12.15,Halo 5: Guardians
Paragon,88,Paragon,34979640,4128420,2536,164,7305,784,92,8.47,Paragon
Pokémon HeartGold/SoulSilver,89,Pokémon HeartGold/SoulSilver,33761340,142980,183830,18,454,757,3,236.13,Pokémon HeartGold/SoulSilver
The Binding of Isaac: Afterbirth,90,The Binding of Isaac: Afterbirth,33086700,1053540,8742,55,3209,742,23,31.41,The Binding of Isaac: Afterbirth
Dream Daddy: A Dad Dating Simulator,91,Dream Daddy: A Dad Dating Simulator,32672280,700920,30084,256,3257,732,15,46.61,Dream Daddy: A Dad Dating Simulator
Mario Kart 8,92,Mario Kart 8,32616060,863520,34721,59,2847,731,19,37.77,Mario Kart 8
Retro,93,Retro,32079720,2388840,12275,92,2865,719,53,13.43,Retro
Doom,94,Doom,31782540,1181640,169268,80,6669,712,26,26.9,Doom
World of Warships,95,World of Warships,31314900,2013900,4233,93,3061,702,45,15.55,World of Warships
osu!,96,osu!,31235880,4714380,7895,179,17291,700,105,6.63,osu!
Angvik,97,Angvik,30383040,156600,16666,25,684,681,3,194.02,Angvik
Chrono Trigger,98,Chrono Trigger,30350940,119280,140953,18,295,680,2,254.45,Chrono Trigger
XCOM 2,99,XCOM 2,30050040,882420,4454,43,1792,674,19,34.05,XCOM 2
The Last of Us,100,The Last of Us,29441580,1525620,23281,63,5050,660,34,19.3,The Last of Us
