"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Darkest Dungeon","66","Darkest Dungeon","44462700","976560","7811","56","2312","1104","24","45.53","Darkest Dungeon"
"Summoners War: Sky Arena","67","Summoners War: Sky Arena","43510020","903300","8989","51","971","1080","22","48.17","Summoners War: Sky Arena"
"XCOM 2","68","XCOM 2","42171420","1213800","7281","71","2120","1047","30","34.74","XCOM 2"
"Shadowverse","69","Shadowverse","40556820","919200","26516","46","1585","1007","22","44.12","Shadowverse"
"Diablo II: Lord of Destruction","70","Diablo II: Lord of Destruction","40462620","646200","4500","36","756","1005","16","62.62","Diablo II: Lord of Destruction"
"Mass Effect 2","71","Mass Effect 2","40462020","1220640","24686","75","2281","1005","30","33.15","Mass Effect 2"
"Stardew Valley","72","Stardew Valley","38804580","2102160","6306","112","5541","963","52","18.46","Stardew Valley"
"World of Warships","73","World of Warships","38792520","1879080","3305","107","2983","963","46","20.64","World of Warships"
"Gwent: The Witcher Card Game","74","Gwent: The Witcher Card Game","37432620","954420","7454","82","2297","929","23","39.22","Gwent: The Witcher Card Game"
"Tibia","75","Tibia","37264080","1129080","3527","60","1476","925","28","33","Tibia"
"Yakuza 0","76","Yakuza 0","36593880","1099140","18613","80","2068","908","27","33.29","Yakuza 0"
"The Elder Scrolls V: Skyrim","77","The Elder Scrolls V: Skyrim","36400020","4333080","3878","207","12589","904","107","8.4","The Elder Scrolls V: Skyrim"
"Final Fantasy XIV: Heavensward","78","Final Fantasy XIV: Heavensward","36375060","3399660","19276","268","7521","903","84","10.7","Final Fantasy XIV: Heavensward"
"Paragon","79","Paragon","36284340","3714060","3812","160","6680","901","92","9.77","Paragon"
"osu!","80","osu!","35348340","4231920","15803","214","14754","878","105","8.35","osu!"
"Fallout 4","81","Fallout 4","35345580","4182240","15224","205","11795","877","103","8.45","Fallout 4"
"Super Mario 64","82","Super Mario 64","34810800","740160","9341","44","1311","864","18","47.03","Super Mario 64"
"Retro","83","Retro","33280740","1660800","3637","84","2127","826","41","20.04","Retro"
"Dark Souls II","84","Dark Souls II","32721960","333120","5614","24","895","812","8","98.23","Dark Souls II"
"Mass Effect","85","Mass Effect","31291260","1037880","7716","60","2327","777","25","30.15","Mass Effect"
"Blade and Soul","86","Blade and Soul","31014720","1897740","10108","86","2254","770","47","16.34","Blade and Soul"
"WWE 2K17","87","WWE 2K17","30931020","1389060","36357","81","4195","768","34","22.27","WWE 2K17"
"Warframe","88","Warframe","29701680","3949800","12024","184","9768","737","98","7.52","Warframe"
"EVE Online","89","EVE Online","29643180","625320","3029","32","877","736","15","47.4","EVE Online"
"The Sims 4","90","The Sims 4","29499180","1086420","40092","65","3094","732","26","27.15","The Sims 4"
"The Elder Scrolls Online","91","The Elder Scrolls Online","29350260","2902920","7063","138","7096","729","72","10.11","The Elder Scrolls Online"
"Golf With Your Friends","92","Golf With Your Friends","28719660","484080","52537","42","3226","713","12","59.33","Golf With Your Friends"
"MapleStory","93","MapleStory","28501920","1116060","13117","55","1481","707","27","25.54","MapleStory"
"Oxygen Not Included","94","Oxygen Not Included","27173100","501060","8985","58","1019","674","12","54.23","Oxygen Not Included"
"Dark Souls","95","Dark Souls","26700780","1354080","11710","68","3318","663","33","19.72","Dark Souls"
"IMDb Live Viewing Party","96","IMDb Live Viewing Party","26619900","7380","104602","28","44","661","0","3607.03","IMDb Live Viewing Party"
"Bloodborne","97","Bloodborne","24414360","2253600","5650","118","6674","606","55","10.83","Bloodborne"
"Borderlands 2","98","Borderlands 2","24361680","1411440","36312","82","4027","605","35","17.26","Borderlands 2"
"RimWorld","99","RimWorld","23866320","1021980","8646","49","1667","592","25","23.35","RimWorld"
"Social Eating","100","Social Eating","23827080","223680","26349","22","2400","591","5","106.52","Social Eating"
