"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5964928620","72548100","386334","2770","114317","148160","1801","82.22","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","2428825500","40673040","459482","2078","100125","60328","1010","59.72","Counter-Strike: Global Offensive"
"Hearthstone","3","Hearthstone","2000721720","8971620","142596","368","19906","49695","222","223.01","Hearthstone"
"Dota 2","4","Dota 2","1926913380","19614420","220700","1063","29259","47861","487","98.24","Dota 2"
"Overwatch","5","Overwatch","1112652000","46709880","77354","2230","120815","27636","1160","23.82","Overwatch"
"Z1 Battle Royale","6","Z1 Battle Royale","1004947500","27324540","91212","1184","44100","24961","678","36.78","Z1 Battle Royale"
"For Honor","7","For Honor","921927300","22886040","124182","2064","60525","22899","568","40.28","For Honor"
"World of Warcraft","8","World of Warcraft","690817740","28595700","36882","1879","37872","17158","710","24.16","World of Warcraft"
"Conan Exiles","9","Conan Exiles","538305180","8464320","102398","775","12519","13370","210","63.6","Conan Exiles"
"Nioh","10","Nioh","517825440","11949660","93044","1211","20721","12862","296","43.33","Nioh"
"FIFA 17","11","FIFA 17","506684700","9679380","63554","564","29375","12585","240","52.35","FIFA 17"
"IRL","12","IRL","395418420","4257120","44027","204","15059","9821","105","92.88","IRL"
"Tom Clancy's Rainbow Six: Siege","13","Tom Clancy's Rainbow Six: Siege","389113740","27427260","78882","1409","79301","9665","681","14.19","Tom Clancy's Rainbow Six: Siege"
"Minecraft","14","Minecraft","382838580","17803800","104992","957","52097","9509","442","21.5","Minecraft"
"Talk Shows & Podcasts","15","Talk Shows & Podcasts","358432140","4171800","46130","195","13906","8902","103","85.92","Talk Shows & Podcasts"
"Destiny","16","Destiny","343994460","52251000","61286","2901","60912","8544","1297","6.58","Destiny"
"Heroes of the Storm","17","Heroes of the Storm","340266600","6526920","42144","299","12179","8451","162","52.13","Heroes of the Storm"
"Resident Evil 7 biohazard","18","Resident Evil 7 biohazard","299611740","14213820","53945","1283","50894","7441","353","21.08","Resident Evil 7 biohazard"
"World of Tanks","19","World of Tanks","286140300","8041020","32966","392","13122","7107","199","35.59","World of Tanks"
"Creative","20","Creative","284371740","12533040","22128","488","24642","7063","311","22.69","Creative"
"RuneScape","21","RuneScape","276085860","4970640","21663","229","7851","6857","123","55.54","RuneScape"
"StarCraft II","22","StarCraft II","254751960","3252420","32189","145","4950","6327","80","78.33","StarCraft II"
"Poker","23","Poker","240068520","2506500","21138","150","2567","5962","62","95.78","Poker"
"Smite","24","Smite","236987880","7947300","30109","392","16980","5886","197","29.82","Smite"
"Rust","25","Rust","205555200","4798260","50790","245","9675","5105","119","42.84","Rust"
"Arma 3","26","Arma 3","191586420","5569440","45593","363","8657","4758","138","34.4","Arma 3"
"Call of Duty: Infinite Warfare","27","Call of Duty: Infinite Warfare","155494800","12607200","35455","776","40753","3862","313","12.33","Call of Duty: Infinite Warfare"
"NBA 2K17","28","NBA 2K17","149054160","11253180","22792","1295","33350","3702","279","13.25","NBA 2K17"
"Magic: The Gathering","29","Magic: The Gathering","145329480","806700","32674","57","1086","3609","20","180.15","Magic: The Gathering"
"Dead by Daylight","30","Dead by Daylight","142355220","6141840","33609","279","8708","3535","152","23.18","Dead by Daylight"
"Horizon Zero Dawn","31","Horizon Zero Dawn","138882300","650760","143742","732","5721","3449","16","213.42","Horizon Zero Dawn"
"Grand Theft Auto V","32","Grand Theft Auto V","136110120","16435980","39710","914","60225","3380","408","8.28","Grand Theft Auto V"
"Pokémon Sun/Moon","33","Pokémon Sun/Moon","131673120","1783440","11738","92","2034","3270","44","73.83","Pokémon Sun/Moon"
"Rocket League","34","Rocket League","130764420","8179620","51685","393","34920","3247","203","15.99","Rocket League"
"PLAYERUNKNOWN'S BATTLEGROUNDS","35","PLAYERUNKNOWN'S BATTLEGROUNDS","124779660","748020","85949","368","2022","3099","18","166.81","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Ghost Recon: Wildlands","36","Tom Clancy's Ghost Recon: Wildlands","122746020","4263600","87165","1193","17480","3048","105","28.79","Tom Clancy's Ghost Recon: Wildlands"
"ARK","37","ARK","109828500","8924940","13840","416","18138","2727","221","12.31","ARK"
"Clash Royale","38","Clash Royale","97429740","1652880","53613","90","4832","2420","41","58.95","Clash Royale"
"Black Desert Online","39","Black Desert Online","96643080","4442580","11819","167","5658","2400","110","21.75","Black Desert Online"
"Path of Exile","40","Path of Exile","92802120","2704260","35208","118","3978","2305","67","34.32","Path of Exile"
"Street Fighter V","41","Street Fighter V","91926420","1759440","23459","84","4552","2283","43","52.25","Street Fighter V"
"Super Mario Maker","42","Super Mario Maker","77132640","845400","13358","53","1011","1915","20","91.24","Super Mario Maker"
"The Binding of Isaac: Afterbirth","43","The Binding of Isaac: Afterbirth","74257020","1622460","12595","86","4353","1844","40","45.77","The Binding of Isaac: Afterbirth"
"Battlefield 1","44","Battlefield 1","74151840","10438380","15972","508","39766","1841","259","7.1","Battlefield 1"
"Super Smash Bros. for Wii U","45","Super Smash Bros. for Wii U","65012460","938640","34384","77","1868","1614","23","69.26","Super Smash Bros. for Wii U"
"Dark Souls III","46","Dark Souls III","64788120","4561500","15501","230","14007","1609","113","14.2","Dark Souls III"
"Warcraft III","47","Warcraft III","64644420","1194540","24842","63","1332","1605","29","54.12","Warcraft III"
"The Legend of Zelda: Ocarina of Time","48","The Legend of Zelda: Ocarina of Time","63268140","810480","7022","53","1282","1571","20","78.06","The Legend of Zelda: Ocarina of Time"
"Casino_old","49","Casino_old","62459820","545340","6927","36","480","1551","13","114.53","Casino_old"
"Call of Duty: Modern Warfare Remastered","50","Call of Duty: Modern Warfare Remastered","62350500","3857040","12677","293","17251","1548","95","16.17","Call of Duty: Modern Warfare Remastered"
"Diablo III: Reaper of Souls","51","Diablo III: Reaper of Souls","61490520","3759000","4174","182","8433","1527","93","16.36","Diablo III: Reaper of Souls"
"Halo 5: Guardians","52","Halo 5: Guardians","59159580","3239280","9320","181","8190","1469","80","18.26","Halo 5: Guardians"
"The Witcher 3: Wild Hunt","53","The Witcher 3: Wild Hunt","58478100","2723940","17061","147","7079","1452","67","21.47","The Witcher 3: Wild Hunt"
"Dungeons & Dragons","54","Dungeons & Dragons","57807420","884040","33178","96","1492","1435","21","65.39","Dungeons & Dragons"
"Call of Duty: Black Ops III","55","Call of Duty: Black Ops III","57532200","14031720","4967","764","49365","1429","348","4.1","Call of Duty: Black Ops III"
"Tom Clancy's The Division","56","Tom Clancy's The Division","57369960","7011660","13389","595","16068","1424","174","8.18","Tom Clancy's The Division"
"Madden NFL 17","57","Madden NFL 17","56514420","10053840","30808","690","27281","1403","249","5.62","Madden NFL 17"
"Lineage II","58","Lineage II","56186460","1635180","13649","110","1447","1395","40","34.36","Lineage II"
"Paladins","59","Paladins","55397160","3212400","12251","158","9465","1375","79","17.24","Paladins"
"Music & Performing Arts","60","Music & Performing Arts","55109400","1371780","21308","71","4274","1368","34","40.17","Music & Performing Arts"
"DayZ","61","DayZ","54391080","2553480","5726","148","4070","1350","63","21.3","DayZ"
"Sniper Elite 4","62","Sniper Elite 4","51345840","1219800","40373","158","3662","1275","30","42.09","Sniper Elite 4"
"Super Smash Bros. Melee","63","Super Smash Bros. Melee","50266500","802560","20161","68","2232","1248","19","62.63","Super Smash Bros. Melee"
"NieR Automata","64","NieR Automata","49431600","337260","26441","84","1733","1227","8","146.57","NieR Automata"
"Blackwake","65","Blackwake","45294180","362400","55486","122","1194","1125","9","124.98","Blackwake"
