"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Smite","33","Smite","147378360","5374560","17624","225","10615","3416","124","27.42","Smite"
"Marvel vs. Capcom Infinite","34","Marvel vs. Capcom Infinite","122544720","896340","47255","213","3997","2840","20","136.72","Marvel vs. Capcom Infinite"
"Street Fighter V","35","Street Fighter V","121583100","1525440","34506","82","3777","2818","35","79.7","Street Fighter V"
"Call of Duty: WWII","36","Call of Duty: WWII","108211500","4325040","72880","1239","33079","2508","100","25.02","Call of Duty: WWII"
"Cuphead","37","Cuphead","96320820","1281120","106835","900","8153","2232","29","75.18","Cuphead"
"Gwent: The Witcher Card Game","38","Gwent: The Witcher Card Game","95480040","1321920","11339","70","2199","2213","30","72.23","Gwent: The Witcher Card Game"
"Magic: The Gathering","39","Magic: The Gathering","94669800","925680","23187","64","1225","2194","21","102.27","Magic: The Gathering"
"Rust","40","Rust","80576220","3256680","11632","187","6295","1867","75","24.74","Rust"
"Warcraft III","41","Warcraft III","78617580","1274400","21011","62","1385","1822","29","61.69","Warcraft III"
"Total War: Warhammer II","42","Total War: Warhammer II","78051300","664380","38377","299","1821","1809","15","117.48","Total War: Warhammer II"
"Call of Duty: Ghosts","43","Call of Duty: Ghosts","75073860","2041320","17545","152","5765","1740","47","36.78","Call of Duty: Ghosts"
"Dark Souls III","44","Dark Souls III","74513280","4027080","17419","157","11739","1727","93","18.5","Dark Souls III"
"Madden NFL 18","45","Madden NFL 18","68479980","10069860","11953","682","24923","1587","233","6.8","Madden NFL 18"
"Clash Royale","46","Clash Royale","67770360","976440","27064","60","2252","1570","22","69.41","Clash Royale"
"Tekken 7","47","Tekken 7","67204440","1719540","19476","68","6629","1557","39","39.08","Tekken 7"
"Super Mario 64","48","Super Mario 64","65539140","1026180","7734","63","2294","1519","23","63.87","Super Mario 64"
"Lineage II","49","Lineage II","65301120","2784960","8905","156","1868","1513","64","23.45","Lineage II"
"Music & Performing Arts","50","Music & Performing Arts","65168640","3495120","7373","121","4698","1510","81","18.65","Music & Performing Arts"
"StarCraft","51","StarCraft","63173040","1248000","11692","54","2313","1464","28","50.62","StarCraft"
"Dungeons & Dragons","52","Dungeons & Dragons","55837380","1398900","25906","118","1981","1294","32","39.92","Dungeons & Dragons"
"Paladins","53","Paladins","52148520","4362720","13054","195","12609","1208","101","11.95","Paladins"
"Summoners War: Sky Arena","54","Summoners War: Sky Arena","51097020","961260","22954","54","1049","1184","22","53.16","Summoners War: Sky Arena"
"FINAL FANTASY XIV Online","55","FINAL FANTASY XIV Online","48870360","4814880","12362","421","7621","1132","111","10.15","FINAL FANTASY XIV Online"
"Battlefield 1","56","Battlefield 1","48293340","6526500","29758","386","23754","1119","151","7.4","Battlefield 1"
"Super Smash Bros. Melee","57","Super Smash Bros. Melee","47831400","838500","22138","66","2285","1108","19","57.04","Super Smash Bros. Melee"
"FIFA 17","58","FIFA 17","47714340","2910600","44803","249","12695","1106","67","16.39","FIFA 17"
"Golf It!","59","Golf It!","47611980","343500","37163","40","2297","1103","7","138.61","Golf It!"
"Guild Wars 2","60","Guild Wars 2","47534880","3153360","17260","432","4659","1101","73","15.07","Guild Wars 2"
"Super Smash Bros. for Wii U","61","Super Smash Bros. for Wii U","47453700","872400","13187","68","1679","1099","20","54.39","Super Smash Bros. for Wii U"
"Pokémon Sun/Moon","62","Pokémon Sun/Moon","47183580","1549800","6272","77","1883","1093","35","30.44","Pokémon Sun/Moon"
"Super Mario Maker","63","Super Mario Maker","45330360","656280","6924","38","745","1050","15","69.07","Super Mario Maker"
"Retro","64","Retro","44374440","2418840","5067","109","3153","1028","56","18.35","Retro"
"Monster Hunter Generations Ultimate","65","Monster Hunter Generations Ultimate","44362500","751020","13084","43","590","1028","17","59.07","Monster Hunter Generations Ultimate"
"Shadowverse","66","Shadowverse","43717080","804660","15112","91","1541","1013","18","54.33","Shadowverse"
"Darkwood","67","Darkwood","43359960","321780","23706","35","1024","1005","7","134.75","Darkwood"
"Warframe","68","Warframe","43207800","4932600","25270","198","11212","1001","114","8.76","Warframe"
"Mario + Rabbids Kingdom Battle","69","Mario + Rabbids Kingdom Battle","43036800","874740","12316","130","1823","997","20","49.2","Mario + Rabbids Kingdom Battle"
"Heroes of Might and Magic III: The Shadow of Death","70","Heroes of Might and Magic III: The Shadow of Death","42808140","299400","30509","22","374","992","6","142.98","Heroes of Might and Magic III: The Shadow of Death"
"Arma 3","71","Arma 3","42351480","3411120","9560","243","6465","981","79","12.42","Arma 3"
"Tibia","72","Tibia","41239620","1446180","3937","70","1740","955","33","28.52","Tibia"
"Diablo III: Reaper of Souls","73","Diablo III: Reaper of Souls","40674240","2943960","9257","141","6743","942","68","13.82","Diablo III: Reaper of Souls"
"The Binding of Isaac: Afterbirth","74","The Binding of Isaac: Afterbirth","38993400","930480","18946","53","2961","903","21","41.91","The Binding of Isaac: Afterbirth"
"Blade and Soul","75","Blade and Soul","38342760","2260680","7743","158","3017","888","52","16.96","Blade and Soul"
"The Legend of Zelda: Breath of the Wild","76","The Legend of Zelda: Breath of the Wild","38155380","1311060","31713","71","2373","884","30","29.1","The Legend of Zelda: Breath of the Wild"
"Escape From Tarkov","77","Escape From Tarkov","37147320","2126280","7225","122","2836","861","49","17.47","Escape From Tarkov"
"Games + Demos","78","Games + Demos","36970680","700920","21637","42","2370","856","16","52.75","Games + Demos"
"Call of Duty: Black Ops III","79","Call of Duty: Black Ops III","35862420","9257580","4190","514","34267","831","214","3.87","Call of Duty: Black Ops III"
"Friday the 13th: The Game","80","Friday the 13th: The Game","34676040","2804220","8173","204","9861","803","65","12.37","Friday the 13th: The Game"
"World of Warships","81","World of Warships","34202220","2154420","5361","100","3359","792","49","15.88","World of Warships"
"Chess","82","Chess","32705100","241800","12180","14","443","758","5","135.26","Chess"
"osu!","83","osu!","31821960","4493400","8947","208","16822","737","104","7.08","osu!"
"Hand of the Gods","84","Hand of the Gods","31684800","588120","15150","38","922","734","13","53.87","Hand of the Gods"
"Bloodborne","85","Bloodborne","31382700","1839660","11047","99","5366","727","42","17.06","Bloodborne"
"Uncharted: The Lost Legacy","86","Uncharted: The Lost Legacy","31296480","330480","24883","31","2990","725","7","94.7","Uncharted: The Lost Legacy"
"Paragon","87","Paragon","29292360","2951280","11313","146","5529","679","68","9.93","Paragon"
"DayZ","88","DayZ","28520400","1394160","6616","80","2604","661","32","20.46","DayZ"
"The Legend of Zelda: A Link to the Past","89","The Legend of Zelda: A Link to the Past","27766140","1105320","36913","158","1226","643","25","25.12","The Legend of Zelda: A Link to the Past"
"7 Days to Die","90","7 Days to Die","27514500","3385200","2598","146","5669","637","78","8.13","7 Days to Die"
"Life Is Strange: Before the Storm","91","Life Is Strange: Before the Storm","27242880","1031460","40338","367","6111","631","23","26.41","Life Is Strange: Before the Storm"
"Euro Truck Simulator 2","92","Euro Truck Simulator 2","26886840","2776380","14789","179","5696","623","64","9.68","Euro Truck Simulator 2"
"The Sims 4","93","The Sims 4","26169720","1234380","13625","63","3776","606","28","21.2","The Sims 4"
"The Escapists 2","94","The Escapists 2","25795500","365400","13433","41","1723","597","8","70.6","The Escapists 2"
"The Elder Scrolls V: Skyrim","95","The Elder Scrolls V: Skyrim","25638060","3608700","3560","167","10145","594","83","7.1","The Elder Scrolls V: Skyrim"
"Dragon Ball FighterZ","96","Dragon Ball FighterZ","25591260","180300","59367","248","761","593","4","141.94","Dragon Ball FighterZ"
"Quake Champions","97","Quake Champions","25386240","1073580","7682","61","2216","588","24","23.65","Quake Champions"
"Lost Ark Online","98","Lost Ark Online","25369320","480120","15190","156","437","588","11","52.84","Lost Ark Online"
"Tom Clancy's The Division","99","Tom Clancy's The Division","25357380","4060260","3233","205","8875","587","94","6.25","Tom Clancy's The Division"
"Destiny","100","Destiny","25070400","4488960","12425","789","17135","581","104","5.58","Destiny"
