,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
League of Legends,1,League of Legends,5680806300,79325640,873340,2848,125262,127429,1779,71.61,League of Legends
PLAYERUNKNOWN'S BATTLEGROUNDS,2,PLAYERUNKNOWN'S BATTLEGROUNDS,3655915200,106817220,182187,3696,169434,82007,2396,34.23,PLAYERUNKNOWN'S BATTLEGROUNDS
Hearthstone,3,Hearthstone,1994044380,10579560,202918,442,22526,44729,237,188.48,Hearthstone
Dota 2,4,Dota 2,1897417620,18957300,279878,750,27120,42562,425,100.09,Dota 2
Counter-Strike: Global Offensive,5,Counter-Strike: Global Offensive,1703302140,35582820,576773,1645,95811,38207,798,47.87,Counter-Strike: Global Offensive
IRL,6,IRL,1445957700,16994940,213906,618,52232,32435,381,85.08,IRL
FIFA 18,7,FIFA 18,1019192760,16704480,86579,974,47647,22862,374,61.01,FIFA 18
Fortnite,8,Fortnite,969314760,58934160,79181,2325,162863,21743,1321,16.45,Fortnite
Warframe,9,Warframe,891313380,13363740,88701,718,25376,19993,299,66.7,Warframe
Overwatch,10,Overwatch,874796280,43743780,70145,2659,109231,19623,981,20,Overwatch
Destiny 2,11,Destiny 2,711155340,58657500,226206,9503,114152,15952,1315,12.12,Destiny 2
World of Warcraft,12,World of Warcraft,588008280,27783360,79204,1722,37948,13189,623,21.16,World of Warcraft
Grand Theft Auto V,13,Grand Theft Auto V,452754600,14722020,36449,713,39006,10156,330,30.75,Grand Theft Auto V
South Park: The Fractured But Whole,14,South Park: The Fractured But Whole,415323540,5950800,161626,1059,18053,9316,133,69.79,South Park: The Fractured But Whole
The Evil Within 2,15,The Evil Within 2,390605760,5540820,157125,890,15220,8761,124,70.5,The Evil Within 2
Cuphead,16,Cuphead,387348660,10526100,73764,808,46329,8688,236,36.8,Cuphead
Middle-earth: Shadow of War,17,Middle-earth: Shadow of War,318890640,7569840,120873,978,18238,7153,169,42.13,Middle-earth: Shadow of War
Dead by Daylight,18,Dead by Daylight,290055780,12718800,40902,819,21297,6506,285,22.81,Dead by Daylight
Twitch Presents,19,Twitch Presents,283329420,133740,43035,14,124,6355,3,2118.51,Twitch Presents
Heroes of the Storm,20,Heroes of the Storm,272537760,7792980,32701,295,13638,6113,174,34.97,Heroes of the Storm
Tom Clancy's Rainbow Six: Siege,21,Tom Clancy's Rainbow Six: Siege,269265300,19242180,48619,845,59750,6040,431,13.99,Tom Clancy's Rainbow Six: Siege
Rocket League,22,Rocket League,264589980,9786060,83285,437,35597,5935,219,27.04,Rocket League
Minecraft,23,Minecraft,257280120,13157580,38970,622,35900,5771,295,19.55,Minecraft
Casino_old,24,Casino_old,253944540,873000,36379,43,792,5696,19,290.89,Casino_old
Talk Shows & Podcasts,25,Talk Shows & Podcasts,251182200,2751360,108918,159,8665,5634,61,91.29,Talk Shows & Podcasts
RuneScape,26,RuneScape,246814980,5700300,17962,203,8675,5536,127,43.3,RuneScape
Z1 Battle Royale,27,Z1 Battle Royale,246589200,10134660,145097,426,18463,5531,227,24.33,Z1 Battle Royale
Super Mario Odyssey,28,Super Mario Odyssey,212967960,3240300,60755,1047,7269,4777,72,65.72,Super Mario Odyssey
Assassin's Creed Origins,29,Assassin's Creed Origins,209997780,2981580,80844,755,15494,4710,66,70.43,Assassin's Creed Origins
StarCraft II,30,StarCraft II,203382900,2947500,45414,114,4663,4562,66,69,StarCraft II
Creative,31,Creative,190179660,13306980,15596,506,26081,4266,298,14.29,Creative
World of Tanks,32,World of Tanks,189553560,6398160,29215,302,9190,4251,143,29.63,World of Tanks
Star Wars Battlefront II,33,Star Wars Battlefront II,165535680,3347640,121333,1065,17471,3713,75,49.45,Star Wars Battlefront II
Black Desert Online,34,Black Desert Online,161253360,6095460,16372,211,6713,3617,136,26.45,Black Desert Online
Magic: The Gathering,35,Magic: The Gathering,142562160,978060,20395,55,1248,3197,21,145.76,Magic: The Gathering
Smite,36,Smite,141579660,5582160,17185,224,10955,3175,125,25.36,Smite
Street Fighter V,37,Street Fighter V,128117340,1677240,36664,124,3839,2873,37,76.39,Street Fighter V
The Elder Scrolls: Legends,38,The Elder Scrolls: Legends,127475820,998820,7313,45,986,2859,22,127.63,The Elder Scrolls: Legends
Poker,39,Poker,124578660,2042580,12421,129,2187,2794,45,60.99,Poker
Path of Exile,40,Path of Exile,118516440,4576080,11183,206,6399,2658,102,25.9,Path of Exile
Wolfenstein II: The New Colossus,41,Wolfenstein II: The New Colossus,118387140,1201440,86606,419,5138,2655,26,98.54,Wolfenstein II: The New Colossus
ARK,42,ARK,116221140,6748560,19583,275,12755,2607,151,17.22,ARK
NBA 2K18,43,NBA 2K18,113646000,8946960,13743,440,22133,2549,200,12.7,NBA 2K18
Escape From Tarkov,44,Escape From Tarkov,98140380,2909940,50897,180,3958,2201,65,33.73,Escape From Tarkov
Super Smash Bros. Melee,45,Super Smash Bros. Melee,96104340,825000,42533,58,2240,2155,18,116.49,Super Smash Bros. Melee
Rust,46,Rust,92153400,3819240,34002,298,7357,2067,85,24.13,Rust
FINAL FANTASY XIV Online,47,FINAL FANTASY XIV Online,83454720,5149200,17962,441,7870,1872,115,16.21,FINAL FANTASY XIV Online
Total War: Warhammer II,48,Total War: Warhammer II,72937440,1950120,14913,148,3074,1636,43,37.4,Total War: Warhammer II
Music & Performing Arts,49,Music & Performing Arts,71768820,3883200,9034,139,5281,1609,87,18.48,Music & Performing Arts
Clash Royale,50,Clash Royale,71642460,861420,22927,62,2180,1607,19,83.17,Clash Royale
Dungeons & Dragons,51,Dungeons & Dragons,71176680,1558320,39850,118,2147,1596,34,45.68,Dungeons & Dragons
ELEX,52,ELEX,71100540,1791420,56864,331,3202,1594,40,39.69,ELEX
Lineage II,53,Lineage II,67382520,2594160,6598,143,1922,1511,58,25.97,Lineage II
Danganronpa V3: Killing Harmony,54,Danganronpa V3: Killing Harmony,65314680,1370640,15306,123,1541,1465,30,47.65,Danganronpa V3: Killing Harmony
Gwent: The Witcher Card Game,55,Gwent: The Witcher Card Game,59619000,964020,13942,82,1613,1337,21,61.84,Gwent: The Witcher Card Game
Tekken 7,56,Tekken 7,58627680,1551780,18422,58,5336,1315,34,37.78,Tekken 7
Dofus,57,Dofus,57894420,1004520,12517,125,1650,1298,22,57.63,Dofus
Summoners War: Sky Arena,58,Summoners War: Sky Arena,56243700,1080360,29805,52,1213,1261,24,52.06,Summoners War: Sky Arena
Super Smash Bros. for Wii U,59,Super Smash Bros. for Wii U,55670280,802800,34192,66,1613,1248,18,69.35,Super Smash Bros. for Wii U
Warcraft III,60,Warcraft III,55552260,1250700,21490,58,1294,1246,28,44.42,Warcraft III
Marvel vs. Capcom Infinite,61,Marvel vs. Capcom Infinite,55448580,613980,21306,55,2830,1243,13,90.31,Marvel vs. Capcom Infinite
TwitchCon 2017,62,TwitchCon 2017,52708380,96120,86285,89,411,1182,2,548.36,TwitchCon 2017
Paragon,63,Paragon,51586980,3860460,3706,167,5710,1157,86,13.36,Paragon
The Legend of Zelda: A Link to the Past,64,The Legend of Zelda: A Link to the Past,50634000,1327680,8683,118,1438,1135,29,38.14,The Legend of Zelda: A Link to the Past
Divinity: Original Sin II,65,Divinity: Original Sin II,48383340,3837540,12301,250,6677,1085,86,12.61,Divinity: Original Sin II
The Evil Within,66,The Evil Within,48104820,2270220,10895,138,5962,1079,50,21.19,The Evil Within
Retro,67,Retro,47877240,2638080,11167,101,3303,1073,59,18.15,Retro
Battle Chasers: Nightwar,68,Battle Chasers: Nightwar,47334480,1014840,31478,118,2073,1061,22,46.64,Battle Chasers: Nightwar
Madden NFL 18,69,Madden NFL 18,47325060,8347440,10700,555,20985,1061,187,5.67,Madden NFL 18
Dark Souls III,70,Dark Souls III,47094720,3552300,6831,144,10697,1056,79,13.26,Dark Souls III
Throne of Lies: The Online Game of Deceit,71,Throne of Lies: The Online Game of Deceit,46185900,202620,34248,21,421,1036,4,227.94,Throne of Lies: The Online Game of Deceit
Pokémon Sun/Moon,72,Pokémon Sun/Moon,46145160,1521720,4787,74,1796,1035,34,30.32,Pokémon Sun/Moon
Shadowverse,73,Shadowverse,43447500,819240,14621,50,1577,974,18,53.03,Shadowverse
Super Mario 64,74,Super Mario 64,43428900,837000,7435,54,1720,974,18,51.89,Super Mario 64
Paladins,75,Paladins,41967300,3719100,9652,166,11154,941,83,11.28,Paladins
Heroes of Might and Magic III: The Shadow of Death,76,Heroes of Might and Magic III: The Shadow of Death,41754900,328740,13595,24,434,936,7,127.01,Heroes of Might and Magic III: The Shadow of Death
Super Mario Maker,77,Super Mario Maker,41649960,568620,5515,30,651,934,12,73.25,Super Mario Maker
Call of Duty: Black Ops III,78,Call of Duty: Black Ops III,41517960,7568220,9155,396,29439,931,169,5.49,Call of Duty: Black Ops III
The Jackbox Party Pack 4,79,The Jackbox Party Pack 4,39786060,526860,50917,123,1888,892,11,75.52,The Jackbox Party Pack 4
Grim Dawn,80,Grim Dawn,39777120,1197180,4315,93,1768,892,26,33.23,Grim Dawn
Deceit,81,Deceit,39549360,923820,21784,113,3801,887,20,42.81,Deceit
Games + Demos,82,Games + Demos,37598760,765840,69316,36,2350,843,17,49.09,Games + Demos
Tibia,83,Tibia,37324680,1578720,2832,78,1814,837,35,23.64,Tibia
Darkwood,84,Darkwood,36917100,154740,37068,19,629,828,3,238.58,Darkwood
Guild Wars 2,85,Guild Wars 2,35226600,2552640,3344,123,4237,790,57,13.8,Guild Wars 2
DayZ,86,DayZ,33545700,1627740,4821,87,2783,752,36,20.61,DayZ
Friday the 13th: The Game,87,Friday the 13th: The Game,33148560,2919780,18959,676,11259,743,65,11.35,Friday the 13th: The Game
Arma 3,88,Arma 3,32569200,3591000,8534,236,6210,730,80,9.07,Arma 3
World of Warships,89,World of Warships,32171760,2056560,6745,102,3348,721,46,15.64,World of Warships
Home Sweet Home,90,Home Sweet Home,32168760,317520,40288,35,1322,721,7,101.31,Home Sweet Home
7 Days to Die,91,7 Days to Die,31842120,3307620,5600,144,5991,714,74,9.63,7 Days to Die
Stardew Valley,92,Stardew Valley,30898140,1964820,5612,91,5209,693,44,15.73,Stardew Valley
Diablo III: Reaper of Souls,93,Diablo III: Reaper of Souls,30565260,2277720,1866,99,6014,685,51,13.42,Diablo III: Reaper of Souls
Age of Empires II,94,Age of Empires II,30442020,410700,2823,22,413,682,9,74.12,Age of Empires II
The Binding of Isaac: Afterbirth,95,The Binding of Isaac: Afterbirth,30250680,926220,11406,52,2882,678,20,32.66,The Binding of Isaac: Afterbirth
Bloodborne,96,Bloodborne,29460000,1755000,6829,79,5148,660,39,16.79,Bloodborne
A Hat in Time,97,A Hat in Time,29292780,1208820,28625,182,3017,657,27,24.23,A Hat in Time
Battlefield 1,98,Battlefield 1,28527240,4886400,5577,221,18775,639,109,5.84,Battlefield 1
Gold Rush: The Game,99,Gold Rush: The Game,28464120,813900,42726,105,1587,638,18,34.97,Gold Rush: The Game
osu!,100,osu!,28122120,4448700,10785,199,17099,630,99,6.32,osu!
