,year,quarter,month,month_number,date,rank,game,watch_time,stream_time,peak_viewers,peak_channels,streamers,average_viewers,average_channels,average_viewer_ratio,,
100,2016,Q1,February,2,2/1/16,1,Riot Games (riotgames),1117376475,12690,363268,88051,4508393,49393,15608286,TRUE,FALSE,English
101,2016,Q1,February,2,2/1/16,2,ESL_CSGO,443577150,41100,154793,10792,3940682,68875,9225894,TRUE,FALSE,English
102,2016,Q1,February,2,2/1/16,3,AtheneLIVE,279772710,41730,10147,6703,210140,10724,945315,TRUE,FALSE,English
103,2016,Q1,February,2,2/1/16,4,LIRIK,259402530,9975,68464,26004,2622985,31147,2982225,TRUE,FALSE,English
104,2016,Q1,February,2,2/1/16,5,imaqtpie,249121935,12435,44196,20033,2658197,40702,3358661,TRUE,FALSE,English
105,2016,Q1,February,2,2/1/16,6,Nightblue3,201295845,9060,45607,22217,2639859,36715,2557763,TRUE,FALSE,English
106,2016,Q1,February,2,2/1/16,7,DotaMajor,191399940,3495,96331,54763,170891,22220,5364458,TRUE,FALSE,English
107,2016,Q1,February,2,2/1/16,8,nl_Kripp,187990395,9405,36762,19987,1374539,17482,1384047,TRUE,FALSE,English
108,2016,Q1,February,2,2/1/16,9,Amaz,185862300,9795,69746,18974,922036,16555,2052567,TRUE,FALSE,English
109,2016,Q1,February,2,2/1/16,10,RocketBeansTV,178860885,41490,39817,4310,412202,6379,2100234,TRUE,FALSE,German
110,2016,Q1,February,2,2/1/16,11,Trick2g,176882070,19830,27557,8919,1471048,28975,2098725,TRUE,TRUE,English
111,2016,Q1,February,2,2/1/16,12,DotaMajorRU,160906215,3420,115270,47048,181728,25620,3185691,TRUE,FALSE,Russian
112,2016,Q1,February,2,2/1/16,13,sneakylol,149027010,7965,37440,18709,1637232,25403,1361834,TRUE,FALSE,English
113,2016,Q1,February,2,2/1/16,14,Gosu,147318780,13575,27627,10851,1718638,34919,2211686,TRUE,FALSE,English
114,2016,Q1,February,2,2/1/16,15,MLG,145902240,2490,131533,58594,792572,69402,3579377,TRUE,TRUE,English
115,2016,Q1,February,2,2/1/16,16,Arteezy,144352485,9375,26918,15397,581669,17090,1303860,TRUE,TRUE,English
116,2016,Q1,February,2,2/1/16,17,sodapoppin,139085955,8580,29026,16210,2731773,16263,1207881,TRUE,TRUE,English
117,2016,Q1,February,2,2/1/16,18,OgamingLoL,136856190,40875,26397,3347,506257,8119,1949289,TRUE,FALSE,French
118,2016,Q1,February,2,2/1/16,19,summit1g,136194300,10320,29656,13196,5355651,25123,1682936,TRUE,FALSE,English
119,2016,Q1,February,2,2/1/16,20,CohhCarnage,128361285,14520,19977,8839,1243888,23685,1086969,TRUE,FALSE,English
120,2016,Q1,February,2,2/1/16,21,SummonersInnLive,123672180,12375,28103,9993,499601,11862,2254213,TRUE,FALSE,German
121,2016,Q1,February,2,2/1/16,22,forsen,122193675,10350,24729,11805,1292060,17346,1602270,TRUE,TRUE,English
122,2016,Q1,February,2,2/1/16,23,Voyboy,110052735,10470,25114,10510,1228127,15563,1137623,TRUE,FALSE,English
123,2016,Q1,February,2,2/1/16,24,itsjaylife,108799875,39540,5699,2751,255594,25161,713297,TRUE,FALSE,Russian
124,2016,Q1,February,2,2/1/16,25,Meteos,108510570,10860,24911,9991,485366,16563,949623,TRUE,FALSE,English
125,2016,Q1,February,2,2/1/16,26,moonduckTV,102510450,8130,51475,12608,162189,12131,1313163,TRUE,FALSE,English
126,2016,Q1,February,2,2/1/16,27,Dyrus,98494515,9375,33337,10505,1473735,20611,1453053,TRUE,TRUE,English
127,2016,Q1,February,2,2/1/16,28,Call of Duty (callofduty),97489485,12090,77406,8063,963655,50599,746495,TRUE,TRUE,English
128,2016,Q1,February,2,2/1/16,29,CarTmaNzbs,95569875,13065,16750,7314,355259,17226,1513325,TRUE,FALSE,Russian
129,2016,Q1,February,2,2/1/16,30,Valkrin,90851790,8865,24819,10247,185735,28752,839479,TRUE,FALSE,English
130,2016,Q1,February,2,2/1/16,31,IzakOOO,86398815,8385,30015,10303,1442251,16249,1808939,TRUE,FALSE,Polish
131,2016,Q1,February,2,2/1/16,32,MilleniumTVHS,84611385,30675,13518,2757,94099,5904,1226057,TRUE,FALSE,French
132,2016,Q1,February,2,2/1/16,33,Dota2RuHub,78621210,5070,77023,15506,736903,8144,943584,TRUE,FALSE,Russian
133,2016,Q1,February,2,2/1/16,34,PlayHearthstone,74812470,2490,59151,30044,828604,12411,946406,TRUE,FALSE,English
134,2016,Q1,February,2,2/1/16,35,HearthstoneFR,74360520,41625,5716,1786,161432,2848,957469,TRUE,FALSE,French
135,2016,Q1,February,2,2/1/16,36,亞洲統神 (asiagodtonegg3be0),73277610,8955,12963,8182,494643,9968,1970882,TRUE,FALSE,Chinese
136,2016,Q1,February,2,2/1/16,37,RiotGamesBrazil,72850815,3285,57347,22176,925991,7112,1590891,TRUE,FALSE,Portuguese
137,2016,Q1,February,2,2/1/16,38,Twitch Watches Pokémon (twitchwatchespokemon),69307740,1500,71363,46204,64538,64151,3503558,TRUE,FALSE,
138,2016,Q1,February,2,2/1/16,39,JoshOG,69163560,14400,17491,4802,1750433,29934,824044,TRUE,FALSE,English
139,2016,Q1,February,2,2/1/16,40,witwix,68711445,10485,10320,6552,361915,28214,477151,TRUE,TRUE,English
140,2016,Q1,February,2,2/1/16,41,DansGaming,67157265,13395,13682,5013,813017,7445,656412,TRUE,FALSE,English
141,2016,Q1,February,2,2/1/16,42,WePlayEsport_RU,66967695,13830,67259,4841,251619,16034,1686456,TRUE,FALSE,Russian
142,2016,Q1,February,2,2/1/16,43,DreadzTV,65871510,3405,36371,19344,664871,13585,1087466,TRUE,TRUE,Russian
143,2016,Q1,February,2,2/1/16,44,P4wnyhof,65605455,10395,13045,6310,485279,17060,725846,TRUE,FALSE,English
144,2016,Q1,February,2,2/1/16,45,GoldGlove,65281515,8700,19965,7503,1425717,13599,480357,TRUE,FALSE,English
145,2016,Q1,February,2,2/1/16,46,taketv3,63217545,5175,42499,12215,60532,18306,515516,TRUE,FALSE,English
146,2016,Q1,February,2,2/1/16,47,Reckful,61574595,9450,14155,6515,923809,11378,643044,TRUE,FALSE,English
147,2016,Q1,February,2,2/1/16,48,StreamerHouse,59863350,41520,3854,1441,630281,15011,463517,TRUE,FALSE,English
148,2016,Q1,February,2,2/1/16,49,TimTheTatman,59527125,9900,14494,6012,4942208,23130,620597,TRUE,TRUE,English
149,2016,Q1,February,2,2/1/16,50,AdmiralBulldog,59479845,4425,26420,13441,680549,8514,270218,TRUE,TRUE,English
150,2016,Q1,February,2,2/1/16,51,Kolento,58863060,5175,34978,11373,513334,14508,790135,TRUE,FALSE,English
151,2016,Q1,February,2,2/1/16,52,RiotGamesTurkish,58598010,7980,32938,7342,642950,9927,2077721,TRUE,FALSE,Turkish
152,2016,Q1,February,2,2/1/16,53,TrumpSC,57410700,5955,25583,9640,819735,7375,593410,TRUE,FALSE,English
153,2016,Q1,February,2,2/1/16,54,GRONKH,56164650,2670,33061,21034,1186695,17762,700056,TRUE,FALSE,German
154,2016,Q1,February,2,2/1/16,55,GTimeTV,53832330,9300,15663,5788,654159,42222,522680,TRUE,TRUE,German
155,2016,Q1,February,2,2/1/16,56,YoDa,52368885,4860,19506,10774,1720072,15811,1384323,TRUE,FALSE,Portuguese
156,2016,Q1,February,2,2/1/16,57,esl_RuHub_CSGO,50788965,8280,34050,6133,317626,22782,1913320,TRUE,FALSE,Russian
157,2016,Q1,February,2,2/1/16,58,Magic,50385210,3900,42693,12918,363600,4778,547623,TRUE,FALSE,English
158,2016,Q1,February,2,2/1/16,59,cheatbanned,50127435,7380,12244,6792,708671,29508,1064558,TRUE,FALSE,Russian
159,2016,Q1,February,2,2/1/16,60,Monstercat,48848685,41415,3702,1178,783559,13227,346928,TRUE,FALSE,English
160,2016,Q1,February,2,2/1/16,61,Grossie_Gore,48695715,10770,8966,4520,415533,17854,696624,TRUE,TRUE,English
161,2016,Q1,February,2,2/1/16,62,reynad27,48253725,4485,22068,10758,510874,7334,491574,TRUE,TRUE,English
162,2016,Q1,February,2,2/1/16,63,inetkoxTV,47532375,12360,12162,3845,261150,10132,730693,TRUE,FALSE,Polish
163,2016,Q1,February,2,2/1/16,64,TSM_TheOddOne,46308585,11715,12649,3952,867524,269,504589,TRUE,FALSE,English
164,2016,Q1,February,2,2/1/16,65,BASETRADETV,46215405,14085,7516,3280,132923,3494,570954,TRUE,FALSE,English
165,2016,Q1,February,2,2/1/16,66,Wingsofdeath,45813540,9915,11559,4620,474484,1024,314130,TRUE,FALSE,English
166,2016,Q1,February,2,2/1/16,67,rxnexus,45652035,8505,23267,5367,244367,11111,689881,TRUE,FALSE,Russian
167,2016,Q1,February,2,2/1/16,68,Maximilian_DOOD,45435780,6495,25138,6995,816342,13904,395545,TRUE,FALSE,English
168,2016,Q1,February,2,2/1/16,69,ClintStevens,45317865,17130,7056,2645,348267,8274,286555,TRUE,TRUE,English
169,2016,Q1,February,2,2/1/16,70,ESL_lol_es,44673555,37095,16214,1203,68277,6591,1427448,TRUE,FALSE,Spanish
170,2016,Q1,February,2,2/1/16,71,VeRsuta,44212245,12315,11891,3589,470940,11560,446766,TRUE,FALSE,Russian
171,2016,Q1,February,2,2/1/16,72,Nervarien,44127945,9810,15372,4497,498196,9813,765188,TRUE,FALSE,Polish
172,2016,Q1,February,2,2/1/16,73,dogdog,43475985,7680,13670,5660,590499,9364,343531,TRUE,FALSE,English
173,2016,Q1,February,2,2/1/16,74,itsHafu,43320285,7500,14073,5775,784564,13063,507523,TRUE,FALSE,English
174,2016,Q1,February,2,2/1/16,75,B0aty,43014360,11220,7887,3833,515355,4201,475303,TRUE,TRUE,English
175,2016,Q1,February,2,2/1/16,76,KingGothalion,42500490,12000,11781,3541,1015521,10653,297045,TRUE,FALSE,English
176,2016,Q1,February,2,2/1/16,77,BlackDotATV,41527785,11160,12490,3720,86318,14493,655667,TRUE,FALSE,English
177,2016,Q1,February,2,2/1/16,78,TeamSp00ky,41374245,3210,46427,12888,286349,7848,1606652,TRUE,FALSE,English
178,2016,Q1,February,2,2/1/16,79,illidanstr,41324250,10425,16893,3963,227697,11974,575642,TRUE,TRUE,Russian
179,2016,Q1,February,2,2/1/16,80,A1taOda,41256045,9915,11933,4160,533732,9424,776069,TRUE,TRUE,Russian
180,2016,Q1,February,2,2/1/16,81,LVPes,40972590,12045,16377,3401,559931,4946,839137,TRUE,FALSE,Spanish
181,2016,Q1,February,2,2/1/16,82,ESL_Heroes,40655220,1560,33783,26060,66059,17838,890770,TRUE,FALSE,
182,2016,Q1,February,2,2/1/16,83,gaben_007,39852390,12510,11404,3184,22418,5588,85992,FALSE,FALSE,Russian
183,2016,Q1,February,2,2/1/16,84,HoneyMad,39839865,4230,15967,9417,523383,17256,700494,TRUE,TRUE,Russian
184,2016,Q1,February,2,2/1/16,85,Arthas,39724140,5235,19607,7587,646851,14985,958073,TRUE,FALSE,Russian
185,2016,Q1,February,2,2/1/16,86,TSM_Bjergsen,39584460,1860,32855,21281,1482110,15889,772725,TRUE,FALSE,English
186,2016,Q1,February,2,2/1/16,87,Halo,39519840,5505,41398,7178,254746,16499,1404025,TRUE,FALSE,English
187,2016,Q1,February,2,2/1/16,88,Fairlight_Excalibur,38336760,13650,7084,2808,411021,6260,304070,TRUE,FALSE,English
188,2016,Q1,February,2,2/1/16,89,Aiekillu,38190540,6555,12121,5825,703010,27970,555882,TRUE,TRUE,French
189,2016,Q1,February,2,2/1/16,90,gnumme,38033325,8760,9133,4341,284337,7104,456471,TRUE,FALSE,Russian
190,2016,Q1,February,2,2/1/16,91,ESL_SC2,37848480,34200,18469,1106,290584,3647,468732,TRUE,FALSE,English
191,2016,Q1,February,2,2/1/16,92,StarLadder5,37803930,9735,33512,3882,1029203,6700,1080502,TRUE,FALSE,Russian
192,2016,Q1,February,2,2/1/16,93,NICKMERCS,37756470,11460,6735,3294,3657193,20912,132115,TRUE,FALSE,English
193,2016,Q1,February,2,2/1/16,94,UMGGaming,37708410,1920,38033,19639,194433,22125,6886,TRUE,FALSE,English
194,2016,Q1,February,2,2/1/16,95,s1mple,37635420,7395,11394,5088,1582640,33254,699000,TRUE,FALSE,English
195,2016,Q1,February,2,2/1/16,96,MaSsanSC,37539150,11760,10295,3191,283646,1575,206815,TRUE,FALSE,English
196,2016,Q1,February,2,2/1/16,97,Overpow,37264725,12525,7204,2974,251542,7617,453446,TRUE,TRUE,Polish
197,2016,Q1,February,2,2/1/16,98,CobaltStreak,36941295,12480,7304,2959,336166,4980,290465,TRUE,TRUE,English
198,2016,Q1,February,2,2/1/16,99,Domingo,36430785,4335,16487,8403,806610,9866,616707,TRUE,FALSE,French
199,2016,Q1,February,2,2/1/16,100,丁特 (dinterlolz),36022770,4275,12886,8425,411295,15365,1031324,FALSE,FALSE,Chinese
200,2016,Q1,March,3,3/1/16,1,MLG,827656635,2760,480323,299874,792572,367647,13807229,TRUE,TRUE,English
201,2016,Q1,March,3,3/1/16,2,ESL_CSGO,791328435,43590,359658,18153,3940682,136244,16329916,TRUE,FALSE,English
202,2016,Q1,March,3,3/1/16,3,Riot Games (riotgames),640786245,11295,268361,56731,4508393,31509,12102578,TRUE,FALSE,English
203,2016,Q1,March,3,3/1/16,4,ESL_LOL,402826785,42870,377884,9395,477120,86974,8189782,TRUE,FALSE,English
204,2016,Q1,March,3,3/1/16,5,summit1g,325064940,18690,29247,17391,5355651,62123,4165739,TRUE,FALSE,English
205,2016,Q1,March,3,3/1/16,6,LIRIK,315403620,12015,42190,26250,2622996,40213,4822284,TRUE,FALSE,English
206,2016,Q1,March,3,3/1/16,7,imaqtpie,296199165,14970,39152,19785,2658197,52347,6227999,TRUE,FALSE,English
207,2016,Q1,March,3,3/1/16,8,DotaMajor,294840120,3960,190226,74454,170891,14179,7561970,TRUE,FALSE,English
